model,ablation_mode,cn,n,top1,top5
composite_matched,metal_cn_only,8,704,0.3438,0.9773
composite_matched,metal_cn_only,9,338,0.4172,0.9911
factorized,full_context,1,2,0.0,1.0
factorized,full_context,10,202,0.0891,0.9901
factorized,full_context,11,138,0.0725,1.0
factorized,full_context,12,424,0.0354,0.9882
factorized,full_context,13,102,0.0686,0.9804
factorized,full_context,14,66,0.0909,0.9697
factorized,full_context,15,2,0.0,1.0
factorized,full_context,16,2,0.0,1.0
factorized,full_context,2,12,0.1667,1.0
factorized,full_context,3,88,0.0909,1.0
factorized,full_context,4,334,0.0958,0.988
factorized,full_context,5,546,0.0934,0.9853
factorized,full_context,6,1446,0.0878,0.9855
factorized,full_context,7,594,0.1077,0.9848
factorized,full_context,8,704,0.1193,0.9901
factorized,full_context,9,338,0.1331,0.9941
factorized,no_ligand_smiles_keep_length,1,2,0.0,1.0
factorized,no_ligand_smiles_keep_length,10,202,0.2574,0.9851
factorized,no_ligand_smiles_keep_length,11,138,0.2391,0.971
factorized,no_ligand_smiles_keep_length,12,424,0.2005,0.9906
factorized,no_ligand_smiles_keep_length,13,102,0.2941,0.951
factorized,no_ligand_smiles_keep_length,14,66,0.2273,0.9848
factorized,no_ligand_smiles_keep_length,15,2,0.0,1.0
factorized,no_ligand_smiles_keep_length,16,2,0.0,1.0
factorized,no_ligand_smiles_keep_length,2,12,0.4167,1.0
factorized,no_ligand_smiles_keep_length,3,88,0.1932,0.9773
factorized,no_ligand_smiles_keep_length,4,334,0.1886,0.982
factorized,no_ligand_smiles_keep_length,5,546,0.2179,0.9597
factorized,no_ligand_smiles_keep_length,6,1444,0.2382,0.9868
factorized,no_ligand_smiles_keep_length,7,594,0.2239,0.9798
factorized,no_ligand_smiles_keep_length,8,704,0.2415,0.9886
factorized,no_ligand_smiles_keep_length,9,338,0.2959,0.9793
factorized,metal_cn_only,1,2,0.0,1.0
factorized,metal_cn_only,10,202,0.2426,0.9851
factorized,metal_cn_only,11,138,0.2101,0.971
factorized,metal_cn_only,12,424,0.1934,0.9882
factorized,metal_cn_only,13,102,0.2745,0.951
factorized,metal_cn_only,14,66,0.2121,0.9848
factorized,metal_cn_only,15,2,0.0,1.0
factorized,metal_cn_only,16,2,0.0,1.0
factorized,metal_cn_only,2,12,0.4167,1.0
factorized,metal_cn_only,3,88,0.1932,0.9773
factorized,metal_cn_only,4,334,0.1796,0.982
factorized,metal_cn_only,5,546,0.2051,0.9597
factorized,metal_cn_only,6,1444,0.2209,0.9855
factorized,metal_cn_only,7,594,0.2104,0.9798
factorized,metal_cn_only,8,704,0.2287,0.9858
factorized,metal_cn_only,9,338,0.2722,0.9793
