ablation_mode,complex_id,ligand_id,denticity,n_donors,all_correct_top1
full_context,tmqm_86,L2,dent=1,1,0
full_context,tmqm_86,L1,dent=1,1,1
full_context,tmqm_87,L5,dent=1,1,1
full_context,tmqm_87,L2,dent=1,1,1
full_context,tmqm_88,L2,dent=1,1,1
full_context,tmqm_88,L1,dent=1,1,1
full_context,tmqm_89,L1,dent=2,2,1
full_context,tmqm_90,L1,dent=2,2,1
full_context,tmqm_91,L1,dent=2,2,1
full_context,tmqm_92,L1,dent=1,1,1
full_context,tmqm_92,L2,dent=1,1,1
full_context,tmqm_93,L1,dent=2,2,1
full_context,tmqm_94,L2,dent=1,1,1
full_context,tmqm_94,L1,dent=1,1,1
full_context,tmqm_95,L7,dent=1,1,1
full_context,tmqm_95,L5,dent=1,1,0
full_context,tmqm_96,L2,dent=1,1,0
full_context,tmqm_96,L4,dent=1,1,1
full_context,tmqm_97,L1,dent=2,2,0
full_context,tmqm_98,L1,dent=1,1,0
full_context,tmqm_98,L2,dent=1,1,1
full_context,tmqm_99,L1,dent=2,2,1
full_context,tmqm_100,L2,dent=1,1,1
full_context,tmqm_100,L4,dent=1,1,1
full_context,tmqm_101,L1,dent=1,1,1
full_context,tmqm_101,L2,dent=1,1,1
full_context,tmqm_102,L2,dent=1,1,1
full_context,tmqm_102,L1,dent=1,1,1
full_context,tmqm_103,L2,dent=1,1,0
full_context,tmqm_103,L4,dent=1,1,1
full_context,tmqm_104,L1,dent=1,1,1
full_context,tmqm_104,L2,dent=1,1,1
full_context,tmqm_105,L1,dent=2,2,1
full_context,tmqm_106,L2,dent=1,1,1
full_context,tmqm_106,L1,dent=1,1,1
full_context,tmqm_107,L3,dent=2,2,1
full_context,tmqm_108,L4,dent=1,1,1
full_context,tmqm_108,L2,dent=1,1,0
full_context,tmqm_109,L2,dent=1,1,1
full_context,tmqm_109,L1,dent=1,1,1
full_context,tmqm_110,L2,dent=1,1,1
full_context,tmqm_110,L4,dent=1,1,1
full_context,tmqm_111,L1,dent=2,2,1
full_context,tmqm_112,L4,dent=1,1,1
full_context,tmqm_112,L1,dent=1,1,1
full_context,tmqm_113,L2,dent=1,1,1
full_context,tmqm_113,L1,dent=1,1,1
full_context,tmqm_114,L2,dent=1,1,1
full_context,tmqm_114,L1,dent=1,1,1
full_context,tmqm_115,L1,dent=2,2,1
full_context,tmqm_116,L1,dent=2,2,1
full_context,tmqm_117,L3,dent=1,1,1
full_context,tmqm_117,L2,dent=1,1,1
full_context,tmqm_118,L1,dent=2,2,1
full_context,tmqm_119,L1,dent=1,1,1
full_context,tmqm_119,L4,dent=1,1,1
full_context,tmqm_120,L2,dent=2,2,0
full_context,tmqm_121,L3,dent=2,2,1
full_context,tmqm_122,L1,dent=1,1,1
full_context,tmqm_122,L2,dent=1,1,1
full_context,tmqm_123,L2,dent=2,2,1
full_context,tmqm_124,L2,dent=2,2,1
full_context,tmqm_125,L1,dent=2,2,0
full_context,tmqm_126,L4,dent=1,1,0
full_context,tmqm_126,L1,dent=1,1,1
full_context,tmqm_127,L4,dent=1,1,0
full_context,tmqm_127,L1,dent=1,1,0
full_context,tmqm_128,L2,dent=2,2,1
full_context,tmqm_129,L1,dent=1,1,1
full_context,tmqm_129,L3,dent=1,1,1
full_context,tmqm_130,L3,dent=2,2,1
full_context,tmqm_131,L4,dent=1,1,1
full_context,tmqm_131,L5,dent=1,1,0
full_context,tmqm_132,L3,dent=1,1,1
full_context,tmqm_132,L1,dent=1,1,1
full_context,tmqm_133,L2,dent=2,2,1
full_context,tmqm_134,L3,dent=1,1,1
full_context,tmqm_134,L4,dent=1,1,1
full_context,tmqm_135,L1,dent=2,2,1
full_context,tmqm_136,L3,dent=1,1,1
full_context,tmqm_136,L1,dent=1,1,0
full_context,tmqm_137,L2,dent=1,1,1
full_context,tmqm_137,L3,dent=1,1,1
full_context,tmqm_138,L1,dent=2,2,1
