refcode,n_metals,is_polymeric,has_disorder,reason
FABZUD10,34,False,False,metals>12
GENWON,20,False,True,metals>12
LEFJUE,96,False,True,metals>12
FETSEF10,17,True,True,metals>12
AMUXIQ,62,False,True,metals>12
DINRUQ,18,False,False,metals>12
UDICUG,62,False,True,metals>12
MEQXEO,21,True,True,metals>12
PAPPAB07,20,True,False,metals>12
DOWTOC,20,True,True,metals>12
RIZNIA,46,True,True,metals>12
CADYEN,44,False,True,metals>12
JEBBOI,16,False,False,metals>12
EPABEF,13,True,False,metals>12
BIMREX,16,False,True,metals>12
FURCIG,13,True,False,metals>12
MOKWIU,14,False,True,metals>12
SIHKEB,14,False,True,metals>12
UNIPAK,24,True,True,metals>12
CINYAB,55,False,True,metals>12
VERTUJ,13,False,True,metals>12
FAMFOQ,18,False,False,metals>12
LOXMEU,40,True,False,metals>12
EKAVOC,22,True,True,metals>12
MIMDAP,22,False,False,metals>12
WANGUR,35,True,True,metals>12
YEFBAQ,13,False,True,metals>12
CELCUV,18,True,False,metals>12
OGEHIU,34,True,True,metals>12
YEBQOP,16,False,True,metals>12
WOYJOJ,19,True,True,metals>12
ITEWOU,33,False,True,metals>12
EFEFOO,15,True,False,metals>12
SUNPEA,17,False,True,metals>12
RINFEC,26,False,True,metals>12
ZABNOK,56,False,True,metals>12
YOJLEQ,45,False,True,metals>12
WAKWOX,28,False,False,metals>12
YOZKEG,16,False,True,metals>12
CILMIU06,15,True,False,metals>12
SIKGOJ,15,False,True,metals>12
EREVOO,24,False,False,metals>12
ALUYAK,18,True,True,metals>12
XAGZUD,18,False,True,metals>12
AHIQOB,16,True,True,metals>12
VIJPEM,15,False,True,metals>12
HEVVOU,22,False,True,metals>12
VIGZOB,16,False,True,metals>12
RAWZOG,33,True,False,metals>12
AGAFAS,13,True,True,metals>12
NEJMOH,18,True,True,metals>12
UHUREX,28,False,False,metals>12
QURPEA,21,True,True,metals>12
TAWJUW,13,False,True,metals>12
XICGIC,64,True,True,metals>12
KOJLEC,30,False,True,metals>12
CEPCUY,16,True,True,metals>12
BUQMOS,20,False,True,metals>12
MUQQUO,36,False,True,metals>12
SEMLIF10,13,False,False,metals>12
NIWVIZ,19,False,True,metals>12
HIJFIQ,22,False,True,metals>12
WORKUL,18,True,True,metals>12
DAPFIM,13,True,False,metals>12
EBOBOO,15,True,False,metals>12
COSNOR,18,False,True,metals>12
DAQGAE,14,False,True,metals>12
RUNGEP,14,True,True,metals>12
ACEFEX,31,False,True,metals>12
WIZZIQ,16,False,True,metals>12
UGUKEN,13,True,True,metals>12
FEQQEA,16,True,False,metals>12
GEWFIZ,16,False,True,metals>12
TALHIY,32,True,True,metals>12
GUDTOS06,30,True,True,metals>12
WAGJOG,21,False,True,metals>12
KEDYUP,20,False,True,metals>12
NUFQUC,16,False,True,metals>12
QISVEU,14,True,True,metals>12
QUPFEN,52,False,True,metals>12
CODKAJ,13,True,True,metals>12
NIWYOI,21,True,False,metals>12
RUYQEL,36,False,True,metals>12
LAXRIO,36,False,True,metals>12
DUHGIZ,24,False,True,metals>12
OTIKEJ,81,False,True,metals>12
YOHBOQ,16,False,True,metals>12
DANGOQ,29,False,False,metals>12
NATHOH,23,True,True,metals>12
