refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
BAPFII,3,False,False,True,molecular_multinuclear_supported
QULRAU,2,False,True,True,molecular_multinuclear_supported
EZIBAS,8,False,False,True,molecular_multinuclear_supported
NASDIW,6,True,True,True,molecular_multinuclear_supported
QUMVEA,2,True,False,True,molecular_multinuclear_supported
NATHOH,23,True,True,False,polymeric_or_extended_future_scope
HOGBIO,2,False,True,True,molecular_multinuclear_supported
YOHJAG,20,False,False,False,polymeric_or_extended_future_scope
NAPPOM,2,False,True,True,molecular_multinuclear_supported
BULYAJ,8,True,True,True,molecular_multinuclear_supported
MOFTOR,3,True,False,True,molecular_multinuclear_supported
DOMXEJ,3,False,False,False,ambiguous_bonding_uncertain
CIPYAE,9,True,False,True,molecular_multinuclear_supported
XACZEH,7,True,True,True,molecular_multinuclear_supported
PUMYIF,2,False,False,True,molecular_multinuclear_supported
MEQGUN,4,True,False,True,molecular_multinuclear_supported
AGEXIX,22,False,True,False,polymeric_or_extended_future_scope
YIXGIX,4,False,True,True,molecular_multinuclear_supported
SABDOT,9,True,False,True,molecular_multinuclear_supported
SAWNUC,10,False,False,True,molecular_multinuclear_supported
ZEKNEL,3,True,False,True,molecular_multinuclear_supported
SOHZAS,2,False,False,True,molecular_multinuclear_supported
COHXUW,4,False,False,True,molecular_multinuclear_supported
FIZJOO,2,False,True,True,molecular_multinuclear_supported
YIZCAN,8,False,True,True,molecular_multinuclear_supported
KIYQER,4,False,False,True,molecular_multinuclear_supported
XIFQUY,2,False,False,True,molecular_multinuclear_supported
FUYREX,15,False,True,False,polymeric_or_extended_future_scope
COWKUV,2,True,False,True,molecular_multinuclear_supported
HUZNIA,5,True,False,True,molecular_multinuclear_supported
MUFYIW,3,True,True,True,molecular_multinuclear_supported
TEJMEC,4,True,False,True,molecular_multinuclear_supported
QEXBUS,2,False,True,True,molecular_multinuclear_supported
HUVGAJ06,6,True,True,True,molecular_multinuclear_supported
NOWTOL,2,False,False,True,molecular_multinuclear_supported
XAPWOE,3,True,False,True,molecular_multinuclear_supported
YALJII,6,False,False,True,molecular_multinuclear_supported
YUNFAO,3,False,False,True,molecular_multinuclear_supported
HIKJAN,4,False,False,True,molecular_multinuclear_supported
DAMMAI,24,False,False,False,polymeric_or_extended_future_scope
YONFUG,3,False,True,True,molecular_multinuclear_supported
NIZFAG,2,True,False,True,molecular_multinuclear_supported
HOVXUO,4,False,False,True,molecular_multinuclear_supported
ECUNUL,2,False,True,True,molecular_multinuclear_supported
XODHOO,2,False,True,True,molecular_multinuclear_supported
COXMOU,2,False,False,True,molecular_multinuclear_supported
FUZXED,4,False,False,True,molecular_multinuclear_supported
