refcode,metal_count,metals,n_sites,bridge_count,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,identity_keys_present,record_generated,failure_stage,failure_reason
FAZQEF,2,Mn+Mn,10,2,True,True,True,True,True,True,True,True,True,,
HOSMUZ,2,Co+Co,4,0,True,True,True,True,True,True,True,True,True,,
OFABOP,4,Ag+Ag+Ag+Ag,8,0,True,True,True,True,True,True,True,True,True,,
TAKGUK,5,Cu+Cu+Cu+Cu+Cu,7,4,True,True,True,True,True,True,True,True,True,,
XEHXUD,2,Ni+Rh,9,0,True,True,True,True,True,True,True,True,True,,
YINHEL,2,Ni+Ni,6,1,True,True,True,True,True,True,True,True,True,,
FEXWOV,2,Fe+W,6,2,True,True,True,True,True,True,True,True,True,,
KEBYEV,3,Co+Co+Co,10,1,True,True,True,True,True,True,True,True,True,,
PAGSIB,2,Ti+Zr,2,0,True,True,True,True,True,True,True,True,True,,
MUZXUA,2,Rh+Rh,4,0,True,True,True,True,True,True,True,True,True,,
MURVUR,2,Co+Co,6,1,True,True,True,True,True,True,True,True,True,,
RUZSAK,4,Hg+Hg+Hg+Hg,4,4,True,True,True,True,True,True,True,True,True,,
GIGPOD,6,Mo+Mo+Mo+Mo+Mo+Mo,27,9,True,True,True,True,True,True,True,True,True,,
FAJLUY,2,Co+Co,4,0,True,True,True,True,True,True,True,True,True,,
MPECFE,2,Fe+Fe,9,1,True,True,True,True,True,True,True,True,True,,
HULKIL,4,Cu+Cu+Cu+Cu,12,2,True,True,True,True,True,True,True,True,True,,
WONBAD,6,Cd+Cd+Cd+Cd+Cd+Cd,18,4,True,True,True,True,True,True,True,True,True,,
CIRPOM,2,Re+Re,11,0,True,True,True,True,True,True,True,True,True,,
DOHXEG,2,Zn+Zn,7,0,True,True,True,True,True,True,True,True,True,,
GIXVAN,2,Ir+Ir,12,0,True,True,True,True,True,True,True,True,True,,
AFAPOP,5,Hg+Hg+Hg+Hg+Hg,5,3,True,True,True,True,True,True,True,True,True,,
FONBOB,2,Ti+Ti,10,2,True,True,True,True,True,True,True,True,True,,
JALSIB,4,Cu+Cu+Cu+Cu,20,0,True,True,True,True,True,True,True,True,True,,
NIGTEE,4,Fe+Fe+Fe+Fe,18,6,True,True,True,True,True,True,True,True,True,,
ITOQIT,12,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,60,4,True,True,True,True,True,True,True,True,True,,
DAHGEA,4,Ni+Ni+Ni+Ni,24,0,True,True,True,True,True,True,True,True,True,,
HIGKEQ01,2,Fe+Fe,2,0,True,True,True,True,True,True,True,True,True,,
LAGRET,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,9,5,True,True,True,True,True,True,True,True,True,,
JEGJOU01,3,Zn+Zn+Zn,4,1,True,True,True,True,True,True,True,True,True,,
RUGWAV,10,Co+Co+Co+Co+Co+Co+Co+Co+Co+Co,18,8,True,True,True,True,True,True,True,True,True,,
XINKAH,2,Cu+Cu,6,0,True,True,True,True,True,True,True,True,True,,
KEJXUU,4,Cu+Cu+Cu+Cu,15,0,True,True,True,True,True,True,True,True,True,,
SOFNUZ,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,10,6,True,True,True,True,True,True,True,True,True,,
UHORAK,4,Mo+Mo+Ni+Ni,17,5,True,True,True,True,True,True,True,True,True,,
QUHHUA,9,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,12,3,True,True,True,True,True,True,True,True,True,,
QAGYEE,3,Fe+Fe+Fe,12,1,True,True,True,True,True,True,True,True,True,,
HOHMUO,2,Cu+Cu,6,1,True,True,True,True,True,True,True,True,True,,
COPZAJ,2,Ni+Ni,6,2,True,True,True,True,True,True,True,True,True,,
LOLDOH,2,Fe+Fe,9,1,True,True,True,True,True,True,True,True,True,,
LOQWAT,3,Cu+Cu+Cu,6,3,True,True,True,True,True,True,True,True,True,,
FAYPOM,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,30,2,True,True,True,True,True,True,True,True,True,,
WAJLUQ,3,Fe+Pd+Pd,7,1,True,True,True,True,True,True,True,True,True,,
JORRIR10,2,Mo+Mo,14,0,True,True,True,True,True,True,True,True,True,,
ULODOQ,12,Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag,33,0,True,True,True,True,True,True,True,True,True,,
DOTVEQ,4,Ni+Ni+Ni+Ni,24,0,True,True,True,True,True,True,True,True,True,,
IJUYAN,2,Cd+Cd,6,2,True,True,True,True,True,True,True,True,True,,
HIFGUA,4,Zn+Zn+Zn+Zn,5,1,True,True,True,True,True,True,True,True,True,,
PAMBEL,3,Ag+Ag+Ag,13,0,True,True,True,True,True,True,True,True,True,,
GOKFAN,4,Hg+Hg+Hg+Hg,6,2,True,True,True,True,True,True,True,True,True,,
TURXOX,3,Ag+Ag+Ag,5,3,True,True,True,True,True,True,True,True,True,,
INISIK,3,Co+Co+Co,4,2,True,True,True,True,True,True,True,True,True,,
MICWED,4,Fe+Fe+Fe+Fe,16,2,True,True,True,True,True,True,True,True,True,,
NIZNIV,12,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,29,9,True,True,True,True,True,True,True,True,True,,
BUFKUL,2,Re+Re,12,0,True,True,True,True,True,True,True,True,True,,
WOCHUS,7,Mn+Mn+Mn+Mn+Mn+Mn+Mn,12,6,True,True,True,True,True,True,True,True,True,,
