refcode,metal_count,metals,n_sites,bridge_count,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,identity_keys_present,record_generated,failure_stage,failure_reason
XUVPEN,2,Fe+Fe,7,2,True,True,True,True,True,True,True,True,True,,
PAGVEB,2,Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
OSUNEW,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
RIBKUI,2,Ni+Ni,9,2,True,True,True,True,True,True,True,True,True,,
ELEYOM,7,Cd+Cd+Cd+Cd+Cd+Cd+Cd,12,4,True,True,True,True,True,True,True,True,True,,
QIYVEA,2,Zn+Zn,10,0,True,True,True,True,True,True,True,True,True,,
IDUTIM,4,Cu+Cu+Cu+Cu,14,6,True,True,True,True,True,True,True,True,True,,
NIRCIB,3,Fe+Fe+Fe,8,0,True,True,True,True,True,True,True,True,True,,
HAXLUN,2,Sc+Sc,1,1,True,True,True,True,True,True,True,True,True,,
ISITEK,2,Ag+Ag,3,0,True,True,True,True,True,True,True,True,True,,
MUYGOE,3,Zn+Zn+Zn,4,2,True,True,True,True,True,True,True,True,True,,
ODIBOS,2,Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
IFACAT02,9,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,18,3,True,True,True,True,True,True,True,True,True,,
FUGRAE,11,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,15,2,True,True,True,True,True,True,True,True,True,,
XADYEL,4,Re+Re+Re+Re,16,0,True,True,True,True,True,True,True,True,True,,
HACVOA,2,Hf+Hf,4,0,True,True,True,True,True,True,True,True,True,,
SEBBUA,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
YIXJUL,2,Pd+Pd,6,2,True,True,True,True,True,True,True,True,True,,
IWUCEI,2,V+V,10,0,True,True,True,True,True,True,True,True,True,,
NOPJAH,2,Pd+Pd,8,0,True,True,True,True,True,True,True,True,True,,
FOFLIX,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
YIHYOF,3,Ag+Ag+Ag,7,1,True,True,True,True,True,True,True,True,True,,
AKOXII,4,Mn+Mn+Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
RURKIZ,2,Ru+Ru,6,0,True,True,True,True,True,True,True,True,True,,
ICEZIB,8,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn,31,6,True,True,True,True,True,True,True,True,True,,
NIKCIW,2,Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
JOPQIR,3,Ni+Ni+Ni,14,2,True,True,True,True,True,True,True,True,True,,
QILYIW,2,Co+Ni,5,2,True,True,True,True,True,True,True,True,True,,
MARDUG,5,Zn+Zn+Zn+Zn+Zn,12,3,True,True,True,True,True,True,True,True,True,,
MOXYEH,2,Re+Re,12,0,True,True,True,True,True,True,True,True,True,,
BITMAS,3,Zn+Zn+Zn,12,4,True,True,True,True,True,True,True,True,True,,
REVRET,9,Hg+Hg+Ru+Ru+Ru+Ru+Ru+Ru+Ru,26,2,True,True,True,True,True,True,True,True,True,,
TABQIZ,2,Mo+Mo,8,0,True,True,True,True,True,True,True,True,True,,
VIDGIB,6,Ti+Ti+Ti+Ti+Ti+Ti,24,8,True,True,True,True,True,True,True,True,True,,
ROGVEO,2,Rh+Rh,8,0,True,True,True,True,True,True,True,True,True,,
PEBNEP,5,Co+Co+Cu+Cu+Cu,15,2,True,True,True,True,True,True,True,True,True,,
AVOZEQ,4,Fe+Fe+Ru+Ru,10,0,True,True,True,True,True,True,True,True,True,,
FOGROL,3,Cu+Cu+Cu,5,2,True,True,True,True,True,True,True,True,True,,
JIXDUP,2,Zr+Zr,4,0,True,True,True,True,True,True,True,True,True,,
ALANIK,2,Fe+Fe,12,0,True,True,True,True,True,True,True,True,True,,
TEHCOA,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
NUYMIE,3,Cu+Cu+Cu,4,2,True,True,True,True,True,True,True,True,True,,
WEPYOF,2,Cu+Cu,9,1,True,True,True,True,True,True,True,True,True,,
GUWZEH01,3,Fe+Fe+Fe,6,2,True,True,True,True,True,True,True,True,True,,
MAJWIF,2,Co+Co,6,0,True,True,True,True,True,True,True,True,True,,
CASGUB,5,Ni+Ni+Ni+Ni+Ni,12,4,True,True,True,True,True,True,True,True,True,,
NEKKAS,2,Pd+W,9,0,True,True,True,True,True,True,True,True,True,,
LEXRAI01,2,Zn+Zn,4,1,True,True,True,True,True,True,True,True,True,,
KULGIL,2,Cu+Cu,12,0,True,True,True,True,True,True,True,True,True,,
GINNEZ,2,Cu+Cu,7,2,True,True,True,True,True,True,True,True,True,,
GUHVEO03,2,Re+Re,12,0,True,True,True,True,True,True,True,True,True,,
MIDBOR,2,Rh+Rh,4,0,True,True,True,True,True,True,True,True,True,,
NUPSEY,3,Au+Au+Fe,4,0,True,True,True,True,True,True,True,True,True,,
YULTOR,4,Ni+Ni+Ni+Ni,12,4,True,True,True,True,True,True,True,True,True,,
IBEXAO,3,Co+Co+Co,10,1,True,True,True,True,True,True,True,True,True,,
GAGFAY,3,Pd+Pd+Pd,12,0,True,True,True,True,True,True,True,True,True,,
SASTEM,2,Hf+Hf,12,0,True,True,True,True,True,True,True,True,True,,
ZISGAN,5,Hg+Hg+Hg+Hg+Hg,14,4,True,True,True,True,True,True,True,True,True,,
XAFGEU,3,Mn+Mn+Mn,6,1,True,True,True,True,True,True,True,True,True,,
BAPSAM,2,Ni+Ni,10,2,True,True,True,True,True,True,True,True,True,,
DADJAV01,2,Co+Co,12,0,True,True,True,True,True,True,True,True,True,,
XOWBIX01,3,Cd+Cd+Cd,12,4,True,True,True,True,True,True,True,True,True,,
DUCVIJ,4,Zn+Zn+Zn+Zn,10,0,True,True,True,True,True,True,True,True,True,,
DEDCOF,2,Ru+Ru,4,2,True,True,True,True,True,True,True,True,True,,
DIYSEJ,3,Rh+Rh+Zr,8,2,True,True,True,True,True,True,True,True,True,,
NUTJOD,4,Ir+Ir+Ir+Ir,8,0,True,True,True,True,True,True,True,True,True,,
YUQQEI,6,Zn+Zn+Zn+Zn+Zn+Zn,10,2,True,True,True,True,True,True,True,True,True,,
MUNFEJ,3,Zn+Zn+Zn,4,2,True,True,True,True,True,True,True,True,True,,
QUSVUX,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
NUSDIQ,10,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,14,10,True,True,True,True,True,True,True,True,True,,
FOKNEY14,3,Ru+Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
QUGWEW,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,12,5,True,True,True,True,True,True,True,True,True,,
QUGWOG,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,12,5,True,True,True,True,True,True,True,True,True,,
XEQGIL,8,Co+Co+Co+Co+Co+Co+Co+Co,16,0,True,True,True,True,True,True,True,True,True,,
BOKNUO,3,Cd+Cd+Cd,6,2,True,True,True,True,True,True,True,True,True,,
FEJCAA,4,Hg+Hg+Ni+Ni,12,4,True,True,True,True,True,True,True,True,True,,
YATFUW,2,Cu+Cu,8,2,True,True,True,True,True,True,True,True,True,,
XEXNEV,7,Co+Co+Co+Co+Co+Co+Co,10,3,True,True,True,True,True,True,True,True,True,,
CUVCEB,4,Co+Co+Cu+Cu,14,6,True,True,True,True,True,True,True,True,True,,
WUVBIA,5,Co+Co+Co+Co+Co,18,1,True,True,True,True,True,True,True,True,True,,
NACVOC,3,Ag+Ag+Ag,4,1,True,True,True,True,True,True,True,True,True,,
VOKZOK,4,Os+Os+Os+W,16,3,True,True,True,True,True,True,True,True,True,,
MEPJOH,2,Mn+Mn,10,2,True,True,True,True,True,True,True,True,True,,
BAGBOE,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,5,4,True,True,True,True,True,True,True,True,True,,
IGEJIQ,12,Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr,16,5,True,True,True,True,True,True,True,True,True,,
ETEYAG,2,Zn+Zn,10,0,True,True,True,True,True,True,True,True,True,,
DOTJOO01,8,Cr+Cr+Cr+Cr+Cr+Cr+Cr+Cr,40,8,True,True,True,True,True,True,True,True,True,,
DINBIP,4,Cu+Cu+Cu+Cu,10,2,True,True,True,True,True,True,True,True,True,,
HAKMUB,2,Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
QIVGIM,2,Ta+Ta,12,0,True,True,True,True,True,True,True,True,True,,
EPAVEY,2,Ag+Ag,4,1,True,True,True,True,True,True,True,True,True,,
UQAMAC,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
QEQLAC,7,Fe+Fe+Fe+Fe+Hg+Hg+Hg,14,4,True,True,True,True,True,True,True,True,True,,
LUZBIU,12,Ag+Ag+Ti+Ti+Ti+Ti+Ti+Ti+Ti+Ti+Ti+Ti,58,9,True,True,True,True,True,True,True,True,True,,
BUSVIU,6,Os+Os+Os+Os+Os+Os,24,2,True,True,True,True,True,True,True,True,True,,
LADTUK,10,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,13,4,True,True,True,True,True,True,True,True,True,,
ZIJQUG,2,Ni+Ni,6,1,True,True,True,True,True,True,True,True,True,,
NAHHIN,10,Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe,38,12,True,True,True,True,True,True,True,True,True,,
LACXIW,2,W+W,14,0,True,True,True,True,True,True,True,True,True,,
YITNUL,4,Fe+Fe+Ni+Ni,24,0,True,True,True,True,True,True,True,True,True,,
CUDNUN03,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
YOSXAJ,2,Au+Au,6,0,True,True,True,True,True,True,True,True,True,,
BIPMIY,3,Cu+Cu+Cu,15,0,True,True,True,True,True,True,True,True,True,,
DAKDAV,6,Cd+Cd+Cd+Cd+Cd+Cd,16,1,True,True,True,True,True,True,True,True,True,,
WUCBUV,2,Ni+Ni,8,2,True,True,True,True,True,True,True,True,True,,
EHOHIT,2,Fe+Fe,8,0,True,True,True,True,True,True,True,True,True,,
BOVGAY,4,Ti+Ti+Ti+Ti,16,4,True,True,True,True,True,True,True,True,True,,
LEYJEI,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,8,4,True,True,True,True,True,True,True,True,True,,
DIDCAX,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
FALDAY,4,Cd+Cd+Cd+Cd,14,0,True,True,True,True,True,True,True,True,True,,
CAYGIT,2,Ni+Ni,10,2,True,True,True,True,True,True,True,True,True,,
TAWJIK,12,Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co,44,20,True,True,True,True,True,True,True,True,True,,
XUNWOV,2,Cu+Cu,4,0,True,True,True,True,True,True,True,True,True,,
SIGPUT,3,Ag+Mo+Mo,8,4,True,True,True,True,True,True,True,True,True,,
HAVBAL,6,Ag+Ag+Ag+Ag+Fe+Fe,12,1,True,True,True,True,True,True,True,True,True,,
TOCKUV,8,Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe,16,8,True,True,True,True,True,True,True,True,True,,
DOKRAW01,2,Mo+Mo,8,2,True,True,True,True,True,True,True,True,True,,
NUDCOE,3,Ag+Ag+Ag,6,0,True,True,True,True,True,True,True,True,True,,
AKIQIU01,2,Co+Co,6,2,True,True,True,True,True,True,True,True,True,,
FOSCEV,2,Mn+Mn,9,3,True,True,True,True,True,True,True,True,True,,
CIWREH,2,W+W,12,0,True,True,True,True,True,True,True,True,True,,
DUTXAV,2,Ru+Ru,9,3,True,True,True,True,True,True,True,True,True,,
LOHDIX,3,La+La+La,8,4,True,True,True,True,True,True,True,True,True,,
KOGRIJ,2,Re+Re,10,2,True,True,True,True,True,True,True,True,True,,
ZISSUP,2,Co+Co,10,0,True,True,True,True,True,True,True,True,True,,
ONUHOV,2,W+W,12,0,True,True,True,True,True,True,True,True,True,,
XOFPUE,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
JOYPAR01,6,Zn+Zn+Zn+Zn+Zn+Zn,8,4,True,True,True,True,True,True,True,True,True,,
DAKTEP,2,Rh+Rh,6,0,True,True,True,True,True,True,True,True,True,,
UXANEN,4,Pt+Pt+Pt+Pt,10,6,True,True,True,True,True,True,True,True,True,,
AVAVOI,2,Mo+Mo,8,0,True,True,True,True,True,True,True,True,True,,
NAKGAM,2,Mo+Mo,8,0,True,True,True,True,True,True,True,True,True,,
HOTSOA,4,Zn+Zn+Zn+Zn,8,4,True,True,True,True,True,True,True,True,True,,
CUGRIH,2,Sc+Sc,10,0,True,True,True,True,True,True,True,True,True,,
YUXFOM,4,Co+Co+Fe+Ru,14,1,True,True,True,True,True,True,True,True,True,,
LEQTOQ,7,Mn+Mn+Mn+Mn+Mn+Mn+Mn,12,6,True,True,True,True,True,True,True,True,True,,
TOJHIK12,2,Cu+Cu,8,0,True,True,True,True,True,True,True,True,True,,
EBEPAE,3,Ag+Ag+Ag,4,3,True,True,True,True,True,True,True,True,True,,
RUXHOK,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,10,3,True,True,True,True,True,True,True,True,True,,
CPZROX03,2,Zr+Zr,3,1,True,True,True,True,True,True,True,True,True,,
SAWMAE,3,Cr+Cr+Ni,10,0,True,True,True,True,True,True,True,True,True,,
LIBQES,4,Ni+Ni+Ni+Ni,20,4,True,True,True,True,True,True,True,True,True,,
FEYNIK,7,Ni+Ni+Ni+Ni+Ni+Ni+Ni,12,7,True,True,True,True,True,True,True,True,True,,
YUXFIJ,12,Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr,16,6,True,True,True,True,True,True,True,True,True,,
UTORAY,2,Ta+Ta,9,1,True,True,True,True,True,True,True,True,True,,
BODNIS,2,Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
BOBRIU,6,Pd+Pd+Pd+Pd+Pd+Pd,24,0,True,True,True,True,True,True,True,True,True,,
SAJTII,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
KELYOP,4,Ti+Ti+Ti+Ti,20,4,True,True,True,True,True,True,True,True,True,,
YAWXED,12,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,24,10,True,True,True,True,True,True,True,True,True,,
PMBACR,2,Rh+Rh,8,0,True,True,True,True,True,True,True,True,True,,
HAYBUG,2,Fe+Ru,3,0,True,True,True,True,True,True,True,True,True,,
WEJTAI,2,Cu+Cu,9,1,True,True,True,True,True,True,True,True,True,,
NEYZOJ,2,Au+Au,8,0,True,True,True,True,True,True,True,True,True,,
QORDAC,4,Co+Co+Ru+Ru,10,1,True,True,True,True,True,True,True,True,True,,
XIRNAQ,2,Re+Re,12,0,True,True,True,True,True,True,True,True,True,,
BITKIY,2,Mo+Mo,10,2,True,True,True,True,True,True,True,True,True,,
UDIFAR,6,Fe+Fe+Fe+Fe+Fe+Fe,22,12,True,True,True,True,True,True,True,True,True,,
HAHZEW,2,Zn+Zn,9,1,True,True,True,True,True,True,True,True,True,,
LUNBUT,2,Cr+Cr,2,0,True,True,True,True,True,True,True,True,True,,
YINKUB,2,Rh+Rh,6,0,True,True,True,True,True,True,True,True,True,,
YEGMUV,8,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,17,7,True,True,True,True,True,True,True,True,True,,
AVELUJ,5,Ni+Ni+Ni+Ni+Ni,13,0,True,True,True,True,True,True,True,True,True,,
URUCAM,7,Mo+Mo+Mo+Mo+Mo+Mo+Mo,25,13,True,True,True,True,True,True,True,True,True,,
TEBNOD,2,Cr+Cr,6,0,True,True,True,True,True,True,True,True,True,,
EWIHAU,8,Co+Co+Co+Co+Co+Co+Co+Co,48,0,True,True,True,True,True,True,True,True,True,,
QIZROI,2,Ag+Ag,6,2,True,True,True,True,True,True,True,True,True,,
YATTET,2,V+V,10,2,True,True,True,True,True,True,True,True,True,,
SOPROF,9,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,15,6,True,True,True,True,True,True,True,True,True,,
ROMYOK,6,Ag+Ag+Ag+Ag+Ag+Ag,8,3,True,True,True,True,True,True,True,True,True,,
VUJCAH,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,20,6,True,True,True,True,True,True,True,True,True,,
VOZCUI,4,Fe+Fe+Fe+Fe,8,4,True,True,True,True,True,True,True,True,True,,
SITZUR,6,Cu+Cu+Cu+Cu+Cu+Cu,30,0,True,True,True,True,True,True,True,True,True,,
FIRTOR,4,Cu+Cu+Cu+Cu,5,1,True,True,True,True,True,True,True,True,True,,
EJODUD,5,Cu+Cu+Cu+Cu+Cu,18,1,True,True,True,True,True,True,True,True,True,,
NAPSED,2,Ru+Ru,6,0,True,True,True,True,True,True,True,True,True,,
KEKVUR,3,Mo+Ni+Ni,6,2,True,True,True,True,True,True,True,True,True,,
BOGCUW,2,V+V,12,0,True,True,True,True,True,True,True,True,True,,
HUCBUD,6,Cu+Cu+Cu+Cu+Cu+Cu,10,2,True,True,True,True,True,True,True,True,True,,
VOZROV,3,Cu+Cu+Cu,3,3,True,True,True,True,True,True,True,True,True,,
EJEMOX,4,Cu+Cu+Cu+Cu,14,0,True,True,True,True,True,True,True,True,True,,
HEWXEP,4,Cd+Cd+Cd+Cd,14,2,True,True,True,True,True,True,True,True,True,,
QEMROP,2,Co+Co,6,2,True,True,True,True,True,True,True,True,True,,
YOCNAH,4,Cu+Cu+Cu+Cu,5,1,True,True,True,True,True,True,True,True,True,,
OHEXIJ,4,Ag+Ag+Ag+Ag,13,0,True,True,True,True,True,True,True,True,True,,
VOQMIB,2,Mn+Mn,6,1,True,True,True,True,True,True,True,True,True,,
PEMDES,2,Pt+Pt,8,0,True,True,True,True,True,True,True,True,True,,
ACRNCU01,6,Cu+Cu+Cu+Cu+Cu+Cu,10,2,True,True,True,True,True,True,True,True,True,,
ANIDEI,7,Fe+Fe+Fe+Hg+Hg+Hg+Hg,14,3,True,True,True,True,True,True,True,True,True,,
ESIZEO,5,Fe+Ni+Ni+Ni+Ni,18,2,True,True,True,True,True,True,True,True,True,,
PAWZUI,2,Rh+Rh,4,2,True,True,True,True,True,True,True,True,True,,
KIGNOD,12,Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd,28,12,True,True,True,True,True,True,True,True,True,,
NESBUI,2,Cd+Cd,12,0,True,True,True,True,True,True,True,True,True,,
SIKYOD,2,Fe+Fe,10,2,True,True,True,True,True,True,True,True,True,,
FOFFIR,2,Ni+Ni,12,0,True,True,True,True,True,True,True,True,True,,
JIQVEN,3,Zn+Zn+Zn,5,3,True,True,True,True,True,True,True,True,True,,
VUJLUJ,7,Co+Co+Co+Co+Co+W+W,34,2,True,True,True,True,True,True,True,True,True,,
LOHJUQ,3,Cd+Cd+Cd,6,2,True,True,True,True,True,True,True,True,True,,
HESQOP,2,Ru+Ru,6,0,True,True,True,True,True,True,True,True,True,,
XEHSIM,2,Rh+Rh,9,0,True,True,True,True,True,True,True,True,True,,
OWOBUY,2,Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
ZUYMIT,3,Nb+Nb+Nb,10,2,True,True,True,True,True,True,True,True,True,,
BALFAV01,6,Mo+Mo+Mo+Mo+Mo+Mo,11,4,True,True,True,True,True,True,True,True,True,,
QUJTEW,3,Cu+Cu+Cu,3,2,True,True,True,True,True,True,True,True,True,,
YIWVEG,4,Cu+Cu+Cu+Cu,12,4,True,True,True,True,True,True,True,True,True,,
FINFEP,3,Au+Au+Au,12,0,True,True,True,True,True,True,True,True,True,,
XUZTOC07,4,Cu+Cu+Cu+Cu,8,4,True,True,True,True,True,True,True,True,True,,
DULFOH,2,Co+Rh,2,0,True,True,True,True,True,True,True,True,True,,
IWAGAR,2,Ti+Ti,6,0,True,True,True,True,True,True,True,True,True,,
CADZAN,4,Rh+Rh+Rh+Rh,12,0,True,True,True,True,True,True,True,True,True,,
TOHRIR,2,Pd+Pd,6,2,True,True,True,True,True,True,True,True,True,,
HADFEA,4,Mn+Mn+Mn+Mn,22,0,True,True,True,True,True,True,True,True,True,,
IWEJUR,2,Pd+Pd,4,0,True,True,True,True,True,True,True,True,True,,
GAGMEI,2,Re+Rh,10,0,True,True,True,True,True,True,True,True,True,,
DOBNAL,2,Zn+Zn,10,2,True,True,True,True,True,True,True,True,True,,
ZOMREA,9,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,19,11,True,True,True,True,True,True,True,True,True,,
SEQRIP,2,Pt+Pt,4,0,True,True,True,True,True,True,True,True,True,,
KOXPIA,2,Ir+Ir,4,0,True,True,True,True,True,True,True,True,True,,
COHKOB,5,Co+Co+Co+Co+Co,11,5,True,True,True,True,True,True,True,True,True,,
ICUWIP,2,Zn+Zn,12,0,True,True,True,True,True,True,True,True,True,,
JAJDAD,2,Cu+Cu,8,0,True,True,True,True,True,True,True,True,True,,
QAYLAG,4,Cd+Cd+Cd+Cd,6,3,True,True,True,True,True,True,True,True,True,,
XOJZAA,2,Ir+Ir,4,0,True,True,True,True,True,True,True,True,True,,
HUJCEW,8,Ag+Ag+Ag+Ag+Au+Au+Au+Au,17,1,True,True,True,True,True,True,True,True,True,,
HOGXEK,2,Au+Au,8,0,True,True,True,True,True,True,True,True,True,,
TULGUF,2,Ir+Ir,6,0,True,True,True,True,True,True,True,True,True,,
ZOZCUQ,4,Cu+Cu+Cu+Cu,12,4,True,True,True,True,True,True,True,True,True,,
VIKRUE,3,Cu+Cu+Cu,4,2,True,True,True,True,True,True,True,True,True,,
OFAJEM,4,Co+Co+Co+Co,16,0,True,True,True,True,True,True,True,True,True,,
ZOTCAQ,7,Mo+Mo+Mo+Mo+Mo+Mo+Mo,25,13,True,True,True,True,True,True,True,True,True,,
KEPNAX04,5,Ag+Ag+Ag+Ag+Ag,12,2,True,True,True,True,True,True,True,True,True,,
YUBQET,4,Co+Co+Co+Co,6,4,True,True,True,True,True,True,True,True,True,,
WICJOI,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
CEQXOM,2,Fe+Fe,12,0,True,True,True,True,True,True,True,True,True,,
DIHTEW,6,Ag+Ag+Ag+Ag+Ag+Ag,12,4,True,True,True,True,True,True,True,True,True,,
WILMUZ,2,Y+Y,3,1,True,True,True,True,True,True,True,True,True,,
VUZLOT04,4,Fe+Fe+Fe+Fe,4,3,True,True,True,True,True,True,True,True,True,,
RUKVID,4,Fe+Fe+Mn+Mn,24,0,True,True,True,True,True,True,True,True,True,,
CUGLYM23,2,Cu+Cu,6,1,True,True,True,True,True,True,True,True,True,,
QIZVED,2,Pd+Pd,6,2,True,True,True,True,True,True,True,True,True,,
XOTXAG,4,La+La+La+La,13,1,True,True,True,True,True,True,True,True,True,,
VOYDOE,3,Fe+Mo+Mo,6,2,True,True,True,True,True,True,True,True,True,,
KAJPIW,5,Mn+Mn+Mn+Mn+Mn,24,6,True,True,True,True,True,True,True,True,True,,
GICDUT,2,Zn+Zn,6,1,True,True,True,True,True,True,True,True,True,,
DUFKAQ,2,Mn+Mo,8,1,True,True,True,True,True,True,True,True,True,,
ECOMAM,3,Pd+Pd+Pd,12,0,True,True,True,True,True,True,True,True,True,,
PILWIS,8,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,10,4,True,True,True,True,True,True,True,True,True,,
DUGZUE,2,Zn+Zn,8,0,True,True,True,True,True,True,True,True,True,,
FILZAF,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
HEYHOJ,2,Cu+Cu,8,2,True,True,True,True,True,True,True,True,True,,
QABZUS,2,Zn+Zn,5,1,True,True,True,True,True,True,True,True,True,,
LAZLIJ,5,Cu+Cu+Cu+Cu+Cu,6,5,True,True,True,True,True,True,True,True,True,,
JATWAG,9,Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag,9,4,True,True,True,True,True,True,True,True,True,,
MPNCNI01,2,Ni+Ni,8,2,True,True,True,True,True,True,True,True,True,,
MAVJUP,2,Ag+Ag,3,0,True,True,True,True,True,True,True,True,True,,
VARYOD,2,Zn+Zn,8,0,True,True,True,True,True,True,True,True,True,,
HAXSUW,2,Cu+Cu,7,1,True,True,True,True,True,True,True,True,True,,
NAMROL,3,Cd+Cd+Cd,7,3,True,True,True,True,True,True,True,True,True,,
SEJVOS,2,Tc+Tc,11,1,True,True,True,True,True,True,True,True,True,,
FIQYOV,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,10,4,True,True,True,True,True,True,True,True,True,,
FAHYOE,2,Ru+Ru,4,0,True,True,True,True,True,True,True,True,True,,
BAJMUX,2,Zn+Zn,6,0,True,True,True,True,True,True,True,True,True,,
NADVOF,2,Mo+Mo,10,2,True,True,True,True,True,True,True,True,True,,
IYOTOI,2,Mn+Mn,6,1,True,True,True,True,True,True,True,True,True,,
JUTSAS,2,Ru+Ru,7,3,True,True,True,True,True,True,True,True,True,,
BEPDAB,4,Cu+Cu+Cu+Cu,8,4,True,True,True,True,True,True,True,True,True,,
TAWWOG,9,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,15,7,True,True,True,True,True,True,True,True,True,,
KEVKEB,2,Pt+Pt,10,0,True,True,True,True,True,True,True,True,True,,
IZUSEB,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
LOHTIP,4,Ni+Ni+Ni+Ni,6,0,True,True,True,True,True,True,True,True,True,,
BUZFAE,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
BUXGUZ,3,Os+Os+Os,11,0,True,True,True,True,True,True,True,True,True,,
VICFIY,4,Co+Co+Co+Co,22,2,True,True,True,True,True,True,True,True,True,,
REKSUW,2,Cr+Cr,6,0,True,True,True,True,True,True,True,True,True,,
HULBEV,2,Pt+Pt,6,2,True,True,True,True,True,True,True,True,True,,
ZITVEG,2,Ru+Ru,6,0,True,True,True,True,True,True,True,True,True,,
BOXVOA,4,V+V+V+V,22,2,True,True,True,True,True,True,True,True,True,,
DOMCAM,5,Fe+Mn+Mn+Mn+Mn,12,3,True,True,True,True,True,True,True,True,True,,
GIQXAG,6,La+La+La+La+Ru+Ru,20,1,True,True,True,True,True,True,True,True,True,,
GAVJUL,2,Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
AZISEI,3,Fe+Ru+Ru,7,3,True,True,True,True,True,True,True,True,True,,
AQIFIS,3,Cu+Cu+Cu,4,2,True,True,True,True,True,True,True,True,True,,
GAQVUP,3,Mn+Mn+Ni,13,0,True,True,True,True,True,True,True,True,True,,
PUQXUU,8,Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru,26,6,True,True,True,True,True,True,True,True,True,,
DOQROQ,6,Mn+Mn+Mn+Mn+Mn+Mn,12,2,True,True,True,True,True,True,True,True,True,,
XIBBUF,4,Co+Co+Co+Co,14,2,True,True,True,True,True,True,True,True,True,,
GOGWIM,6,Ni+Ni+Ni+Ni+Ni+Ni,11,5,True,True,True,True,True,True,True,True,True,,
WABVIF05,5,Cu+Cu+Cu+Cu+Cu,8,1,True,True,True,True,True,True,True,True,True,,
WUZNEM,5,Cu+Cu+Cu+Cu+Cu,25,0,True,True,True,True,True,True,True,True,True,,
LAXBOD,12,Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd,48,0,True,True,True,True,True,True,True,True,True,,
AFUKUI,2,Cu+Cu,6,0,True,True,True,True,True,True,True,True,True,,
NITTIW,2,Ru+Ru,8,0,True,True,True,True,True,True,True,True,True,,
NUZWEM,4,Cu+Cu+V+V,15,3,True,True,True,True,True,True,True,True,True,,
