region,feature,value,count_in_region,n_region,fraction_in_region,fraction_overall,odds_ratio
SP-like,denticity_pattern,2-2-1-1,71,3406,0.0208,0.0016,310.668
Td-like,donor_set,"Cl,P",1147,41184,0.0279,0.0243,171.948
SP-like,denticity_pattern,3-3,483,3406,0.1418,0.0127,62.2
SP-like,denticity_pattern,6,36,3406,0.0106,0.0009,58.451
SP-like,oxidation_state,+4,216,3406,0.0634,0.0068,28.714
SP-like,oxidation_state,+3,118,3406,0.0346,0.0044,17.819
SP-like,donor_set,"C,S",208,3406,0.0611,0.0095,11.75
Td-like,denticity_pattern,1-1-1-1,6446,41184,0.1565,0.1387,10.843
Td-like,donor_set,S,1444,41184,0.0351,0.0311,8.689
SP-like,donor_set,"N,O,P",53,3406,0.0156,0.0031,7.269
Td-like,oxidation_state,+1,1042,41184,0.0253,0.0227,5.168
Td-like,metal,Pt,6835,41184,0.166,0.1502,4.522
intermediate/boundary,oxidation_state,+3,41,2597,0.0158,0.0044,4.319
SP-like,donor_set,"C,N,O",209,3406,0.0614,0.0192,4.053
intermediate/boundary,oxidation_state,+4,55,2597,0.0212,0.0068,3.633
SP-like,metal,Ni,1109,3406,0.3256,0.1363,3.49
SP-like,donor_set,"N,O",549,3406,0.1612,0.0611,3.409
intermediate/boundary,denticity_pattern,6,7,2597,0.0027,0.0009,3.254
SP-like,denticity_pattern,2,57,3406,0.0167,0.0061,3.237
Td-like,donor_set,"C,Cl",662,41184,0.0161,0.0147,3.147
Td-like,metal_row,6,9758,41184,0.2369,0.2183,3.116
intermediate/boundary,metal_row,4,1929,2597,0.7428,0.4963,3.104
SP-like,metal_row,4,2510,3406,0.7369,0.4963,3.064
intermediate/boundary,has_stereo,False,1619,2597,0.6234,0.3684,3.026
intermediate/boundary,denticity_pattern,3-3,88,2597,0.0339,0.0127,3.025
Td-like,metal,Au,1337,41184,0.0325,0.0298,2.973
SP-like,denticity_pattern,4,385,3406,0.113,0.0481,2.836
intermediate/boundary,denticity_pattern,2,40,2597,0.0154,0.0061,2.82
Td-like,donor_set,"C,P",829,41184,0.0201,0.0185,2.72
SP-like,d_count,d6,385,3406,0.113,0.05,2.696
intermediate/boundary,d_count,d6,295,2597,0.1136,0.05,2.638
Td-like,denticity_pattern,2-2,5629,41184,0.1367,0.1268,2.519
Td-like,donor_set,"C,Cl,N",871,41184,0.0211,0.0196,2.426
SP-like,donor_set,"C,O",64,3406,0.0188,0.0087,2.411
intermediate/boundary,metal,Hg,90,2597,0.0347,0.0159,2.389
Td-like,metal,Rh,1057,41184,0.0257,0.0238,2.37
SP-like,denticity_pattern,3-1,402,3406,0.118,0.0584,2.356
SP-like,metal,Ti,37,3406,0.0109,0.0051,2.323
Td-like,metal,Pd,9513,41184,0.231,0.2165,2.257
intermediate/boundary,d_count,d9,715,2597,0.2753,0.1515,2.254
intermediate/boundary,metal,Cu,715,2597,0.2753,0.1515,2.254
SP-like,donor_set,"N,S",117,3406,0.0344,0.0171,2.228
Td-like,denticity_pattern,2-1-1,7222,41184,0.1754,0.1642,2.214
