refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
CUZMOD,Y,,,P,1-1,1.5700,2.0200,0.1959,0.3054,0.4500,0.4373,0.1253,79732052631,595045730849,249525777148
CUZTEX,Cu,+2,d9,"N,O",1-1,0.5500,2.7200,-0.2596,0.4346,2.1700,0.1682,0.6636,293451745522,691345662420,782586414149
CYTREB,Cu,+2,d9,N,1-1,0.1200,5.3200,-0.9208,0.7259,5.2000,0.0221,0.9559,875042409622,950320745692,1579175328
DABBUF,Mo,,,,,0.0400,0.9400,-1.3979,-0.0269,0.9000,0.0408,0.9184,124853067713,942837205843,721111942198
DABJOI,Re,,,,,4.7400,5.6100,0.6758,0.7490,0.8700,0.4580,0.0841,817480882951,321501457072,579758133137
DABXUD,Co,+2,d7,"Cl,N",1-1,0.7500,6.5000,-0.1249,0.8129,5.7500,0.1034,0.7931,365260007871,409971480760,382000634548
DACBAL,Cu,+2,d9,,,11.7500,14.3900,1.0700,1.1581,2.6400,0.4495,0.1010,639750985624,112633551824,589398674184
DACFEW,Rh,+3,d6,"C,N,P",1-1-1-1,1.1700,4.9300,0.0682,0.6928,3.7600,0.1918,0.6164,226291370153,382051649998,147001756000
DACGEU,Rh,+3,d6,"C,N",1-1,6.4700,7.0200,0.8109,0.8463,0.5500,0.4796,0.0408,948842575054,634151772493,15537070592
DACGIZ,Ir,,,C,1-1,0.4000,5.1500,-0.3979,0.7118,4.7500,0.0721,0.8559,15175250584,427425529395,793709650122
DACNIF,Zn,+2,d10,,,0.3100,0.6900,-0.5086,-0.1612,0.3800,0.3100,0.3800,968055116294,811593691373,890600531357
DACVEI,W,,,"N,O",1-1,0.1800,5.7400,-0.7447,0.7589,5.5600,0.0304,0.9392,726299590215,10192204195,443467155881
DACZEP,Ru,+2,d6,"C,N,P",2-1-1,5.3300,5.6800,0.7267,0.7543,0.3500,0.4841,0.0318,300286880397,514749700961,204614306510
DACZIR,Cu,+2,d9,,,4.5500,12.9400,0.6580,1.1119,8.3900,0.2601,0.4797,355584745007,98391303084,188218726817
DACZOX,Cu,+2,d9,N,1-1,0.6600,2.9800,-0.1805,0.4742,2.3200,0.1813,0.6374,646606352904,275832315610,811700498502
DACZUD,Cu,+2,d9,N,1-1,0.4700,5.5600,-0.3279,0.7451,5.0900,0.0779,0.8441,799598499689,270760472258,651699910502
DADFOG,Zn,+2,d10,,,0.5400,6.0500,-0.2676,0.7818,5.5100,0.0819,0.8361,605721676001,275164067107,928054785079
DADGOI,Cu,+2,d9,N,1-1,4.1100,4.8200,0.6138,0.6830,0.7100,0.4602,0.0795,148789587269,124572732702,685757243441
DADGUO,Zn,+2,d10,N,1-1,4.9400,6.1900,0.6937,0.7917,1.2500,0.4438,0.1123,393549269765,558133441435,324994161705
DADJEX,Fe,+2,d6,,,5.1100,6.4600,0.7084,0.8102,1.3500,0.4417,0.1167,831602487476,687329527211,276609998687
DADLUR,Fe,+2,d6,,,0.9400,6.3800,-0.0269,0.8048,5.4400,0.1284,0.7432,54297011071,204839649475,441946548212
DADMAY,Co,+2,d7,,,0.6600,1.5000,-0.1805,0.1761,0.8400,0.3056,0.3889,169491786381,79038436582,700547265113
DADWAH,Cu,+2,d9,"Cl,N",1-1,3.3800,6.4600,0.5289,0.8102,3.0800,0.3435,0.3130,579559509683,269900061303,251038056746
DAEAZN01,Zn,+2,d10,"Br,N",1-1,0.5700,1.4300,-0.2441,0.1553,0.8600,0.2850,0.4300,753745768590,771411377484,774720173174
DAFBOC,Ru,+2,d6,N,2,5.4200,5.7500,0.7340,0.7597,0.3300,0.4852,0.0295,712907034123,555273519917,430878944580
DAFDOF,Co,+2,d7,,,1.4000,4.0600,0.1461,0.6085,2.6600,0.2564,0.4872,779379583727,568728846753,524949298548
DAFJIH,Zn,+2,d10,,,4.4400,6.1800,0.6474,0.7910,1.7400,0.4181,0.1638,654959038155,665284337852,364365870374
DAFKOO,Zn,+2,d10,,,6.9800,12.3800,0.8439,1.0927,5.4000,0.3605,0.2789,938737930107,70225019652,393985709403
DAFNIL,V,,,,,0.6700,1.3100,-0.1739,0.1173,0.6400,0.3384,0.3232,756310264712,259031082439,707203146493
DAFPAF,V,,,,,0.1500,0.7700,-0.8239,-0.1135,0.6200,0.1630,0.6739,584712770596,74291420916,642413554347
DAFRIP,V,,,,,5.6300,6.2300,0.7505,0.7945,0.6000,0.4747,0.0506,19873366350,414312161259,776088003083
DAGJON,Fe,+2,d6,N,1-1,4.5400,4.6200,0.6571,0.6646,0.0800,0.4956,0.0087,609576512926,282053664568,839655960376
DAGKAY,Cu,+2,d9,"N,O",1-1,4.9900,7.8000,0.6981,0.8921,2.8100,0.3901,0.2197,706635593624,743383396119,508435101355
DAGKEC,Cu,+2,d9,"N,O",3-1,0.6300,1.0900,-0.2007,0.0374,0.4600,0.3663,0.2674,503343151358,161496075691,97651206297
DAGLOQ,Fe,+2,d6,,,4.9300,5.5900,0.6928,0.7474,0.6600,0.4686,0.0627,238178903714,919183334314,27398210915
DAGNIL,Hf,,,,,0.7700,4.9700,-0.1135,0.6964,4.2000,0.1341,0.7317,898480341733,72429064575,726245234432
DAGNUY,Fe,+2,d6,C,1-1,7.1700,10.2700,0.8555,1.0116,3.1000,0.4111,0.1778,538595338032,395426122141,471792356085
DAGPEK,Fe,+2,d6,"C,P",1-1,0.4100,5.7300,-0.3872,0.7582,5.3200,0.0668,0.8664,234654881806,809275909391,570630885431
DAGQAG,Ir,,,"C,Cl,P",2-1-1,0.2300,1.4100,-0.6383,0.1492,1.1800,0.1402,0.7195,630647241333,295296766505,659956955976
DAGZEU,Cu,+2,d9,,,0.8100,1.3300,-0.0915,0.1239,0.5200,0.3785,0.2430,893371404569,383748224383,673282878898
DAHHAX,Cd,,,,,4.7400,6.5200,0.6758,0.8142,1.7800,0.4210,0.1581,611885834159,330661252675,710053824431
DAHSUB,Cd,,,,,0.7600,0.9900,-0.1192,-0.0044,0.2300,0.4343,0.1314,529404513343,874292261261,614233468859
DAHZES,Cu,+2,d9,"Cl,N",1-1,4.9600,5.9800,0.6955,0.7767,1.0200,0.4534,0.0932,524800009204,388707734481,350296745542
DAJCEZ,Ru,+2,d6,"C,N",1-1,4.7100,6.1300,0.6730,0.7875,1.4200,0.4345,0.1310,509898424543,613735792534,57209411497
DAJCID,Ru,+2,d6,"C,N",1-1,5.2500,5.9900,0.7202,0.7774,0.7400,0.4671,0.0658,382775944469,244627600050,177063213416
DAJCOH,Cu,+2,d9,"Cl,N,O,S",3-1,5.0900,5.9700,0.7067,0.7760,0.8800,0.4602,0.0796,309763020939,724525142230,123683597857
DAJCOJ,Ru,+2,d6,"C,N",1-1,5.0800,6.0800,0.7059,0.7839,1.0000,0.4552,0.0896,408442474658,873461358302,251973461535
DAJCUO,Co,+2,d7,"Cl,N",1-1,0.4900,6.0700,-0.3098,0.7832,5.5800,0.0747,0.8506,669786287863,646577872452,525191406556
DAJFEB,Co,+2,d7,N,2,5.1200,5.5400,0.7093,0.7435,0.4200,0.4803,0.0394,31185411350,279539649078,414640042599
DAJKAD,Zn,+2,d10,"C,O",1-1,0.2800,1.1300,-0.5528,0.0531,0.8500,0.1986,0.6028,193721343116,269743377671,246903806881
DAJKEH,Zn,+2,d10,"Br,C",1-1,1.1500,6.1600,0.0607,0.7896,5.0100,0.1573,0.6854,596056713014,328826634014,505878650552
DAJKOR,Zn,+2,d10,"C,I",1-1,1.6200,6.3400,0.2095,0.8021,4.7200,0.2035,0.5930,945883890259,925355928551,39014531381
DAJLAE,Zn,+2,d10,"C,O",1-1,0.3100,5.3600,-0.5086,0.7292,5.0500,0.0547,0.8907,153433124943,688697382474,999136867997
DAJLEI,Zn,+2,d10,"C,O",1-1,0.2400,1.2100,-0.6198,0.0828,0.9700,0.1655,0.6690,378040878945,41856227248,23178015724
DAJLIM,Zn,+2,d10,"C,O",1-1,0.3400,5.8500,-0.4685,0.7672,5.5100,0.0549,0.8901,190279687197,926745987758,23178015724
DAJLUY,Zn,+2,d10,"C,O",1-1,0.3300,5.4900,-0.4815,0.7396,5.1600,0.0567,0.8866,335028643283,774606107385,208690088318
DAJMAF,Zn,+2,d10,"C,O",1-1,0.3500,5.4100,-0.4559,0.7332,5.0600,0.0608,0.8785,626112839810,988539633379,875998113181
DAJMEJ,Zn,+2,d10,"C,O",1-1,0.3600,0.8700,-0.4437,-0.0605,0.5100,0.2927,0.4146,467560275901,52399012012,590889337354
DAJPAH,Hf,,,N,1-1,0.4400,6.5000,-0.3565,0.8129,6.0600,0.0634,0.8732,106073000509,861145491811,589304743112
DAJPIP,Zr,,,N,1-1,0.4500,6.1400,-0.3468,0.7882,5.6900,0.0683,0.8634,968583083362,956377870887,233143225996
DAJWIX,Tc,,,,,0.5800,0.8500,-0.2366,-0.0706,0.2700,0.4056,0.1888,836125926993,803530553341,407126887489
DAJWOD,Re,,,,,0.5900,1.1000,-0.2291,0.0414,0.5100,0.3491,0.3018,320714383449,513211977660,583209823416
DAJWUJ,Tc,,,,,4.9400,5.9200,0.6937,0.7723,0.9800,0.4549,0.0902,41842073222,481943912429,809613540306
DAJXAQ,Re,,,,,5.2200,6.0600,0.7177,0.7825,0.8400,0.4628,0.0745,733499805909,844824359870,518845995907
DAKGIG,Ir,,,"C,O,P",2-1-1,5.0400,6.5000,0.7024,0.8129,1.4600,0.4367,0.1265,136641062729,984460795482,650729940111
DAKKEJ,V,,,,,4.9000,6.1500,0.6902,0.7889,1.2500,0.4434,0.1131,127352308228,59673436776,437159601603
DAKKIN,V,,,,,4.7600,5.6000,0.6776,0.7482,0.8400,0.4595,0.0811,553193579558,316353267932,150110623554
DAKKOT,V,,,,,0.3200,4.5500,-0.4949,0.6580,4.2300,0.0657,0.8686,534328345956,120320842950,437159601603
DAKLUZ,Os,,,"Cl,N",1-1,0.6500,0.9900,-0.1871,-0.0044,0.3400,0.3963,0.2073,460204304399,884823381264,488596148922
DAKMEL,Sc,,,,,0.8300,2.1500,-0.0809,0.3324,1.3200,0.2785,0.4430,968178465675,218086335740,583651990345
DALBEZ,Ru,+2,d6,P,1-1,9.8600,10.6700,0.9939,1.0282,0.8100,0.4803,0.0395,84420206987,301199252151,421701587837
DALCUR,Mo,,,P,1-1,5.1900,5.5500,0.7152,0.7443,0.3600,0.4832,0.0335,841237208941,345527513104,980678381074
DALJIK,Ni,+2,d8,N,2,0.4800,6.3400,-0.3188,0.8021,5.8600,0.0704,0.8592,847551691228,470093764338,780837508429
DALJOQ,Zn,+2,d10,N,2,0.4000,3.9900,-0.3979,0.6010,3.5900,0.0911,0.8178,793230263294,46820612422,738174012788
DALWOE,Ru,+2,d6,,,3.5500,4.3700,0.5502,0.6405,0.8200,0.4482,0.1035,472303015583,193628280137,236198286726
DALWUK,Ru,+2,d6,,,0.7100,2.6300,-0.1487,0.4200,1.9200,0.2126,0.5749,211138157804,394164816923,543781794955
DAMCAX,Ru,+2,d6,,,0.8200,6.6400,-0.0862,0.8222,5.8200,0.1099,0.7802,656129702590,738977517113,208906292459
DAMFAA,Ru,+2,d6,"C,O",1-1,0.3700,1.7200,-0.4318,0.2355,1.3500,0.1770,0.6459,712128789339,514270940690,882544680501
DAMFEE,Ru,+2,d6,"C,O",1-1,5.7200,5.8900,0.7574,0.7701,0.1700,0.4927,0.0146,764519902320,808053493486,160592237496
DAMJAF,V,,,,,0.0800,1.3200,-1.0969,0.1206,1.2400,0.0571,0.8857,210533515368,79126217363,825758492975
DAMVAQ,Rh,+3,d6,,,16.7500,17.2200,1.2240,1.2360,0.4700,0.4931,0.0138,841736178511,55342958882,207344397326
DAMXIB,Mn,,,,,1.0500,6.5900,0.0212,0.8189,5.5400,0.1374,0.7251,334377827243,407816666443,914538795352
DAMYUL,Co,+2,d7,N,1-1,0.1100,5.5600,-0.9586,0.7451,5.4500,0.0194,0.9612,128748985442,379914359668,93504326486
DANCII,Ru,+2,d6,"C,N",1-1,5.4800,5.6500,0.7388,0.7520,0.1700,0.4924,0.0153,415924660571,22035586661,33310907728
DANCOK,Re,,,"C,P",2-1-1,5.8600,6.1100,0.7679,0.7860,0.2500,0.4896,0.0209,44170077755,820433660621,172056553911
DANHUV,Cu,+2,d9,"N,O",1-1,4.2700,6.3300,0.6304,0.8014,2.0600,0.4028,0.1943,284801033839,700234951203,248550521679
DANMEM,Ru,+2,d6,"C,Cl",2-2-1-1,7.3900,13.1900,0.8686,1.1202,5.8000,0.3591,0.2818,110673688393,712900650798,668060538707
DANNAJ,Ru,+2,d6,P,1-1,5.4400,7.6400,0.7356,0.8831,2.2000,0.4159,0.1682,827225747624,329785768240,428129955917
DANNIP01,Tc,,,,,5.8000,5.8400,0.7634,0.7664,0.0400,0.4983,0.0034,141989564681,715953833248,108630735052
DANXAU,Zr,,,N,1-1,0.3000,0.7800,-0.5229,-0.1079,0.4800,0.2778,0.4444,702699780588,61647292395,554988348085
DANXEY,Y,,,"N,O",1-1,0.2700,0.9300,-0.5686,-0.0315,0.6600,0.2250,0.5500,621780372035,334378775902,679559111574
DAPCIG,Fe,+2,d6,,,0.7600,4.6300,-0.1192,0.6656,3.8700,0.1410,0.7180,352909045287,750045620714,535761349810
DAPDEE,V,,,,,0.2400,1.6500,-0.6198,0.2175,1.4100,0.1270,0.7460,224938604481,175131668069,353825866772
DAPKOV01,Cu,+2,d9,"N,O",2,0.6100,4.6000,-0.2147,0.6628,3.9900,0.1171,0.7658,180906771303,871705622264,898921908688
DAPLAI,Cu,+2,d9,"N,O",2-2,0.6800,4.6400,-0.1675,0.6665,3.9600,0.1278,0.7444,729123338489,459808057356,873026927982
DAPMUC,Cr,,,,,5.4100,5.9700,0.7332,0.7760,0.5600,0.4754,0.0492,737239685972,821027272339,634933260844
DAPMUC01,Cr,,,,,5.5600,6.0800,0.7451,0.7839,0.5200,0.4777,0.0447,279674940424,821027272339,634933260844
DAPNAL,Zn,+2,d10,"N,O",1-1,0.4200,5.7600,-0.3768,0.7604,5.3400,0.0680,0.8641,527785331366,847445027091,957677244833
DAPPAM,Zn,+2,d10,N,2,4.4700,6.4400,0.6503,0.8089,1.9700,0.4097,0.1806,555210344339,64479655230,62167114770
DAPWUN,Cu,+2,d9,N,4,0.6300,0.7900,-0.2007,-0.1024,0.1600,0.4437,0.1127,857831532013,874962972484,692620295876
DAPXEY,Cu,+2,d9,N,2,4.0800,4.7000,0.6107,0.6721,0.6200,0.4647,0.0706,661161780825,794904758529,884912005182
DAPZIF,Pd,+2,d8,"Br,N,S",1-1-1-1,5.3500,6.5400,0.7284,0.8156,1.1900,0.4500,0.1001,671404714600,526596212363,581565416471
DAPZOL,Pd,+4,d6,N,1-1,5.3800,13.3000,0.7308,1.1239,7.9200,0.2880,0.4240,313100674651,342527784350,108623381120
DAQCUX,Cu,+2,d9,,,0.7200,5.2200,-0.1427,0.7177,4.5000,0.1212,0.7576,569001734685,443953242518,709584485236
DAQDEG,Ru,+2,d6,"O,P",1-1,7.6300,10.4000,0.8825,1.0170,2.7700,0.4232,0.1536,542762729457,899861189162,619234521282
DAQHAI,Fe,+2,d6,,,0.7300,1.2100,-0.1367,0.0828,0.4800,0.3763,0.2474,738717982745,92190975266,221582974784
DAQHUA,Zn,+2,d10,,,5.6300,7.7500,0.7505,0.8893,2.1200,0.4208,0.1584,222688100345,670603404733,976928154328
DAQJAI,Zn,+2,d10,,,1.2000,5.4200,0.0792,0.7340,4.2200,0.1813,0.6375,270710301442,838058809222,268474657863
DAQJEK,Cu,+2,d9,N,1-1,6.6400,9.8500,0.8222,0.9934,3.2100,0.4027,0.1947,267404994913,675077646253,820759481920
DAQXAY,Ni,+2,d8,"C,P",1-1,5.4300,5.7000,0.7348,0.7559,0.2700,0.4879,0.0243,257399300681,45323509335,220083538662
DAQXEY,Fe,+2,d6,N,2,0.1200,0.9800,-0.9208,-0.0088,0.8600,0.1091,0.7818,850494368716,751189836715,165415353414
DARVOI,Ag,,,,,0.5500,1.2800,-0.2596,0.1072,0.7300,0.3005,0.3989,850192375685,932022402244,920879986027
DASRUM,Co,+2,d7,,,0.7400,6.5800,-0.1308,0.8182,5.8400,0.1011,0.7978,362809016167,893082608347,785427547050
DASSIZ,Zn,+2,d10,N,1-1,0.5800,5.5800,-0.2366,0.7466,5.0000,0.0942,0.8117,201107631422,616450642143,731288442704
DATZED,Fe,+2,d6,,,4.6500,5.9700,0.6675,0.7760,1.3200,0.4379,0.1243,175038385652,706713767514,312371739433
DAVLIY,Mn,,,"C,N",1-1,5.3900,5.9700,0.7316,0.7760,0.5800,0.4745,0.0511,8547804251,112035990115,731357730600
DAVMOC,W,,,,,0.5500,5.9700,-0.2596,0.7760,5.4200,0.0844,0.8313,586539349578,967274650570,347564048206
DAVTUR,Cu,+2,d9,"N,O",1-1,5.2400,6.3300,0.7193,0.8014,1.0900,0.4529,0.0942,211029844136,473128563515,664788048244
DAWHAL,Ir,,,"C,O,P",2-1-1,5.5300,5.8500,0.7427,0.7672,0.3200,0.4859,0.0281,953763280975,970484748741,985709233216
DAWHEP,Ir,,,,,0.7300,2.7000,-0.1367,0.4314,1.9700,0.2128,0.5743,336783979271,285571130693,209324368607
DAWJIU,Cu,+2,d9,N,1-1,0.3900,3.8100,-0.4089,0.5809,3.4200,0.0929,0.8143,92807728059,97396318943,406991875966
DAWKES,Fe,+2,d6,,,0.8300,6.5400,-0.0809,0.8156,5.7100,0.1126,0.7748,342401473482,133928356495,920416066541
DAWLIX,Ti,,,"Cl,N",1-1,0.9800,5.9600,-0.0088,0.7752,4.9800,0.1412,0.7176,911992576665,844129237644,320448376475
DAWVUT,Co,+2,d7,,,0.4500,4.0100,-0.3468,0.6031,3.5600,0.1009,0.7982,903638804103,898184146797,248089430839
DAXGUF,Zn,+2,d10,,,0.4500,4.9100,-0.3468,0.6911,4.4600,0.0840,0.8321,792684771945,723161119181,723326016759
DAXXOR,Zn,+2,d10,,,0.2900,6.6600,-0.5376,0.8235,6.3700,0.0417,0.9165,310785735042,333914766625,869665007882
DAYDEO,Zn,+2,d10,O,2,5.2500,5.3100,0.7202,0.7251,0.0600,0.4972,0.0057,981067000222,835716237966,93827497147
DAYDIS,Co,+2,d7,O,2,0.6800,4.6600,-0.1675,0.6684,3.9800,0.1273,0.7453,508410957194,665238532239,765848593214
DAYQIF,Cu,+2,d9,O,2-2,4.4300,5.6500,0.6464,0.7520,1.2200,0.4395,0.1210,746950418762,927314854902,960411050347
DAYQOL,Cu,+2,d9,O,2-2,4.4900,5.6700,0.6522,0.7536,1.1800,0.4419,0.1161,406326276049,608748854241,66512258796
DAYQUR,Cu,+2,d9,O,2-2,0.6700,0.7000,-0.1739,-0.1549,0.0300,0.4891,0.0219,470752889217,266327555799,147879666053
DAYSAY,Zn,+2,d10,,,0.5400,5.8700,-0.2676,0.7686,5.3300,0.0842,0.8315,649469210407,839179709744,983252319206
DAYSEB,Cu,+2,d9,,,4.1400,5.0400,0.6170,0.7024,0.9000,0.4510,0.0980,147848073167,294282893398,443041830090
DAYXAC,Cu,+2,d9,,,0.7300,4.3400,-0.1367,0.6375,3.6100,0.1440,0.7120,300140460807,776881632293,291362679260
DAYXEG,Cu,+2,d9,"N,O",1-1,0.5400,0.7500,-0.2676,-0.1249,0.2100,0.4186,0.1628,332543257039,942050414663,884875105690
DAYXUW,Cu,+2,d9,,,1.2400,4.0000,0.0934,0.6021,2.7600,0.2366,0.5267,478326257598,83134928915,244174796645
DAZCOX,Zn,+2,d10,,,0.5100,0.8600,-0.2924,-0.0655,0.3500,0.3723,0.2555,324555605738,87142704360,811626738440
DAZKEU,Cu,+2,d9,"N,O",1-1,0.4100,5.9800,-0.3872,0.7767,5.5700,0.0642,0.8717,974583438639,672724292339,121953613867
DAZNEY,Cu,+2,d9,"N,O",1-1-1-1,7.5500,6.5700,0.8779,0.8176,0.9800,0.5347,0.0694,466585875147,330268751363,630604763166
DAZNEY01,Cu,+2,d9,"N,O",1-1-1-1,7.8600,16.2400,0.8954,1.2106,8.3800,0.3261,0.3477,863873674232,49681949121,630604763166
DAZXUA,Cu,+2,d9,"N,O",2-2,4.9100,6.1700,0.6911,0.7903,1.2600,0.4431,0.1137,568588653866,950956262170,576690214209
DEBDIB,Cu,+2,d9,"N,O",1-1,0.3500,6.5300,-0.4559,0.8149,6.1800,0.0509,0.8983,823503105239,856684048279,782041069194
DEBJEB,Co,+2,d7,"N,O",1-1,0.1400,5.5800,-0.8539,0.7466,5.4400,0.0245,0.9510,632296193193,189099436532,332055696826
DEBWUC,Ru,+2,d6,"C,P",1-1,5.1900,5.9000,0.7152,0.7709,0.7100,0.4680,0.0640,904493782586,694848537344,200159992918
DEBXUF,V,,,,,5.5700,5.9700,0.7459,0.7760,0.4000,0.4827,0.0347,104618660886,65209850336,722303515594
DEBYAM,V,,,,,5.2700,6.4400,0.7218,0.8089,1.1700,0.4500,0.0999,268189947679,510313147376,140717230740
DECBET,Cu,+2,d9,"N,S",2,0.6500,1.6900,-0.1871,0.2279,1.0400,0.2778,0.4444,600505486381,917326518788,904029457817
DECFOI,Hg,,,,,2.3300,4.9000,0.3674,0.6902,2.5700,0.3223,0.3555,780108944162,501625308032,667960573791
DECKON,Fe,+2,d6,,,0.5400,1.1600,-0.2676,0.0645,0.6200,0.3176,0.3647,59122654770,270518352177,427774545715
DECZAO,Ir,,,P,1-1,6.1600,6.2600,0.7896,0.7966,0.1000,0.4960,0.0081,186758942138,140387021842,899593710038
DECZES,Ir,,,"Cl,N,P",1-1-1-1,0.3600,1.6600,-0.4437,0.2201,1.3000,0.1782,0.6436,440249646352,574568845072,726924202889
DEDBAQ,Co,+2,d7,"C,P",1-1,0.6000,1.2500,-0.2218,0.0969,0.6500,0.3243,0.3514,7697831077,553431812617,38764812506
DEDBIY,Co,+2,d7,"C,P",1-1,0.5200,5.7700,-0.2840,0.7612,5.2500,0.0827,0.8347,603502730003,723674717615,547726649898
DEDBUK,Y,,,,,4.7700,6.3100,0.6785,0.8000,1.5400,0.4305,0.1390,542768983158,89596671864,161503964667
DEDCUL,Ti,,,,,0.2100,6.1800,-0.6778,0.7910,5.9700,0.0329,0.9343,696089682164,839806808104,669072793343
DEDGEZ,Hf,,,,,0.5300,5.0400,-0.2757,0.7024,4.5100,0.0952,0.8097,319303780524,489454749745,525108487811
DEDJEC,Zn,+2,d10,N,1-1,0.6900,1.0800,-0.1612,0.0334,0.3900,0.3898,0.2203,709497342201,74724218234,709853956326
DEDPEJ,Cu,+2,d9,"N,O",1-1-1-1,0.3200,0.8900,-0.4949,-0.0506,0.5700,0.2645,0.4711,377315291003,951306725828,747094451514
DEDROU,Ni,+2,d8,"Br,N",1-1,1.0800,5.0900,0.0334,0.7067,4.0100,0.1750,0.6499,907918975236,914662854268,536819380644
DEDRUD,Cu,+2,d9,,,0.6000,1.1400,-0.2218,0.0569,0.5400,0.3448,0.3103,340492778217,437314259554,141645591827
DEFXOE,Mo,,,,,0.9800,2.4800,-0.0088,0.3945,1.5000,0.2832,0.4335,797143502686,959194802447,958939618204
DEGLIL,Ru,+2,d6,Cl,1-1,0.1600,5.4500,-0.7959,0.7364,5.2900,0.0285,0.9430,819881306001,62214649085,533429413673
DEGPIR,Cd,,,,,5.5200,6.5400,0.7419,0.8156,1.0200,0.4577,0.0846,558538046174,458339111436,451316065671
DEGPOX,Zn,+2,d10,,,0.6100,6.1900,-0.2147,0.7917,5.5800,0.0897,0.8206,778062116498,722707051498,622853945228
DEGQUD,Zn,+2,d10,,,0.2800,0.6400,-0.5528,-0.1938,0.3600,0.3043,0.3913,852304180353,708089516579,893695869049
DEGVER,Ti,,,,,5.2500,5.9100,0.7202,0.7716,0.6600,0.4704,0.0591,753269165182,798706873835,511438430901
DEGWOB,Ti,,,"N,O",1-1,0.1200,5.2800,-0.9208,0.7226,5.1600,0.0222,0.9556,221387233690,671540822176,105869360470
DEGXIX,Hf,,,,,0.5000,0.6600,-0.3010,-0.1805,0.1600,0.4310,0.1379,191180079968,498815186219,453282037230
DEHFIH,Zn,+2,d10,"N,O",2,0.3900,3.3800,-0.4089,0.5289,2.9900,0.1034,0.7931,390088735983,275772858791,143549063866
DEHFON,Zn,+2,d10,,,4.2700,5.5400,0.6304,0.7435,1.2700,0.4353,0.1295,165392296850,538615149462,123065793627
DEHHOR,Rh,+3,d6,"I,P",1-1,1.0200,6.2900,0.0086,0.7987,5.2700,0.1395,0.7209,116554441331,628200390048,416840593801
DEHPEN,Zn,+2,d10,N,2,0.4200,5.3200,-0.3768,0.7259,4.9000,0.0732,0.8537,997833014784,28160612178,486756363111
DEHPIR,Cd,,,,,4.3500,5.0600,0.6385,0.7042,0.7100,0.4623,0.0755,250973259576,22524109953,68973312766
DEHPOX,Zn,+2,d10,N,2,0.2600,6.2800,-0.5850,0.7980,6.0200,0.0398,0.9205,800146793136,36917929901,611015070059
DEHQAK,Cu,+2,d9,"N,O",3-1,4.9400,8.5600,0.6937,0.9325,3.6200,0.3659,0.2681,334062328399,198755811656,276026619851
DEHSIU,Cu,+2,d9,,,0.5900,0.8200,-0.2291,-0.0862,0.2300,0.4184,0.1631,201248860046,402127642186,332716474375
DEHZAT,Cu,+2,d9,N,1-1,6.3600,10.2100,0.8035,1.0090,3.8500,0.3838,0.2323,866019753325,452672744875,404480562696
DEJHEF,Pt,+2,d8,"C,I",1-1,5.7500,6.7300,0.7597,0.8280,0.9800,0.4607,0.0785,605111846051,658199186140,426312750307
DEKFOR,Ru,+2,d6,"Cl,P",1-1,0.4000,5.7000,-0.3979,0.7559,5.3000,0.0656,0.8689,761210815272,520253427754,850750059507
DEKFUX,Ru,+2,d6,"N,P",1-1,0.1000,3.3700,-1.0000,0.5276,3.2700,0.0288,0.9424,278145602523,144535698501,919531100671
DEKGAC,Ag,,,,,5.0100,6.9500,0.6998,0.8420,1.9400,0.4189,0.1622,196044604287,819402505091,697388907704
DEKROD,Fe,+2,d6,,,0.7500,5.1600,-0.1249,0.7126,4.4100,0.1269,0.7462,917807143792,39217391449,286934410498
DEKWAU,Sc,,,,,0.8000,4.9100,-0.0969,0.6911,4.1100,0.1401,0.7198,963833416432,938607613284,868119684083
DELDED,W,,,C,1-1-1-1,5.7400,6.1800,0.7589,0.7910,0.4400,0.4815,0.0369,534784763476,965480703670,155802333842
DELHIP,V,,,,,4.9600,5.5800,0.6955,0.7466,0.6200,0.4706,0.0588,185412135523,420276525186,264341179170
DELKOY,Zn,+2,d10,"N,O",1-1,11.4100,9.4200,1.0573,0.9741,1.9900,0.5478,0.0955,625779347253,549006717100,8285856616
DELTIY,Zn,+2,d10,N,1-1,0.5000,1.0200,-0.3010,0.0086,0.5200,0.3289,0.3421,143787751466,277690393163,414277962875
DELTIY01,Zn,+2,d10,N,1-1,0.3500,6.1600,-0.4559,0.7896,5.8100,0.0538,0.8925,487376569140,492255498906,414277962875
DEMJIR,Zn,+2,d10,O,1-1,0.1600,6.0300,-0.7959,0.7803,5.8700,0.0258,0.9483,464757993853,349029660478,936849796850
DEMKEL10,Cu,+2,d9,"N,O",2-2,0.5200,0.8800,-0.2840,-0.0555,0.3600,0.3714,0.2571,4884414233,752395188063,542573306307
DEMKEO,Ag,,,,,11.0700,12.5200,1.0441,1.0976,1.4500,0.4693,0.0615,92873958493,182222055429,397039032742
DEMQUH,V,,,N,1-1,0.5600,5.5400,-0.2518,0.7435,4.9800,0.0918,0.8164,546676910659,360242275009,827702700474
DEMRIZ,Cu,+2,d9,,,8.6600,17.0400,0.9375,1.2315,8.3800,0.3370,0.3261,760200906852,958045598717,404049106636
DEMSET,V,,,,,5.3100,5.8000,0.7251,0.7634,0.4900,0.4779,0.0441,510184603907,595595167445,758504494719
