refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
AQIJAN,Ir,,,"C,P",1-1-1-1,0.8000,1.7700,-0.0969,0.2480,0.9700,0.3113,0.3774,138859029024,972354857219,221427033177
AQIQAS,Co,+2,d7,N,1-1,0.2900,6.1400,-0.5376,0.7882,5.8500,0.0451,0.9098,614608349526,531834727224,755667060634
AQOYAI,Zn,+2,d10,,,4.7400,5.6900,0.6758,0.7551,0.9500,0.4545,0.0911,170624772349,464999119005,760976629365
AQPYCU,Cu,+2,d9,"N,O",2-2,0.4400,0.6900,-0.3565,-0.1612,0.2500,0.3894,0.2212,69508412583,28862875185,105131608297
AQUBOE,Cu,+2,d9,"N,O",1-1-1-1,5.0000,6.1200,0.6990,0.7868,1.1200,0.4496,0.1007,915398469892,830154284342,665549019842
AQUDOG,Cu,+2,d9,N,4,0.3600,1.1100,-0.4437,0.0453,0.7500,0.2449,0.5102,671823319907,888864758291,854182459806
AQUGAX,Ru,+2,d6,"Cl,S",1-1,6.3300,6.4500,0.8014,0.8096,0.1200,0.4953,0.0094,331338509504,357278437664,312145174674
AQUJUU,Mn,,,,,4.8900,6.1400,0.6893,0.7882,1.2500,0.4433,0.1133,590805225377,255203492084,921766653886
ARAMIP,Cu,+2,d9,"O,S",2,4.8400,5.4900,0.6848,0.7396,0.6500,0.4685,0.0629,561566287169,972478842054,299041307473
ARAQEP,Rh,+3,d6,"Cl,N,P",1-1-1-1,0.3600,4.7900,-0.4437,0.6803,4.4300,0.0699,0.8602,647778826961,569365170491,481266953787
AREFIP,Zn,+2,d10,N,1-1,4.9700,5.1300,0.6964,0.7101,0.1600,0.4921,0.0158,882986313624,271124502587,559316024986
AREJAI,Zn,+2,d10,O,1-1,0.7600,0.9600,-0.1192,-0.0177,0.2000,0.4419,0.1163,267424547818,738498106980,998168927135
AREVOI,Cu,+2,d9,N,1-1,0.2900,0.8600,-0.5376,-0.0655,0.5700,0.2522,0.4957,855275967807,524892503322,203281956434
AREYAY,V,,,,,8.8800,12.1400,0.9484,1.0842,3.2600,0.4225,0.1551,479368033634,273055193591,632026340665
AREYEC,V,,,,,0.6200,5.7100,-0.2076,0.7566,5.0900,0.0979,0.8041,511798379034,613266277739,784804279468
AREYIG,V,,,,,0.6300,0.6600,-0.2007,-0.1805,0.0300,0.4884,0.0233,189748154349,845287115078,708921735745
AREYOM,V,,,,,0.6900,4.4800,-0.1612,0.6513,3.7900,0.1335,0.7331,500707988923,25340789601,642392394825
ARINIA,Fe,+2,d6,,,0.9200,1.4600,-0.0362,0.1644,0.5400,0.3866,0.2269,377449278279,565553012735,656744156106
ARIQEZ,Fe,+2,d6,P,1-1,0.3600,5.2400,-0.4437,0.7193,4.8800,0.0643,0.8714,277819947095,439242688735,336935134586
ARIQID,Fe,+2,d6,P,1-1,4.5400,4.7800,0.6571,0.6794,0.2400,0.4871,0.0258,248814323950,212141449381,376419317926
ARIWUT,W,,,"O,P",1-1,1.0800,2.2300,0.0334,0.3483,1.1500,0.3263,0.3474,456200476134,702530041431,859879055679
ARIXAA,W,,,"O,P",1-1,0.7900,0.8200,-0.1024,-0.0862,0.0300,0.4907,0.0186,175195836584,844474711441,620466153033
AROJOG,V,,,,,5.5400,6.0600,0.7435,0.7825,0.5200,0.4776,0.0448,450526344020,180838303126,754544980906
AROKOJ,Ru,+2,d6,"O,P",1-1,6.2000,6.3400,0.7924,0.8021,0.1400,0.4944,0.0112,947503227891,2329412898,809759444626
AROLAW,Ru,+2,d6,"O,P",1-1,0.4500,1.1600,-0.3468,0.0645,0.7100,0.2795,0.4410,262104149948,649362176513,568536801689
AROLUR,Cu,+2,d9,N,1-1,0.5000,5.8300,-0.3010,0.7657,5.3300,0.0790,0.8420,891772115508,18185659312,168307564025
ARORIK,Nb,,,"Br,N",1-1,0.4200,5.3700,-0.3768,0.7300,4.9500,0.0725,0.8549,272081937755,703645804607,172871231971
AROTEI,Fe,+2,d6,,,5.2500,5.9400,0.7202,0.7738,0.6900,0.4692,0.0617,698678458464,875268227318,566595994115
AROVEJ,Hg,,,"N,O",2,0.5000,5.4900,-0.3010,0.7396,4.9900,0.0835,0.8331,555628040140,595122103716,903596441949
AROYEO,Cu,+2,d9,N,1-1,8.2100,7.3500,0.9143,0.8663,0.8600,0.5276,0.0553,817141453978,406150540284,851148754491
ARUGAV,Cu,+2,d9,"Cl,N",3-1,4.8400,8.4200,0.6848,0.9253,3.5800,0.3650,0.2700,718580142665,384264243999,621343250135
ARUQUC,Fe,+2,d6,"C,N",1-1,5.4800,6.1000,0.7388,0.7853,0.6200,0.4732,0.0535,90434179069,854208584100,852996887889
ARURAJ,Fe,+2,d6,"C,N,P",3-1,0.2500,1.4100,-0.6021,0.1492,1.1600,0.1506,0.6988,656242093716,182996172327,852996887889
ARUSUE,Ir,,,"C,N,P",4,5.6100,7.2300,0.7490,0.8591,1.6200,0.4369,0.1262,427462252763,318189004851,426708144705
ASABIH,Zn,+2,d10,,,0.8400,1.4300,-0.0757,0.1553,0.5900,0.3700,0.2599,208646265942,626573281673,640859155828
ASABUS,Sc,,,,,0.4900,1.2400,-0.3098,0.0934,0.7500,0.2832,0.4335,484790560925,410966514636,899480504899
ASABUT,Zn,+2,d10,,,1.0300,5.6100,0.0128,0.7490,4.5800,0.1551,0.6898,838930886710,706249099014,359787448716
ASALUC,Cu,+2,d9,N,2,0.4300,2.0700,-0.3665,0.3160,1.6400,0.1720,0.6560,343432570886,392027503060,395440990034
ASAMIR,Cu,+2,d9,,,0.9900,1.2400,-0.0044,0.0934,0.2500,0.4439,0.1121,41166202600,147623477083,121653042172
ASAMIR01,Cu,+2,d9,,,5.1600,6.5800,0.7126,0.8182,1.4200,0.4395,0.1210,419180818159,793550975051,121653042172
ASAVOH,Mn,,,,,9.8700,9.0800,0.9943,0.9581,0.7900,0.5208,0.0417,861974134424,554354637624,407421766389
ASECAF,Cu,+2,d9,N,1-1,4.8200,5.6600,0.6830,0.7528,0.8400,0.4599,0.0802,709706500410,103945687548,76715770133
ASEKIV,Zr,,,,,5.4100,6.7400,0.7332,0.8287,1.3300,0.4453,0.1095,462636961938,743775706567,516090838813
