region,feature,value,count_in_region,n_region,fraction_in_region,fraction_overall,odds_ratio
high JT proxy,oxidation_state,+2,8403,22521,0.3731,0.4131,0.696
Oh/TPr boundary,d_count,d8,660,8800,0.075,0.099,0.688
Oh/TPr boundary,metal,Ni,660,8800,0.075,0.099,0.688
Oh/TPr boundary,donor_set,"N,O",1478,8800,0.168,0.2162,0.679
Oh/TPr boundary,donor_set,O,528,8800,0.06,0.0815,0.667
Oh/TPr boundary,denticity_pattern,3-3,222,8800,0.0252,0.0348,0.666
Oh/TPr boundary,d_count,d10,316,8800,0.0359,0.0495,0.663
Oh/TPr boundary,metal_row,4,3996,8800,0.4541,0.5425,0.637
high JT proxy,oxidation_state,+3,1872,22521,0.0831,0.1021,0.635
high JT proxy,d_count,d8,1807,22521,0.0802,0.099,0.632
high JT proxy,metal,Ni,1807,22521,0.0802,0.099,0.632
high JT proxy,d_count,d10,876,22521,0.0389,0.0495,0.611
high JT proxy,metal,Zn,876,22521,0.0389,0.0495,0.611
Oh/TPr boundary,metal,Co,526,8800,0.0598,0.0873,0.607
Oh/TPr boundary,denticity_pattern,1-1-1-1-1-1,1280,8800,0.1455,0.2106,0.576
high JT proxy,metal,Co,1490,22521,0.0662,0.0873,0.559
high JT proxy,metal_row,4,10719,22521,0.476,0.5425,0.552
high JT proxy,donor_set,O,1363,22521,0.0605,0.0815,0.54
high JT proxy,denticity_pattern,3-3,546,22521,0.0242,0.0348,0.499
high JT proxy,donor_set,"N,O",3615,22521,0.1605,0.2162,0.485
low distortion,donor_set,C,131,10060,0.013,0.0237,0.473
high JT proxy,denticity_pattern,1-1-1-1-1-1,3459,22521,0.1536,0.2106,0.47
high JT proxy,has_stereo,True,20632,22521,0.9161,0.9367,0.44
Oh/TPr boundary,denticity_pattern,2-2-1-1,616,8800,0.07,0.1311,0.435
low distortion,metal_row,5,1351,10060,0.1343,0.2327,0.432
Oh/TPr boundary,d_count,d9,247,8800,0.0281,0.0586,0.403
low distortion,metal,Ru,523,10060,0.052,0.1075,0.383
low distortion,donor_set,"C,P",156,10060,0.0155,0.0341,0.377
high JT proxy,denticity_pattern,2-2-1-1,1682,22521,0.0747,0.1311,0.326
low distortion,metal_row,6,975,10060,0.0969,0.2248,0.296
high JT proxy,d_count,d9,665,22521,0.0295,0.0586,0.295
low distortion,denticity_pattern,1-1-1-1,242,10060,0.0241,0.0671,0.28
low distortion,metal,Mo,200,10060,0.0199,0.0579,0.269
low distortion,metal,Re,276,10060,0.0274,0.0793,0.266
low distortion,donor_set,"C,N",201,10060,0.02,0.0622,0.249
low distortion,denticity_pattern,1-1,371,10060,0.0369,0.1156,0.234
low distortion,has_stereo,False,190,10060,0.0189,0.0633,0.229
low distortion,denticity_pattern,3-1-1-1,118,10060,0.0117,0.0428,0.213
low distortion,denticity_pattern,2-1-1,117,10060,0.0116,0.0449,0.2
low distortion,denticity_pattern,2-1-1-1-1,299,10060,0.0297,0.113,0.189
low distortion,denticity_pattern,2-2-2,192,10060,0.0191,0.0753,0.189
