model,target,n_fold_seed_runs,n_folds,n_seeds,parameters,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,spearman_mean,spearman_sd
visnet_3d,dipole_moment,15,5,3,282882,0.716328285410423,0.01632170467266379,1.2529516430702938,0.15628324415409486,0.9078082784836822,0.02149842074732977,0.9625020415995474,0.0020917585286613864
visnet_3d,hl_gap_ev,15,5,3,282882,0.2921519895190023,0.003088917960494479,0.4182155665302497,0.004541569730412858,0.7947888103463826,0.006088726332533262,0.8962838455527072,0.0030624022453555567
