subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
G0,visnet_3d,2,11,hl_gap_ev,55,83,127,0.2536855248588434,0.18668521445101532,0.6024096385542169,0.0
G0,visnet_3d,2,22,dipole_moment,59,87,139,4.1516091954022984,0.688903753942731,0.9655172413793104,0.0
G0,visnet_3d,2,22,hl_gap_ev,55,83,127,0.2536855248588434,0.23314994473905273,0.5662650602409639,0.0
G0,visnet_3d,2,33,dipole_moment,59,87,139,4.1516091954022984,0.6093126722489278,0.9770114942528736,0.0
G0,visnet_3d,2,33,hl_gap_ev,55,83,127,0.2536855248588434,0.2827330448799231,0.46987951807228917,0.0
G0,visnet_3d,3,11,dipole_moment,55,69,124,4.51579420289855,0.8357794831980827,0.9855072463768116,0.0
G0,visnet_3d,3,11,hl_gap_ev,47,62,107,0.4508048914305968,0.3963233821954833,0.5806451612903226,0.0
G0,visnet_3d,3,22,dipole_moment,55,69,124,4.51579420289855,0.9553448761262755,1.0,0.0
G0,visnet_3d,3,22,hl_gap_ev,47,62,107,0.4508048914305968,0.4398790793128311,0.532258064516129,0.0
G0,visnet_3d,3,33,dipole_moment,55,69,124,4.51579420289855,1.0420511992413064,0.9855072463768116,0.0
G0,visnet_3d,3,33,hl_gap_ev,47,62,107,0.4508048914305968,0.4000151448297146,0.7096774193548387,0.0
G0,visnet_3d,4,11,dipole_moment,51,63,108,5.784490476190477,0.6228954489995564,0.9841269841269841,0.0
G0,visnet_3d,4,11,hl_gap_ev,56,70,124,0.2446342496923143,0.20234472558515781,0.6428571428571429,0.0
G0,visnet_3d,4,22,dipole_moment,51,63,108,5.784490476190477,0.7633243078988694,0.9682539682539683,0.0
G0,visnet_3d,4,22,hl_gap_ev,56,70,124,0.2446342496923143,0.24420330496392628,0.6428571428571429,0.0
G0,visnet_3d,4,33,dipole_moment,51,63,108,5.784490476190477,0.7231084968687994,0.9841269841269841,0.0
G0,visnet_3d,4,33,hl_gap_ev,56,70,124,0.2446342496923143,0.22886758497676155,0.5857142857142857,0.0
S1,visnet_3d,0,11,dipole_moment,49,62,111,4.392035483870967,0.5998047082962529,1.0,0.0
S1,visnet_3d,0,11,hl_gap_ev,46,71,106,0.2170663778611127,0.225918002633706,0.4225352112676056,0.0
S1,visnet_3d,0,22,dipole_moment,49,62,111,4.392035483870967,0.5908319203653641,0.9516129032258065,0.0
S1,visnet_3d,0,22,hl_gap_ev,46,71,106,0.2170663778611127,0.2528695921758151,0.676056338028169,0.0
S1,visnet_3d,0,33,dipole_moment,49,62,111,4.392035483870967,0.5366205303069084,0.9838709677419355,0.0
S1,visnet_3d,0,33,hl_gap_ev,46,71,106,0.2170663778611127,0.23518159874794103,0.5915492957746479,0.0
S1,visnet_3d,1,11,dipole_moment,61,105,145,5.21434380952381,0.829558775671096,0.9904761904761905,0.0
S1,visnet_3d,1,11,hl_gap_ev,57,91,143,0.23083628270825274,0.24830710232166636,0.4725274725274725,0.0
S1,visnet_3d,1,22,dipole_moment,61,105,145,5.21434380952381,0.7270182487342471,0.9904761904761905,0.0
S1,visnet_3d,1,22,hl_gap_ev,57,91,143,0.23083628270825274,0.19737763651080123,0.6813186813186813,0.0
S1,visnet_3d,1,33,dipole_moment,61,105,145,5.21434380952381,0.6707113765135265,0.9809523809523809,0.0
S1,visnet_3d,1,33,hl_gap_ev,57,91,143,0.23083628270825274,0.22245237475924046,0.4725274725274725,0.0
