complex_id,ligand_id,denticity,all_correct,issue
tmqm_1165,L1,2,0,bidentate_all_wrong
tmqm_1171,L1,2,0,bidentate_all_wrong
tmqm_1173,L2,2,0,bidentate_all_wrong
tmqm_1190,L3,2,0,bidentate_all_wrong
tmqm_1194,L1,2,0,bidentate_all_wrong
tmqm_1202,L2,2,0,bidentate_all_wrong
tmqm_1211,L4,2,0,bidentate_all_wrong
tmqm_1244,L1,2,0,bidentate_all_wrong
tmqm_1266,L3,2,0,bidentate_all_wrong
tmqm_1267,L1,2,0,bidentate_all_wrong
tmqm_1272,L1,2,0,bidentate_all_wrong
tmqm_1290,L2,2,0,bidentate_all_wrong
tmqm_1293,L1,2,0,bidentate_all_wrong
tmqm_1314,L1,2,0,bidentate_all_wrong
tmqm_1320,L1,2,0,bidentate_all_wrong
tmqm_1322,L1,2,0,bidentate_all_wrong
tmqm_1335,L1,2,0,bidentate_all_wrong
tmqm_1338,L1,2,0,bidentate_all_wrong
tmqm_1344,L1,2,0,bidentate_all_wrong
tmqm_1351,L2,2,0,bidentate_all_wrong
tmqm_1356,L2,2,0,bidentate_all_wrong
tmqm_1382,L1,2,0,bidentate_all_wrong
tmqm_1384,L1,2,0,bidentate_all_wrong
tmqm_1387,L1,2,0,bidentate_all_wrong
tmqm_1390,L1,2,0,bidentate_all_wrong
tmqm_1391,L3,2,0,bidentate_all_wrong
tmqm_1393,L1,2,0,bidentate_all_wrong
tmqm_1397,L1,2,0,bidentate_all_wrong
tmqm_1411,L1,2,0,bidentate_all_wrong
tmqm_1412,L1,2,0,bidentate_all_wrong
tmqm_1416,L1,2,0,bidentate_all_wrong
tmqm_1419,L2,2,0,bidentate_all_wrong
tmqm_1435,L1,2,0,bidentate_all_wrong
tmqm_1444,L1,2,0,bidentate_all_wrong
tmqm_1454,L3,2,0,bidentate_all_wrong
tmqm_1475,L1,2,0,bidentate_all_wrong
tmqm_1481,L1,2,0,bidentate_all_wrong
tmqm_1482,L1,2,0,bidentate_all_wrong
tmqm_1487,L1,2,0,bidentate_all_wrong
tmqm_1497,L3,2,0,bidentate_all_wrong
tmqm_1514,L3,2,0,bidentate_all_wrong
tmqm_1518,L1,2,0,bidentate_all_wrong
tmqm_1522,L1,2,0,bidentate_all_wrong
tmqm_1525,L1,2,0,bidentate_all_wrong
tmqm_1528,L1,2,0,bidentate_all_wrong
tmqm_1532,L1,2,0,bidentate_all_wrong
tmqm_1543,L1,2,0,bidentate_all_wrong
tmqm_1548,L1,2,0,bidentate_all_wrong
tmqm_1551,L1,2,0,bidentate_all_wrong
tmqm_1560,L1,2,0,bidentate_all_wrong
tmqm_1562,L1,2,0,bidentate_all_wrong
tmqm_1563,L1,2,0,bidentate_all_wrong
tmqm_1566,L1,2,0,bidentate_all_wrong
tmqm_1567,L2,2,0,bidentate_all_wrong
tmqm_1568,L1,2,0,bidentate_all_wrong
tmqm_1580,L1,2,0,bidentate_all_wrong
tmqm_1595,L1,2,0,bidentate_all_wrong
tmqm_1596,L1,2,0,bidentate_all_wrong
tmqm_1605,L1,2,0,bidentate_all_wrong
tmqm_1633,L1,2,0,bidentate_all_wrong
tmqm_1645,L1,2,0,bidentate_all_wrong
tmqm_1655,L1,2,0,bidentate_all_wrong
tmqm_1663,L1,2,0,bidentate_all_wrong
tmqm_1682,L1,2,0,bidentate_all_wrong
tmqm_1684,L3,2,0,bidentate_all_wrong
tmqm_1686,L1,2,0,bidentate_all_wrong
tmqm_1701,L1,2,0,bidentate_all_wrong
tmqm_1719,L1,2,0,bidentate_all_wrong
tmqm_1723,L1,2,0,bidentate_all_wrong
tmqm_1744,L1,2,0,bidentate_all_wrong
tmqm_1747,L1,2,0,bidentate_all_wrong
tmqm_1749,L3,2,0,bidentate_all_wrong
tmqm_1759,L1,2,0,bidentate_all_wrong
tmqm_1763,L2,2,0,bidentate_all_wrong
tmqm_1766,L5,2,0,bidentate_all_wrong
tmqm_1768,L1,2,0,bidentate_all_wrong
tmqm_1773,L1,2,0,bidentate_all_wrong
tmqm_1784,L1,2,0,bidentate_all_wrong
tmqm_1787,L1,2,0,bidentate_all_wrong
tmqm_1792,L2,2,0,bidentate_all_wrong
tmqm_1794,L2,2,0,bidentate_all_wrong
tmqm_1796,L2,2,0,bidentate_all_wrong
tmqm_1802,L1,2,0,bidentate_all_wrong
tmqm_1810,L1,2,0,bidentate_all_wrong
tmqm_1815,L1,2,0,bidentate_all_wrong
tmqm_1819,L1,2,0,bidentate_all_wrong
tmqm_1827,L1,2,0,bidentate_all_wrong
tmqm_1830,L3,2,0,bidentate_all_wrong
tmqm_1846,L4,2,0,bidentate_all_wrong
tmqm_1847,L2,2,0,bidentate_all_wrong
tmqm_1857,L1,2,0,bidentate_all_wrong
tmqm_1865,L1,2,0,bidentate_all_wrong
tmqm_1874,L2,2,0,bidentate_all_wrong
tmqm_1879,L1,2,0,bidentate_all_wrong
tmqm_1880,L1,2,0,bidentate_all_wrong
tmqm_1887,L1,2,0,bidentate_all_wrong
tmqm_1890,L2,2,0,bidentate_all_wrong
tmqm_1891,L2,2,0,bidentate_all_wrong
tmqm_1902,L1,2,0,bidentate_all_wrong
tmqm_1907,L2,2,0,bidentate_all_wrong
tmqm_1908,L1,2,0,bidentate_all_wrong
tmqm_1910,L6,2,0,bidentate_all_wrong
tmqm_1920,L1,2,0,bidentate_all_wrong
tmqm_1937,L1,2,0,bidentate_all_wrong
tmqm_1963,L1,2,0,bidentate_all_wrong
tmqm_1981,L1,2,0,bidentate_all_wrong
tmqm_1987,L2,2,0,bidentate_all_wrong
tmqm_1991,L2,2,0,bidentate_all_wrong
tmqm_1994,L1,2,0,bidentate_all_wrong
tmqm_2000,L1,2,0,bidentate_all_wrong
tmqm_2002,L2,2,0,bidentate_all_wrong
tmqm_2008,L2,2,0,bidentate_all_wrong
tmqm_2018,L2,2,0,bidentate_all_wrong
tmqm_2030,L1,2,0,bidentate_all_wrong
tmqm_2031,L1,2,0,bidentate_all_wrong
tmqm_2032,L1,2,0,bidentate_all_wrong
tmqm_2038,L2,2,0,bidentate_all_wrong
tmqm_2043,L1,2,0,bidentate_all_wrong
tmqm_2046,L1,2,0,bidentate_all_wrong
tmqm_2050,L1,2,0,bidentate_all_wrong
tmqm_2051,L2,2,0,bidentate_all_wrong
tmqm_2054,L2,2,0,bidentate_all_wrong
tmqm_2057,L1,2,0,bidentate_all_wrong
tmqm_2059,L2,2,0,bidentate_all_wrong
tmqm_2066,L1,2,0,bidentate_all_wrong
tmqm_2086,L1,2,0,bidentate_all_wrong
tmqm_2088,L2,2,0,bidentate_all_wrong
tmqm_2091,L1,2,0,bidentate_all_wrong
tmqm_2097,L1,2,0,bidentate_all_wrong
tmqm_2109,L1,2,0,bidentate_all_wrong
tmqm_2115,L2,2,0,bidentate_all_wrong
tmqm_2117,L1,2,0,bidentate_all_wrong
tmqm_2124,L1,2,0,bidentate_all_wrong
tmqm_2145,L1,2,0,bidentate_all_wrong
tmqm_2147,L1,2,0,bidentate_all_wrong
tmqm_2156,L1,2,0,bidentate_all_wrong
tmqm_2164,L1,2,0,bidentate_all_wrong
tmqm_2167,L3,2,0,bidentate_all_wrong
tmqm_2172,L1,2,0,bidentate_all_wrong
tmqm_2195,L3,2,0,bidentate_all_wrong
tmqm_2197,L6,2,0,bidentate_all_wrong
tmqm_2202,L1,2,0,bidentate_all_wrong
tmqm_2203,L3,2,0,bidentate_all_wrong
tmqm_2204,L1,2,0,bidentate_all_wrong
tmqm_2207,L2,2,0,bidentate_all_wrong
tmqm_2212,L1,2,0,bidentate_all_wrong
tmqm_2214,L1,2,0,bidentate_all_wrong
tmqm_2215,L2,2,0,bidentate_all_wrong
tmqm_2224,L6,2,0,bidentate_all_wrong
tmqm_2226,L1,2,0,bidentate_all_wrong
tmqm_2228,L6,2,0,bidentate_all_wrong
tmqm_2251,L1,2,0,bidentate_all_wrong
tmqm_2278,L3,2,0,bidentate_all_wrong
tmqm_2281,L1,2,0,bidentate_all_wrong
tmqm_2282,L1,2,0,bidentate_all_wrong
tmqm_2284,L1,2,0,bidentate_all_wrong
tmqm_2291,L1,2,0,bidentate_all_wrong
tmqm_2295,L1,2,0,bidentate_all_wrong
tmqm_2296,L6,2,0,bidentate_all_wrong
tmqm_2299,L2,2,0,bidentate_all_wrong
tmqm_2305,L1,2,0,bidentate_all_wrong
tmqm_2311,L1,2,0,bidentate_all_wrong
tmqm_2318,L1,2,0,bidentate_all_wrong
tmqm_2331,L6,2,0,bidentate_all_wrong
tmqm_2337,L2,2,0,bidentate_all_wrong
tmqm_2340,L1,2,0,bidentate_all_wrong
tmqm_2344,L1,2,0,bidentate_all_wrong
tmqm_2347,L1,2,0,bidentate_all_wrong
tmqm_2369,L2,2,0,bidentate_all_wrong
tmqm_2388,L1,2,0,bidentate_all_wrong
tmqm_2395,L2,2,0,bidentate_all_wrong
tmqm_2400,L1,2,0,bidentate_all_wrong
tmqm_2402,L3,2,0,bidentate_all_wrong
tmqm_2403,L2,2,0,bidentate_all_wrong
tmqm_2406,L1,2,0,bidentate_all_wrong
tmqm_2418,L2,2,0,bidentate_all_wrong
tmqm_2427,L2,2,0,bidentate_all_wrong
tmqm_2432,L1,2,0,bidentate_all_wrong
tmqm_2437,L1,2,0,bidentate_all_wrong
tmqm_2439,L1,2,0,bidentate_all_wrong
tmqm_2442,L1,2,0,bidentate_all_wrong
tmqm_2452,L6,2,0,bidentate_all_wrong
tmqm_2470,L3,2,0,bidentate_all_wrong
tmqm_2471,L2,2,0,bidentate_all_wrong
tmqm_2483,L2,2,0,bidentate_all_wrong
tmqm_2498,L1,2,0,bidentate_all_wrong
tmqm_2508,L1,2,0,bidentate_all_wrong
tmqm_2513,L3,2,0,bidentate_all_wrong
tmqm_2516,L6,2,0,bidentate_all_wrong
tmqm_2517,L1,2,0,bidentate_all_wrong
tmqm_2527,L1,2,0,bidentate_all_wrong
tmqm_2538,L1,2,0,bidentate_all_wrong
tmqm_2548,L1,2,0,bidentate_all_wrong
tmqm_2556,L3,2,0,bidentate_all_wrong
tmqm_2558,L1,2,0,bidentate_all_wrong
tmqm_2560,L6,2,0,bidentate_all_wrong
tmqm_2561,L1,2,0,bidentate_all_wrong
tmqm_2563,L1,2,0,bidentate_all_wrong
tmqm_2565,L2,2,0,bidentate_all_wrong
tmqm_2569,L1,2,0,bidentate_all_wrong
tmqm_2577,L3,2,0,bidentate_all_wrong
tmqm_2581,L1,2,0,bidentate_all_wrong
tmqm_2584,L2,2,0,bidentate_all_wrong
tmqm_2589,L1,2,0,bidentate_all_wrong
tmqm_2605,L2,2,0,bidentate_all_wrong
tmqm_2607,L4,2,0,bidentate_all_wrong
tmqm_2608,L2,2,0,bidentate_all_wrong
tmqm_2611,L2,2,0,bidentate_all_wrong
tmqm_2618,L2,2,0,bidentate_all_wrong
tmqm_2619,L1,2,0,bidentate_all_wrong
tmqm_2623,L1,2,0,bidentate_all_wrong
tmqm_2641,L1,2,0,bidentate_all_wrong
tmqm_2642,L1,2,0,bidentate_all_wrong
tmqm_2658,L1,2,0,bidentate_all_wrong
tmqm_2682,L5,2,0,bidentate_all_wrong
tmqm_2683,L1,2,0,bidentate_all_wrong
tmqm_2705,L6,2,0,bidentate_all_wrong
tmqm_2711,L3,2,0,bidentate_all_wrong
tmqm_2714,L1,2,0,bidentate_all_wrong
tmqm_2726,L1,2,0,bidentate_all_wrong
tmqm_2727,L1,2,0,bidentate_all_wrong
tmqm_2730,L3,2,0,bidentate_all_wrong
tmqm_2732,L1,2,0,bidentate_all_wrong
tmqm_2741,L1,2,0,bidentate_all_wrong
tmqm_2745,L1,2,0,bidentate_all_wrong
tmqm_2749,L1,2,0,bidentate_all_wrong
tmqm_2750,L1,2,0,bidentate_all_wrong
tmqm_2751,L1,2,0,bidentate_all_wrong
tmqm_2754,L2,2,0,bidentate_all_wrong
tmqm_2761,L3,2,0,bidentate_all_wrong
tmqm_2762,L1,2,0,bidentate_all_wrong
tmqm_2771,L2,2,0,bidentate_all_wrong
tmqm_2772,L1,2,0,bidentate_all_wrong
tmqm_2784,L1,2,0,bidentate_all_wrong
tmqm_2793,L2,2,0,bidentate_all_wrong
tmqm_2794,L3,2,0,bidentate_all_wrong
tmqm_2796,L1,2,0,bidentate_all_wrong
tmqm_2799,L1,2,0,bidentate_all_wrong
tmqm_2803,L1,2,0,bidentate_all_wrong
tmqm_2820,L1,2,0,bidentate_all_wrong
tmqm_2831,L1,2,0,bidentate_all_wrong
tmqm_2836,L1,2,0,bidentate_all_wrong
tmqm_2848,L1,2,0,bidentate_all_wrong
tmqm_2852,L1,2,0,bidentate_all_wrong
tmqm_2857,L1,2,0,bidentate_all_wrong
tmqm_2865,L2,2,0,bidentate_all_wrong
tmqm_2867,L1,2,0,bidentate_all_wrong
tmqm_2868,L1,2,0,bidentate_all_wrong
tmqm_2876,L1,2,0,bidentate_all_wrong
tmqm_2878,L2,2,0,bidentate_all_wrong
tmqm_2882,L1,2,0,bidentate_all_wrong
tmqm_2885,L1,2,0,bidentate_all_wrong
tmqm_2888,L2,2,0,bidentate_all_wrong
tmqm_2895,L1,2,0,bidentate_all_wrong
tmqm_2912,L1,2,0,bidentate_all_wrong
tmqm_2915,L1,2,0,bidentate_all_wrong
tmqm_2917,L1,2,0,bidentate_all_wrong
