node_id,source_database,source_id,record_type,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,L0,L1,L2,L3,ligand_signature
MULTI_ACICUM,CSD_multi,ACICUM,multinuclear,3,Co+Co+Co,"5,5,6","TBPY,TBPY,OC","N,N,N,N,O,O,O,O,O,O,O,O",mu2-O,,Co+Co+Co|CN:5+5+6,Co+Co+Co|CN:5+5+6|Shape:TBPY+TBPY+OC,Co+Co+Co|CN:5+5+6|Shape:TBPY+TBPY+OC|Donors:N+N+N+N+O+O+O+O+O+O+O+O|Bridges:4,795df7ac9c64,N+N+N+N+O+O+O+O+O+O+O+O
MULTI_ACIDEX,CSD_multi,ACIDEX,multinuclear,2,Cu+Cu,"5,5","TBPY,TBPY","N,N,N,N,O,O,O,O,O,O",,,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:N+N+N+N+O+O+O+O+O+O|Bridges:0,fd75a0c1ad4f,N+N+N+N+O+O+O+O+O+O
MULTI_ACIFAU,CSD_multi,ACIFAU,multinuclear,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,"4,4,4,4,4,4,4,4","SP,SP,SP,SP,SP,SP,SP,SP","I,I,I,I,I,I,I,I,N,N,N,N,N,N,N,N",mu3-I,,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu|CN:4+4+4+4+4+4+4+4,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu|CN:4+4+4+4+4+4+4+4|Shape:SP+SP+SP+SP+SP+SP+SP+SP,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu|CN:4+4+4+4+4+4+4+4|Shape:SP+SP+SP+SP+SP+SP+SP+SP|Donors:I+I+I+I+I+I+I+I+N+N+N+N+N+N+N+N|Bridges:8,df1cc683360d,I+I+I+I+I+I+I+I+N+N+N+N+N+N+N+N
MULTI_ACIFEY,CSD_multi,ACIFEY,multinuclear,2,Zn+Zn,"4,4","SP,SP","Br,Br,Br,Br,N,N,N,N",,,Zn+Zn|CN:4+4,Zn+Zn|CN:4+4|Shape:SP+SP,Zn+Zn|CN:4+4|Shape:SP+SP|Donors:Br+Br+Br+Br+N+N+N+N|Bridges:0,1cddb42c4ccf,Br+Br+Br+Br+N+N+N+N
MULTI_ACIFEZ,CSD_multi,ACIFEZ,multinuclear,2,Cu+Cu,"4,4","SP,SP","N,N,N,N,N,N,N,N",,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+N+N+N+N|Bridges:0,144844df372e,N+N+N+N+N+N+N+N
MULTI_ACIGAW,CSD_multi,ACIGAW,multinuclear,4,Cu+Cu+Cu+Cu,"4,5,5,6","SP,TBPY,TBPY,OC","Cl,Cl,Cl,Cl,Cl,Cl,N,N,N,N,O,O,O","mu2-Cl,mu2-O,mu3-O",,Cu+Cu+Cu+Cu|CN:4+5+5+6,Cu+Cu+Cu+Cu|CN:4+5+5+6|Shape:SP+TBPY+TBPY+OC,Cu+Cu+Cu+Cu|CN:4+5+5+6|Shape:SP+TBPY+TBPY+OC|Donors:Cl+Cl+Cl+Cl+Cl+Cl+N+N+N+N+O+O+O|Bridges:5,65d570080101,Cl+Cl+Cl+Cl+Cl+Cl+N+N+N+N+O+O+O
MULTI_ACIHUQ,CSD_multi,ACIHUQ,multinuclear,2,Re+Re,"5,5","TBPY,TBPY","C,C,C,C,C,C,C,C,P,P",,,Re+Re|CN:5+5,Re+Re|CN:5+5|Shape:TBPY+TBPY,Re+Re|CN:5+5|Shape:TBPY+TBPY|Donors:C+C+C+C+C+C+C+C+P+P|Bridges:0,6a3d65f50b2c,C+C+C+C+C+C+C+C+P+P
MULTI_ACIJEE,CSD_multi,ACIJEE,multinuclear,12,V+V+V+V+V+V+V+V+V+V+V+V,"6,6,6,6,6,6,6,6,6,6,6,6","OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu6-O",,V+V+V+V+V+V+V+V+V+V+V+V|CN:6+6+6+6+6+6+6+6+6+6+6+6,V+V+V+V+V+V+V+V+V+V+V+V|CN:6+6+6+6+6+6+6+6+6+6+6+6|Shape:OC+OC+OC+OC+OC+OC+OC+OC+OC+OC+OC+OC,V+V+V+V+V+V+V+V+V+V+V+V|CN:6+6+6+6+6+6+6+6+6+6+6+6|Shape:OC+OC+OC+OC+OC+OC+OC+OC+OC+OC+OC+OC|Donors:O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:26,4817c92231b7,O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACIKIJ,CSD_multi,ACIKIJ,multinuclear,2,Fe+Ni,"3,4","TP,SP","C,P,P,S,S",mu2-S,,Fe+Ni|CN:3+4,Fe+Ni|CN:3+4|Shape:TP+SP,Fe+Ni|CN:3+4|Shape:TP+SP|Donors:C+P+P+S+S|Bridges:2,4913896e8d0d,C+P+P+S+S
MULTI_ACIKUT,CSD_multi,ACIKUT,multinuclear,2,Mo+Mo,"6,7","OC,PBPY","C,C,C,C,C,N,N,N,S,S,S",mu2-S,,Mo+Mo|CN:6+7,Mo+Mo|CN:6+7|Shape:OC+PBPY,Mo+Mo|CN:6+7|Shape:OC+PBPY|Donors:C+C+C+C+C+N+N+N+S+S+S|Bridges:2,275a10b5159b,C+C+C+C+C+N+N+N+S+S+S
