molecular_record_id,molecular_refcode,mof_node_id,mof_source_id,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MONO_ABUVUO,ABUVUO,MOF_ACEVAF,ACEVAF,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_ABUVUO,ABUVUO,MOF_ACICOH,ACICOH,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_ABUVUO,ABUVUO,MOF_ACUREY,ACUREY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_AGILAD,AGILAD,MOF_ABEHOH,ABEHOH,1,0.625,1.0,0.3333,0.3333,0.0,1.0,1.0,0.5,weak_match
MONO_AGILAD,AGILAD,MOF_ACAKEY,ACAKEY,2,0.625,1.0,0.3333,0.3333,0.0,1.0,1.0,0.5,weak_match
MONO_AGILAD,AGILAD,MOF_ACEVAF,ACEVAF,3,0.625,1.0,0.3333,0.3333,0.0,1.0,1.0,0.5,weak_match
MONO_AGILAD,AGILAD,MOF_ACICOH,ACICOH,4,0.625,1.0,0.3333,0.3333,0.0,1.0,1.0,0.5,weak_match
MONO_AGILAD,AGILAD,MOF_ACUREY,ACUREY,5,0.625,1.0,0.3333,0.3333,0.0,1.0,1.0,0.5,weak_match
MONO_ACEJUP,ACEJUP,MOF_ACOPOY,ACOPOY,1,0.725,1.0,0.0,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ACEJUP,ACEJUP,MOF_ABAVIM,ABAVIM,2,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ACEJUP,ACEJUP,MOF_ABAVIM01,ABAVIM01,3,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ACEJUP,ACEJUP,MOF_ABEHOH,ABEHOH,4,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ACEJUP,ACEJUP,MOF_ACAKEY,ACAKEY,5,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_AFATEG,AFATEG,MOF_ABEHOH,ABEHOH,1,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_AFATEG,AFATEG,MOF_ACAKEY,ACAKEY,2,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_AFATEG,AFATEG,MOF_ACEVAF,ACEVAF,3,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_AFATEG,AFATEG,MOF_ACICOH,ACICOH,4,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_AFATEG,AFATEG,MOF_ACUREY,ACUREY,5,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_ABEPEE,ABEPEE,MOF_ACOPOY,ACOPOY,1,0.725,1.0,0.0,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ABEPEE,ABEPEE,MOF_ABAVIM,ABAVIM,2,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ABEPEE,ABEPEE,MOF_ABAVIM01,ABAVIM01,3,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ABEPEE,ABEPEE,MOF_ABEHOH,ABEHOH,4,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_ABEPEE,ABEPEE,MOF_ACAKEY,ACAKEY,5,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MULTI_ADIVAK,ADIVAK,MOF_ABIJUS,ABIJUS,1,0.369,0.4,0.2759,0.525,0.0,0.0,0.7,0.5,no_match
MULTI_ADIVAK,ADIVAK,MOF_ACOVIB,ACOVIB,2,0.3249,0.3,0.3462,0.6917,0.0,0.0,0,0.5,no_match
MULTI_ADIVAK,ADIVAK,MOF_ACOZAW,ACOZAW,3,0.3218,0.0,0.32,0.7143,0.4286,0.125,0.4,0.5,no_match
MULTI_ADIVAK,ADIVAK,MOF_ACRNCU,ACRNCU,4,0.3172,0.0,0.2353,0.5667,0.5,0.25,0.7,0.5,no_match
MULTI_ADIVAK,ADIVAK,MOF_ACRNCU01,ACRNCU01,5,0.3172,0.0,0.2353,0.5667,0.5,0.25,0.7,0.5,no_match
MONO_AFOMAN,AFOMAN,MOF_ACODEE,ACODEE,1,0.8679,1.0,0.5714,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_AFOMAN,AFOMAN,MOF_ABIWAL,ABIWAL,2,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_AFOMAN,AFOMAN,MOF_ACUGEM,ACUGEM,3,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_AFOMAN,AFOMAN,MOF_ACURIZ,ACURIZ,4,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_AFOMAN,AFOMAN,MOF_ADAXUB,ADAXUB,5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ACICFE01,ACICFE01,MOF_ABUFUA,ABUFUA,1,0.445,0.8,0.0,0.6667,0.3333,0.0,0.7,0.5,no_match
MULTI_ACICFE01,ACICFE01,MOF_ACOMEL,ACOMEL,2,0.445,0.8,0.0,0.6667,0.3333,0.0,0.7,0.5,no_match
MULTI_ACICFE01,ACICFE01,MOF_ACOVIB01,ACOVIB01,3,0.4289,0.8,0.1667,0.6111,0.0,0.0,0.4,0.5,no_match
MULTI_ACICFE01,ACICFE01,MOF_ACOVIB02,ACOVIB02,4,0.4289,0.8,0.1667,0.6111,0.0,0.0,0.4,0.5,no_match
MULTI_ACICFE01,ACICFE01,MOF_ABIVUC,ABIVUC,5,0.4283,0.8,0.0,0.5417,0.5,0.0,0.7,0.5,no_match
MONO_AFUYAD,AFUYAD,MOF_ACODAA,ACODAA,1,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_AFUYAD,AFUYAD,MOF_ACODEE,ACODEE,2,0.6798,1.0,0.2857,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_AFUYAD,AFUYAD,MOF_ABEXUD,ABEXUD,3,0.6333,0.0,1.0,0.6667,0.0,1.0,1.0,1.0,weak_match
MONO_AFUYAD,AFUYAD,MOF_ACOVIB01,ACOVIB01,4,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MONO_AFUYAD,AFUYAD,MOF_ACOVIB02,ACOVIB02,5,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MULTI_ABEMAV,ABEMAV,MOF_ACOVIB01,ACOVIB01,1,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MULTI_ABEMAV,ABEMAV,MOF_ACOVIB02,ACOVIB02,2,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MULTI_ABEMAV,ABEMAV,MOF_ACOLAG,ACOLAG,3,0.6083,1.0,0.0,0.6667,0.0,1.0,1.0,0.5,weak_match
MULTI_ABEMAV,ABEMAV,MOF_ABUFUA,ABUFUA,4,0.5917,1.0,0.0,0.5833,0.0,1.0,1.0,0.5,weak_match
MULTI_ABEMAV,ABEMAV,MOF_ACOMEL,ACOMEL,5,0.5917,1.0,0.0,0.5833,0.0,1.0,1.0,0.5,weak_match
MONO_ACOREQ01,ACOREQ01,MOF_ACODEE,ACODEE,1,0.8679,1.0,0.5714,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ACOREQ01,ACOREQ01,MOF_ABIWAL,ABIWAL,2,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_ACOREQ01,ACOREQ01,MOF_ACUGEM,ACUGEM,3,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_ACOREQ01,ACOREQ01,MOF_ACURIZ,ACURIZ,4,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MONO_ACOREQ01,ACOREQ01,MOF_ADAXUB,ADAXUB,5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ADEDAR,ADEDAR,MOF_ACOVIB01,ACOVIB01,1,0.5339,0.8,0.5556,0.5,0.0,0.0,0.7,0.5,weak_match
MULTI_ADEDAR,ADEDAR,MOF_ACOVIB02,ACOVIB02,2,0.5339,0.8,0.5556,0.5,0.0,0.0,0.7,0.5,weak_match
MULTI_ADEDAR,ADEDAR,MOF_ACATUX,ACATUX,3,0.4717,0.0,0.1667,0.9,0.5,1.0,1.0,0.5,no_match
MULTI_ADEDAR,ADEDAR,MOF_ACOLAG,ACOLAG,4,0.4583,1.0,0.0,0.6667,0.0,0.0,0.5,0.5,no_match
MULTI_ADEDAR,ADEDAR,MOF_ABUFUA,ABUFUA,5,0.4417,1.0,0.0,0.5833,0.0,0.0,0.5,0.5,no_match
