mof_node_id,mof_source_id,molecular_record_id,molecular_refcode,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MOF_ABUSOG,ABUSOG,MONO_AGAGOH,AGAGOH,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUSOG,ABUSOG,MONO_AFEWOA,AFEWOA,3,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABUSOG,ABUSOG,MONO_ACATMN,ACATMN,4,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABUSOG,ABUSOG,MONO_ADAZEL,ADAZEL,5,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABUWOJ,ABUWOJ,MULTI_ACENOL,ACENOL,1,0.7014,1.0,0.6923,0.75,0.6667,0.2,0.5,0.5,relaxed_donor_geometry_match
MOF_ABUWOJ,ABUWOJ,MULTI_ACOQOY,ACOQOY,2,0.5361,1.0,0.0,0.7222,0.3333,0.0,1.0,0.5,weak_match
MOF_ABUWOJ,ABUWOJ,MULTI_AFEGAV,AFEGAV,3,0.4656,0.8,0.2778,0.5556,0.5,0.25,0.1,0.5,no_match
MOF_ABUWOJ,ABUWOJ,MULTI_AFAXEN,AFAXEN,4,0.4622,0.0,0.9,0.2778,0.3333,1.0,0.4,0.5,no_match
MOF_ABUWOJ,ABUWOJ,MULTI_ABEREE,ABEREE,5,0.4584,0.0,0.9474,0.6111,0.3333,0.0769,0.5,0.5,no_match
MOF_ABUXEB,ABUXEB,MULTI_ACIMEG,ACIMEG,1,0.6352,0.8,0.8889,0.4167,0.2,0.8462,0.1,0.5,bridge_topology_match
MOF_ABUXEB,ABUXEB,MULTI_ACANOJ,ACANOJ,2,0.549,0.3,0.7429,0.55,0.2,0.7333,0.7,0.5,weak_match
MOF_ABUXEB,ABUXEB,MULTI_ACAPEB,ACAPEB,3,0.5375,0.3,0.675,0.7,0.2,0.6875,0.5,0.5,weak_match
MOF_ABUXEB,ABUXEB,MULTI_ACAPIF,ACAPIF,4,0.5375,0.3,0.675,0.7,0.2,0.6875,0.5,0.5,weak_match
MOF_ABUXEB,ABUXEB,MULTI_ADIDAW,ADIDAW,5,0.5201,0.3,0.8438,0.4333,0.2,0.725,0.4,0.5,weak_match
MOF_ABUXED,ABUXED,MONO_ABCOPD,ABCOPD,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXED,ABUXED,MONO_ACAJUM,ACAJUM,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXED,ABUXED,MONO_ACARAX,ACARAX,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXED,ABUXED,MONO_ACEJAU,ACEJAU,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXED,ABUXED,MONO_ACEJAU01,ACEJAU01,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXIH,ABUXIH,MONO_ACIFIC,ACIFIC,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXIH,ABUXIH,MONO_ACIMCU10,ACIMCU10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXIH,ABUXIH,MONO_ACUTAN10,ACUTAN10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXIH,ABUXIH,MONO_ACUVOK,ACUVOK,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXIH,ABUXIH,MONO_ADORES,ADORES,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUXON,ABUXON,MULTI_ACULAO,ACULAO,1,0.7626,1.0,0.5217,1.0,1.0,0.5714,0.5,0.5,weak_match
MOF_ABUXON,ABUXON,MULTI_ADACAJ,ADACAJ,2,0.6925,1.0,0.7368,0.6667,0.0,0.5,0.5,0.5,bridge_topology_match
MOF_ABUXON,ABUXON,MULTI_ACACNI,ACACNI,3,0.6748,0.8,0.55,0.75,0.75,0.5476,0.7,0.5,weak_match
MOF_ABUXON,ABUXON,MULTI_ACACNI01,ACACNI01,4,0.6748,0.8,0.55,0.75,0.75,0.5476,0.7,0.5,weak_match
MOF_ABUXON,ABUXON,MULTI_ADERIK01,ADERIK01,5,0.6748,0.8,0.55,0.75,0.75,0.5476,0.7,0.5,weak_match
MOF_ABUXUT,ABUXUT,MULTI_ACUZUT,ACUZUT,1,0.77,0.8,1.0,0.6667,0.6667,0.3333,0.7,1.0,relaxed_donor_geometry_match
MOF_ABUXUT,ABUXUT,MULTI_ACAFIW,ACAFIW,2,0.7512,1.0,0.5714,1.0,1.0,0.3333,0.5,0.5,weak_match
MOF_ABUXUT,ABUXUT,MULTI_ADARAY,ADARAY,3,0.75,1.0,0.5,1.0,1.0,0.0,1.0,0.5,weak_match
MOF_ABUXUT,ABUXUT,MULTI_ADARAY01,ADARAY01,4,0.75,1.0,0.5,1.0,1.0,0.0,1.0,0.5,weak_match
MOF_ABUXUT,ABUXUT,MULTI_ACUBUX,ACUBUX,5,0.6806,1.0,0.4444,0.8889,0.3333,0.0,1.0,0.5,weak_match
MOF_ABUYAA,ABUYAA,MULTI_ACHACO,ACHACO,1,0.8523,1.0,0.9091,1.0,1.0,0.5,0.5,0.5,bridge_topology_match
MOF_ABUYAA,ABUYAA,MULTI_ABOLOU,ABOLOU,2,0.8173,1.0,0.7692,1.0,1.0,0.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABUYAA,ABUYAA,MULTI_ADEGUN,ADEGUN,3,0.8173,1.0,0.7692,1.0,1.0,0.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABUYAA,ABUYAA,MULTI_ACAQIE,ACAQIE,4,0.7583,1.0,0.5333,1.0,1.0,0.0,1.0,0.5,weak_match
MOF_ABUYAA,ABUYAA,MULTI_ACEYEO,ACEYEO,5,0.7583,1.0,0.5333,1.0,1.0,0.0,1.0,0.5,weak_match
MOF_ABUZIJ,ABUZIJ,MULTI_ACAGIV,ACAGIV,1,0.6389,0.3,0.7333,0.7778,0.0,1.0,1.0,0.5,weak_match
MOF_ABUZIJ,ABUZIJ,MULTI_ACAGIV01,ACAGIV01,2,0.6389,0.3,0.7333,0.7778,0.0,1.0,1.0,0.5,weak_match
MOF_ABUZIJ,ABUZIJ,MULTI_ACAGIV02,ACAGIV02,3,0.6389,0.3,0.7333,0.7778,0.0,1.0,1.0,0.5,weak_match
MOF_ABUZIJ,ABUZIJ,MULTI_ABOLIO,ABOLIO,4,0.6306,0.3,0.6,0.7778,0.5,1.0,1.0,0.5,weak_match
MOF_ABUZIJ,ABUZIJ,MULTI_ACAPCU01,ACAPCU01,5,0.6306,0.3,0.6,0.7778,0.5,1.0,1.0,0.5,weak_match
MOF_ABUZON,ABUZON,MULTI_AFEGEZ,AFEGEZ,1,0.7271,0.8,0.7,0.619,0.6667,1.0,0.7,0.5,bridge_topology_match
