selection_order,mol_id,fold,metal,cn,graph_sha256,candidate_count,k,signature_matches,exact_matches,signature_fully_collapsed,exact_fully_collapsed,signature_roundtrip_passes,exact_roundtrip_passes,signature_roundtrip_all,exact_roundtrip_all,candidate_count_matches,candidate_count_stable,variant_errors,signature_reference_sha256,exact_reference_sha256,encode_median_seconds,signature_median_seconds,exact_median_seconds,error_examples_json,fatal_error
841,CUFLOE,3,Pd,4,908c195ba792730b3a99eb52898fc7e5b2a46c6493385014dc4bcce152c6308d,4,100,49,100,False,True,100,100,True,True,100,True,0,1267f20129ee6eb56d695b62e036400ec9c9436ea87f55ce1f872b028c0f87e7,1267f20129ee6eb56d695b62e036400ec9c9436ea87f55ce1f872b028c0f87e7,0.003150449992972426,0.00023839998175390065,0.0012058999855071306,[],
842,IWAZUE,2,Pd,4,b48a50c1943d1105ac766f9b83d80f2872594ba60e26a01d8bda66bd660c0f26,2,100,100,100,True,True,100,100,True,True,100,True,0,b8bde429b0834a162efffa170843cc480e3fd128b3d30c0ee94b59d2124e51a2,b8bde429b0834a162efffa170843cc480e3fd128b3d30c0ee94b59d2124e51a2,0.01000664998719003,0.0001962000096682459,0.0004889999981969595,[],
843,MODVIK,2,Pd,4,8a77f7755fe7b2fede6a2607026be410d71fcaa274f5c0a66a72e9209a02c8b6,2,100,43,100,False,True,100,100,True,True,100,True,0,fef8f6155031ecef7f93a996fd09a831ff394110ebba0ab60af36a7d19540200,a7e4826ec33d5ca0c4cd829cf9ab785b5e76124c301e571017e2bd5324d41c5b,0.0034102499921573326,0.0001598999951966107,0.00044669999624602497,[],
844,VEQQAM,4,Rh,4,ee76609d83c22862bab354440402a47c8bf3a98f861990767493f5ee97fbf45e,2,100,100,100,True,True,100,100,True,True,100,True,0,66e8a20abff3f076a006afeadae9dc501f33dcb2a37101d0e1b9e3a8e591de20,66e8a20abff3f076a006afeadae9dc501f33dcb2a37101d0e1b9e3a8e591de20,0.010707800000091083,0.0002690000110305846,0.000809900026069954,[],
845,OXEXUL,3,Ni,4,58c6fb47fe4a112548aab216210f05523c74da6cb0874297fe4b7c3800f6259f,2,100,100,100,True,True,100,100,True,True,100,True,0,f52d5a64b837dc8573b6291d6950ac887f2bc884974bc8614124273adfdb08a8,f52d5a64b837dc8573b6291d6950ac887f2bc884974bc8614124273adfdb08a8,0.005630949992337264,0.00013990001752972603,0.00031949998810887337,[],
846,TUNLAP,4,Cu,4,4fc11c9a6d2d0fd1dbbc7185fd7821aa199b0e5178ce89220edb725339d026a2,2,100,54,100,False,True,100,100,True,True,100,True,0,7ff750346a3a538f3c25e4c630a0cf648067790b14591760c555b728b205c2b3,7ff750346a3a538f3c25e4c630a0cf648067790b14591760c555b728b205c2b3,0.005954399995971471,0.0001571000029798597,0.0004123999970033765,[],
847,YABBIO,4,Ir,6,ec82e202d0352d07af4ce6c0329218b58f6f79346f9c8b443a66d14da128db0e,4,100,53,100,False,True,100,100,True,True,100,True,0,d81ca600465861ba81788559514d3a44143478a72e2ddc354acc409f4aa96afe,d81ca600465861ba81788559514d3a44143478a72e2ddc354acc409f4aa96afe,0.01006825000513345,0.0002528000040911138,0.0013310000067576766,[],
848,FABBAM,0,Pt,4,8d2aa2b6e7d0254b7be865503159c3aa4e4d51755fd5facccd046cc9556fe18a,4,100,100,100,True,True,100,100,True,True,100,True,0,8a8487edb7eaef89d89f62ede7f794e92a894b2aa7bc88863ab9223ddbfad08d,8a8487edb7eaef89d89f62ede7f794e92a894b2aa7bc88863ab9223ddbfad08d,0.007755550002912059,0.00019099999917671084,0.0008553000225219876,[],
849,QUGFUV,4,Fe,6,b3a073fbcad926716739c4487ce2d5f6c7ea13eff5a92402d913be7c190fe945,2,100,100,100,True,True,100,100,True,True,100,True,0,96bbfa6e71c4a0522cc71d04d41e6a96288ec130688deeec5533373d62d50ec6,96bbfa6e71c4a0522cc71d04d41e6a96288ec130688deeec5533373d62d50ec6,0.008238449998316355,0.00020559999393299222,0.000674300012178719,[],
850,VUKWEG,3,Pd,4,9923dfd102364592807ffbe197a0dc58bb7b0bf2fcc1880cb138c83ca5f4cd21,2,100,61,100,False,True,100,100,True,True,100,True,0,682cb08aa3aead219e99f7c1384fef39a065332cde71760891886c814e045a20,971c57599373a91d6d04b76f824f1bc19760c60e20848700613854aadbe12e4c,0.007004250001045875,0.000228599994443357,0.0006531999970320612,[],
851,TOLBEB,2,Ni,5,4f8845145ea5ce4ee8c2a4c146abb6ebb0bbae1de3cd80d86979b080f7756b9e,6,100,100,100,True,True,100,100,True,True,100,True,0,ec8721170e70a4e1e3e64f6ed3faec35b70065c674e4014ebb7265d6af78462c,ec8721170e70a4e1e3e64f6ed3faec35b70065c674e4014ebb7265d6af78462c,0.00815614998282399,0.00020440001389943063,0.0014626000192947686,[],
852,PIXROE,2,Pd,4,4c0a261b06f79f4d7c991ccfb34a31338ec7fb1b63fa72d2cf209d4246016067,2,100,100,100,True,True,100,100,True,True,100,True,0,516875ba6785b53374c3ed6ff3372fd9e51b8787dd3d40b17eca4c8ef31cd5f0,516875ba6785b53374c3ed6ff3372fd9e51b8787dd3d40b17eca4c8ef31cd5f0,0.004247200005920604,0.00016659998800605536,0.0004698999982792884,[],
853,FUVNAM,1,Pd,4,aed4f73e6394012a9f5e214656c0814d26edb440db85df9b8573b91251429425,2,100,49,100,False,True,100,100,True,True,100,True,0,20319b508b635fec1d7d7b75096c93645b3774cd117445823969bc97bfb350fd,b2efb6157a008bd498a9a82a0f2e014a375c3e93a09342ec12730f3fa9db54dc,0.004463750010472722,0.00016739999409765005,0.00047099997755140066,[],
854,VAJBUH,0,Ni,4,6597dc66ad5a263206f23034230223d226721ee0f67195c6df839e85fd600ce5,2,100,100,100,True,True,100,100,True,True,100,True,0,6f48c4a819464eed539b3a75a10f7a08594b8149aa9faec1b47149da708064c2,6f48c4a819464eed539b3a75a10f7a08594b8149aa9faec1b47149da708064c2,0.0061845499876653776,0.00015239999629557133,0.0004120999947190285,[],
855,LIMVAE,1,Pd,4,213a2aadbe57ca29786b940172fbb1d286862243bb73f18a4aa4c5fccf83fb45,4,100,52,100,False,True,100,100,True,True,100,True,0,0e4ce6241e05466a7657353be4aa8919189c3f497e8feb4e9d30a8998eb03bf3,0e4ce6241e05466a7657353be4aa8919189c3f497e8feb4e9d30a8998eb03bf3,0.003843900005449541,0.00016140000661835074,0.0007436000159941614,[],
856,IZAYAK,1,Pt,4,73433a58e00db50ea4fe8cf6dbc26093f985d809b89a3f4442a88ba384823b14,2,100,50,100,False,True,100,100,True,True,100,True,0,65df9f1f6ec58e916f3eef1eaf3f22b1de9b6edba6e116f979cce06123706bfc,65df9f1f6ec58e916f3eef1eaf3f22b1de9b6edba6e116f979cce06123706bfc,0.0056903500080807135,0.00024360002134926617,0.0007277000113390386,[],
