refcode,metal,S_TBPY,S_SPY,delta,in_ridge
FOQDAQ,Cu,6.01,8.87,2.86,False
FOQFAW,Hf,0.44,1.09,0.65,True
FOQFEA,Hf,0.4,5.02,4.62,False
FOQHOK,Cu,0.6,3.16,2.56,False
FOQJAY,Cu,5.69,8.65,2.96,False
FOQJIF,Cu,3.79,4.77,0.98,True
FOQKUR,Cu,5.14,6.38,1.24,False
FOQLAY,Cu,1.09,5.28,4.19,False
FOQLEC,Cu,4.42,5.42,1.0,False
FOQLIG,Cu,12.33,7.78,4.55,False
FOQRIN,Cu,0.48,0.67,0.19,True
FOQSEL,Zn,0.67,6.5,5.83,False
FORQUA,Nb,0.07,0.85,0.78,True
FORTOY,Fe,7.43,15.69,8.26,False
FORTUE,Fe,0.59,1.15,0.56,True
FORVAM,Ir,0.69,2.6,1.91,False
FORVOA,Ir,0.44,1.66,1.22,False
FORXIV,Fe,0.68,4.83,4.15,False
FORXOB,Mn,0.93,6.02,5.09,False
FORZER,Fe,0.42,0.88,0.46,True
FOSDOK,Cu,0.23,3.9,3.67,False
FOTSIR,Ni,0.08,1.03,0.95,True
FOTVUH,Ru,5.94,6.23,0.29,True
FOVDUR,Zr,3.65,5.03,1.38,False
FOVDUS,Ru,6.12,6.4,0.28,True
FOVFAA,Ru,0.31,1.73,1.42,False
FOVFEE,Ru,10.93,14.1,3.17,False
FOVFIH,Hf,0.31,5.39,5.08,False
FOVFOO,Ru,6.44,13.45,7.01,False
FOVJAC,Zn,0.08,5.45,5.37,False
FOVJEG,Fe,0.99,4.71,3.72,False
FOVJUW,Ru,3.34,4.96,1.62,False
FOVTOC,Mn,0.65,4.64,3.99,False
FOVWIY,Ti,0.11,0.73,0.62,True
FOVXAR,V,0.06,0.78,0.72,True
FOVXIA,Cu,5.1,6.29,1.19,False
FOWGAA,Zn,5.34,5.53,0.19,True
FOWHOP,Cd,0.24,1.18,0.94,True
FOWJEH,Cu,0.85,1.02,0.17,True
FOWLEJ,Cd,0.07,5.48,5.41,False
FOWMUZ,Cu,0.38,0.89,0.51,True
FOWMUZ01,Cu,0.4,0.6,0.2,True
FOXGAB,Mn,0.46,7.09,6.63,False
FOXVAM,V,4.54,5.79,1.25,False
FOXXAV,Y,0.86,1.36,0.5,True
FOXXUP,Y,0.78,6.19,5.41,False
FOXZOK,Cu,0.19,0.79,0.6,True
FOYSAQ,Ru,5.87,5.96,0.09,True
FOYZUR,Ti,0.48,0.69,0.21,True
FOYZUR01,Ti,4.43,5.59,1.16,False
FOZDUX,Mn,0.96,2.09,1.13,False
FOZLAH,V,0.69,0.98,0.29,True
FOZPUF,Co,9.49,15.11,5.62,False
FOZSAR,Mo,4.73,5.82,1.09,False
FOZZON,V,5.12,5.66,0.54,True
FUBFOA,V,5.03,5.69,0.66,True
FUBFOA01,V,5.02,5.67,0.65,True
FUBNAV,Cu,5.08,5.12,0.04,True
FUBROK,Pt,6.7,6.95,0.25,True
FUBTAX01,W,3.34,4.35,1.01,False
FUBTIF,Zn,1.49,3.69,2.2,False
FUCSUR,Cu,0.15,5.88,5.73,False
FUDJAQ,Ru,5.92,6.41,0.49,True
FUDMEY,Y,7.01,7.21,0.2,True
FUDMIC,Y,1.29,3.1,1.81,False
FUDYOV,W,0.5,0.5,0.0,True
FUFKUP,Cu,1.06,5.85,4.79,False
FUFVIM,Zn,0.24,0.5,0.26,True
FUFVIM01,Zn,0.26,1.34,1.08,False
FUFVIM02,Zn,0.23,0.37,0.14,True
FUFXIP,Cd,4.69,6.32,1.63,False
FUFYUD,Ru,5.28,5.86,0.58,True
FUGFET,Zn,6.49,12.92,6.43,False
FUGHAR,Cu,0.68,0.84,0.16,True
FUGRAD,Ru,0.21,1.67,1.46,False
FUGREH,Ru,5.35,5.78,0.43,True
FUGZOY,Co,5.14,5.91,0.77,True
FUHKUQ,Mn,5.22,6.28,1.06,False
FUJMUS,Re,0.34,0.68,0.34,True
FUJNEH,Ru,5.74,5.78,0.04,True
FUJNOR,Ru,6.29,6.65,0.36,True
FUJNUX,Ru,0.38,2.03,1.65,False
FULFIE,Ru,0.59,1.66,1.07,False
FULFOK,Ru,6.06,6.06,0.0,True
FULMOP,Ni,0.15,4.1,3.95,False
FULMUV,Pd,2.53,4.63,2.1,False
FULMUV01,Pd,0.29,3.64,3.35,False
FULPAF,V,0.56,5.84,5.28,False
FULPIN,V,4.21,6.11,1.9,False
FULPUZ,V,0.68,5.88,5.2,False
FULQEK,V,4.09,6.0,1.91,False
FUMDEY,Cu,0.49,5.64,5.15,False
FUMJUW,Ru,5.3,6.05,0.75,True
FUMKAD,Ru,0.22,1.37,1.15,False
FUMKEH,Ru,5.29,6.02,0.73,True
FUMKIL,Ru,0.4,1.06,0.66,True
FUMKON,W,0.33,1.39,1.06,False
FUMNIK,Re,0.22,5.62,5.4,False
FUMXUJ,V,4.67,5.59,0.92,True
FUMZIZ,Cu,0.57,6.07,5.5,False
FUNCEW,V,0.29,5.68,5.39,False
FUNNEH,Cr,3.22,10.5,7.28,False
FUNNIO,V,0.62,5.88,5.26,False
FUNNIO01,V,0.62,5.86,5.24,False
FUNZAS,Co,5.07,5.47,0.4,True
FUPGED,Cu,7.13,12.27,5.14,False
FUPKEI,V,0.94,5.97,5.03,False
FUPMIN,Ir,0.4,1.32,0.92,True
FUPQOZ,Ru,0.35,2.04,1.69,False
FUPREP,Ir,6.48,6.53,0.05,True
FUPSIT,Ru,0.68,5.34,4.66,False
FUPYEV,Co,0.45,5.5,5.05,False
FUPYOF,Co,0.39,1.84,1.45,False
FUQHUV,Zn,0.76,5.83,5.07,False
FUQLOT,Cu,0.43,0.72,0.29,True
FUQLUZ,Cu,5.05,5.1,0.05,True
FUQQAM,Fe,0.72,1.47,0.75,True
FUQQIS,Zn,0.9,6.48,5.58,False
FUQSOC,Cu,0.68,0.76,0.08,True
FURBOL,V,4.51,5.99,1.48,False
FURHIJ,V,0.19,1.74,1.55,False
FURTIV,Re,4.82,5.78,0.96,True
FURZIF,Fe,6.01,6.13,0.12,True
FUSCED,Cu,11.97,10.61,1.36,False
FUSMOX,Ir,0.36,1.3,0.94,True
FUSNAK,Ir,5.87,6.09,0.22,True
FUSQUI,Rh,0.25,3.66,3.41,False
FUSWEY,Zn,0.52,4.47,3.95,False
FUTDAC,W,5.03,6.19,1.16,False
FUTDEG,W,5.63,6.05,0.42,True
FUTSUK,Cu,3.98,4.18,0.2,True
FUTTEW,Co,4.53,6.15,1.62,False
FUTTIA,Fe,3.4,4.25,0.85,True
FUTVEV01,Cu,10.41,7.0,3.41,False
FUTVEV02,Cu,12.95,8.53,4.42,False
FUTVIC,Fe,4.55,5.81,1.26,False
FUTWAT,Fe,0.27,3.4,3.13,False
FUTWIB,Fe,0.15,5.7,5.55,False
FUTWOH,Ru,0.14,3.55,3.41,False
FUVGIM,Re,0.91,2.41,1.5,False
FUVGOS,Re,1.03,2.4,1.37,False
FUVGUY,Re,0.04,0.78,0.74,True
FUVHAF,Re,4.82,5.49,0.67,True
FUVHIN,Rh,8.88,4.75,4.13,False
FUVQAS,Cd,1.95,4.32,2.37,False
FUVWUP,Cu,0.39,2.11,1.72,False
FUWFUZ,Cu,4.34,7.14,2.8,False
FUWGAF,Mn,4.94,5.85,0.91,True
FUWLAK,Re,0.68,0.87,0.19,True
FUWLOB,Cu,4.95,6.86,1.91,False
FUWWOJ,Cu,4.26,6.27,2.01,False
FUWYAX,V,5.85,6.33,0.48,True
FUXGIO,W,0.07,1.32,1.25,False
FUXGOU,W,0.08,1.24,1.16,False
FUXWEA,Re,0.04,0.86,0.82,True
FUXZAD,Cu,9.85,11.89,2.04,False
FUYRIC,Mn,0.59,2.1,1.51,False
FUYTAW,Cr,0.37,4.88,4.51,False
FUZCUZ,Cu,0.18,0.5,0.32,True
FUZDAG,Cu,4.65,6.14,1.49,False
FUZSIF,Ru,0.33,1.33,1.0,False
FUZSOL,Ru,4.86,5.62,0.76,True
FUZYEH,Zn,0.36,5.5,5.14,False
GABFIY,Mo,4.88,5.7,0.82,True
GABFIY01,Mo,4.88,5.7,0.82,True
GABROS,Cu,8.72,12.54,3.82,False
GABTEN,Co,5.51,6.3,0.79,True
GABWEN,Zn,5.01,5.74,0.73,True
GACJOO,Cu,5.35,6.08,0.73,True
GACMUU,Ni,5.4,5.48,0.08,True
GACWUG,Zn,4.95,5.86,0.91,True
GACYIV,Cd,4.2,4.49,0.29,True
GADFAX,Ni,11.92,7.92,4.0,False
GADTIS,Fe,0.39,5.25,4.86,False
GAFSEO,Ru,0.3,5.76,5.46,False
GAFSIS,Ru,0.24,1.39,1.15,False
GAFZIZ,Zn,4.57,6.19,1.62,False
GAFZUL,Re,5.6,6.83,1.23,False
GAGMEH,Zn,1.01,1.38,0.37,True
GAGMOT,Cu,7.95,10.8,2.85,False
GAGVUH,V,4.64,5.46,0.82,True
GAHJUW,Fe,0.34,0.53,0.19,True
GAHKIK,Mo,4.98,5.8,0.82,True
GAHKOQ,Mo,4.85,5.75,0.9,True
GAHRIT,Cd,5.23,6.19,0.96,True
GAHSUI,Fe,0.83,1.7,0.87,True
GAJCEE,Mn,0.93,1.81,0.88,True
GAJLAE,W,2.11,5.74,3.63,False
GAJLEI,W,2.43,5.9,3.47,False
GAJMIQ,Ru,0.38,1.27,0.89,True
GAJSAN,Cu,5.06,6.5,1.44,False
GAJSUK,Zn,0.51,6.23,5.72,False
GAJXOH,Ru,0.33,1.71,1.38,False
GAJYEY,Ru,0.27,1.78,1.51,False
GAKBEC,Fe,0.21,0.76,0.55,True
GAKKEL,Ni,0.89,4.87,3.98,False
GAKLUA,Cu,4.44,6.21,1.77,False
GAKMEK,Mn,0.06,0.81,0.75,True
GAKMOV,Cd,0.48,4.91,4.43,False
GAKMUA,Nb,4.92,5.53,0.61,True
GAKQIV,Zn,4.82,5.74,0.92,True
GAKTOE,Ir,0.9,1.04,0.14,True
GAKZUQ,Ru,5.46,6.99,1.53,False
GALGOQ,Ru,0.19,1.47,1.28,False
GALTIZ,Fe,5.36,6.96,1.6,False
GALWAS,Cd,1.47,5.98,4.51,False
GALWUP,Co,0.72,5.06,4.34,False
GALXIE,Ni,1.03,4.77,3.74,False
GALYID,Cu,4.83,6.17,1.34,False
GAMBOL,Zn,0.2,0.77,0.57,True
GAMCAY,Fe,5.55,5.82,0.27,True
GAMFOS,Ti,4.89,4.96,0.07,True
GAMJUD,Zn,0.98,5.96,4.98,False
GAMKAK,Fe,0.87,5.95,5.08,False
GAMKIS,Ni,4.65,6.43,1.78,False
GAMLUD,Zn,0.22,0.44,0.22,True
GAMMEO,Zn,0.42,4.52,4.1,False
GANCON,Co,0.51,5.75,5.24,False
GANGIM,Zn,0.21,5.67,5.46,False
GANQET,Cu,0.26,1.1,0.84,True
GANSUM,Cu,5.31,6.54,1.23,False
GANWEX,Pt,6.31,6.35,0.04,True
GAPKER,Ru,0.32,1.92,1.6,False
GAQDUY,W,8.22,11.52,3.3,False
GAQFEJ,Mn,0.43,0.53,0.1,True
GAQFEK,V,5.2,5.48,0.28,True
GAQKAN,Ir,8.95,9.62,0.67,True
GAQNAR,Re,0.83,2.02,1.19,False
GAQVON,Ru,0.5,1.78,1.28,False
GAQVUT,Ru,0.37,1.22,0.85,True
GAQYIG,Cu,2.42,4.75,2.33,False
GARMEU,Co,0.54,1.94,1.4,False
GARZOP,Ti,9.67,13.95,4.28,False
GASGEQ,Co,0.71,6.07,5.36,False
GASLOE,Co,0.77,7.33,6.56,False
GASNEV,Ta,0.36,0.74,0.38,True
GASQEW,Cu,10.29,6.78,3.51,False
GATDOW,Zn,5.06,5.84,0.78,True
GATLES06,Pd,0.75,1.52,0.77,True
GATLES07,Pd,0.75,5.55,4.8,False
GATLES08,Pd,0.75,1.46,0.71,True
GATLES09,Pd,3.05,4.4,1.35,False
GATLES10,Pd,3.05,4.4,1.35,False
GATLES16,Pd,0.75,1.52,0.77,True
GATLES17,Pd,0.75,5.55,4.8,False
GATLES18,Pd,0.75,1.46,0.71,True
GATMAP01,Cu,0.16,3.7,3.54,False
GATNOF,Fe,0.85,6.47,5.62,False
GATQAV,V,11.55,11.88,0.33,True
GATWIL,Co,0.7,5.62,4.92,False
GATZAE,Cu,0.73,5.25,4.52,False
GAVJIZ,Mn,0.21,0.83,0.62,True
GAVJUK,Fe,5.24,6.23,0.99,True
GAVKAR,Fe,0.66,2.19,1.53,False
GAWBOY,Cu,4.68,6.04,1.36,False
GAWCEP,Cu,9.74,11.94,2.2,False
GAWCIT,Cu,6.48,12.33,5.85,False
GAXGOB,Ir,5.48,5.92,0.44,True
GAXHOG,Cu,0.49,1.17,0.68,True
GAXLID,Zn,0.82,6.49,5.67,False
GAXLOJ,Zn,4.72,6.7,1.98,False
GAXLUP,Zn,3.13,4.88,1.75,False
GAXXIO,Ni,0.31,5.31,5.0,False
GAXXOU,Ni,0.39,6.58,6.19,False
GAXZUC,Ni,0.31,6.28,5.97,False
GAYMAU,Mn,1.26,3.6,2.34,False
GAYNEZ,Tc,0.24,6.07,5.83,False
GAYSAA,Cu,4.92,6.28,1.36,False
GAYXIN01,Mn,1.31,4.99,3.68,False
GAYZIP,Zn,0.63,1.02,0.39,True
GAYZIP01,Zn,0.6,6.25,5.65,False
GAYZOV,Zn,4.65,5.09,0.44,True
GAZQAZ,Cu,6.12,11.67,5.55,False
GAZWUD,Y,0.84,6.8,5.96,False
GEBCOJ,Ru,0.34,1.77,1.43,False
GEBCUP,Ru,0.36,2.0,1.64,False
GEBFOI,Tc,5.66,6.36,0.7,True
GEBFUO,Tc,0.24,1.61,1.37,False
GEBGED,Cu,0.62,4.54,3.92,False
GEBVEO,Cu,10.07,5.93,4.14,False
GEBVER,Fe,5.52,6.06,0.54,True
GEBVIS01,Cu,7.1,11.5,4.4,False
GEBVIS02,Cu,12.18,14.8,2.62,False
GEBZOC,Cu,4.89,6.04,1.15,False
GECCIE,Fe,5.15,5.99,0.84,True
GECKIM,W,5.04,5.71,0.67,True
GECPUC,V,7.02,13.02,6.0,False
GECREL,V,0.17,5.26,5.09,False
GECSEP,Fe,0.78,1.31,0.53,True
GECSIT,Fe,0.4,2.0,1.6,False
GECVAO,Zn,0.5,1.27,0.77,True
GECVUI,Zn,0.79,1.56,0.77,True
GECWAP,Zn,0.82,6.57,5.75,False
GECZEW,Fe,0.92,6.28,5.36,False
GECZOH,Cu,0.42,4.28,3.86,False
GEDBEY,Zn,4.3,6.08,1.78,False
GEDFOO,Ag,0.76,1.65,0.89,True
GEDHAC,W,0.6,0.7,0.1,True
GEDHIK,W,5.03,6.11,1.08,False
GEDHOQ,W,4.1,4.71,0.61,True
GEDJOS,W,1.11,6.25,5.14,False
GEDJUY,W,0.99,6.21,5.22,False
GEDKOT,W,0.46,0.75,0.29,True
GEDTOY,W,4.89,5.8,0.91,True
GEDWUK,V,0.74,0.82,0.08,True
GEFJAC,W,4.97,5.8,0.83,True
GEFJAC01,W,4.97,5.8,0.83,True
GEFLAE,Cr,5.7,6.22,0.52,True
GEFLUZ,Co,9.23,11.21,1.98,False
GEGBUQ,Ni,5.17,6.04,0.87,True
GEGCED,Fe,0.25,1.25,1.0,False
GEGROA,Re,1.04,5.83,4.79,False
GEHFAB,Mo,3.89,8.6,4.71,False
GEHXUO,Mn,0.17,0.76,0.59,True
GEHYEB,Zn,5.74,7.99,2.25,False
GEJTEW,Zn,0.9,6.47,5.57,False
GEJTIA,Zn,0.89,5.4,4.51,False
GEKGAE,Ru,4.04,4.69,0.65,True
GELBUU,W,0.05,1.19,1.14,False
GELCOP,Cr,5.27,5.37,0.1,True
GELGIO,Cu,0.62,4.44,3.82,False
GELZEF,Ru,4.33,6.52,2.19,False
GEMCIM,Cd,1.15,9.07,7.92,False
GEMPIZ,Cu,11.75,13.35,1.6,False
GEMROG,Ni,5.08,5.68,0.6,True
GEMWOL,Ti,7.0,5.47,1.53,False
GENNUJ,Cu,6.34,8.42,2.08,False
GENQUO,Co,0.88,5.01,4.13,False
GENTEY,Fe,1.02,5.29,4.27,False
GENWIG,Cu,4.39,6.21,1.82,False
GEPFEM,Mo,0.85,5.71,4.86,False
GEPGIT,Re,5.33,5.69,0.36,True
GEPGOZ,Tc,5.38,5.69,0.31,True
GEPSID,Cu,4.78,6.18,1.4,False
GEPVEF,Fe,0.04,5.48,5.44,False
GEQBOT,Rh,0.04,1.07,1.03,False
GEQXOQ,Zn,0.37,5.04,4.67,False
GEQXUW,Hg,4.78,5.15,0.37,True
GEQYAD,Fe,4.92,5.36,0.44,True
GERHUJ,Fe,0.4,5.27,4.87,False
GERJIZ,Rh,11.73,13.41,1.68,False
GERTAZ,Ru,4.82,6.95,2.13,False
GETZAH,Zn,0.77,1.34,0.57,True
GETZOW,Cd,4.17,4.61,0.44,True
GEVBIV,Cu,11.66,14.68,3.02,False
GEVFIW,Cr,5.31,5.92,0.61,True
GEVGEW,Cu,4.39,5.92,1.53,False
GEVROO,Ru,4.59,5.39,0.8,True
GEWLAV,Cu,0.55,2.44,1.89,False
GEWPON,Ni,5.43,5.97,0.54,True
GEWQAD,Cu,8.77,12.27,3.5,False
GEWQEH,Cu,6.82,8.64,1.82,False
GEXMII,Hg,1.12,7.13,6.01,False
GEXMOO,Hg,1.15,6.93,5.78,False
GEXNEE,Cu,0.55,0.91,0.36,True
GEXXEM,Cu,2.67,5.46,2.79,False
GEXXEM02,Cu,4.6,5.46,0.86,True
GEXXEM03,Cu,0.56,6.21,5.65,False
GEYDIA,Cu,5.16,6.57,1.41,False
GEZGEA,Ni,0.47,5.85,5.38,False
GEZGIE,Ni,0.54,0.8,0.26,True
GEZQIO,Ti,0.24,0.98,0.74,True
GEZYEP,Cu,3.98,5.38,1.4,False
GEZYUI,Ir,0.47,1.37,0.9,True
GIBBIC,Fe,3.77,6.35,2.58,False
GIBNUA,W,0.38,0.83,0.45,True
GIBQEP,Cu,8.34,15.62,7.28,False
GIBQOY,La,3.3,4.86,1.56,False
GICGUW,Co,0.36,5.56,5.2,False
GICHUX,Co,0.35,5.7,5.35,False
GICRAM,Pd,4.63,6.4,1.77,False
GICZUN,Cu,0.23,5.11,4.88,False
GIDCEC,V,5.17,5.67,0.5,True
GIDKEM,Fe,0.37,5.04,4.67,False
GIDPAM,Rh,5.48,12.27,6.79,False
GIDQES02,Cu,0.56,3.6,3.04,False
GIDQES03,Cu,0.59,3.77,3.18,False
GIFGAE,Ni,0.97,6.44,5.47,False
GIFGEI,Ni,1.04,6.51,5.47,False
GIFGIM,Ni,5.24,6.45,1.21,False
GIFHAF,Ru,0.32,1.27,0.95,True
GIFHEJ,Ru,5.61,6.03,0.42,True
GIFPUI,Ni,1.01,6.05,5.04,False
GIFTAT,Cu,0.39,6.53,6.14,False
GIGCIJ,Ru,5.58,5.77,0.19,True
GIGGIN,Fe,0.36,0.95,0.59,True
GIGHOU,Fe,1.42,5.38,3.96,False
GIGHUA,Co,4.83,5.17,0.34,True
GIGJAI,Co,1.08,2.0,0.92,True
GIGJEM,Co,5.26,6.54,1.28,False
GIGLAK,Y,0.89,5.04,4.15,False
GIGLAK02,Y,0.9,6.56,5.66,False
GIGNAO,Ru,5.29,6.48,1.19,False
GIGNIW,Ru,5.4,6.87,1.47,False
GIGNOC,Ru,0.98,0.99,0.01,True
GIGWIF,Fe,4.65,6.04,1.39,False
GIHBOP,Zn,0.68,4.62,3.94,False
GIHMUF,Ru,5.41,6.06,0.65,True
GIHNAP,Fe,8.29,12.89,4.6,False
GIHVAX,Mn,5.15,7.04,1.89,False
GIHWIE,Cu,1.23,6.19,4.96,False
GIHWOK,Cu,0.55,5.83,5.28,False
GIHZIH,Co,5.17,6.22,1.05,False
GIJBEH,Co,0.71,6.24,5.53,False
GIJBIL,Ti,0.33,5.67,5.34,False
GIJBOR,Ti,0.35,5.54,5.19,False
GIJCEI,Ru,5.78,5.83,0.05,True
GIJCIM,Ru,5.46,5.65,0.19,True
GIKGIT,Ru,0.33,1.3,0.97,True
GIKVUU,Ru,6.14,6.36,0.22,True
GIKZEF,Tc,5.43,6.11,0.68,True
GILMIY,Zr,0.56,4.93,4.37,False
GILQAV,V,0.24,1.11,0.87,True
GILTOM,Cu,5.39,6.22,0.83,True
GILVII,Zn,0.56,5.97,5.41,False
GILZIK,Ni,0.35,5.86,5.51,False
GIMDOW,Cu,7.29,6.28,1.01,False
GIMFEO,Cu,5.64,8.04,2.4,False
GIMMEX,Cu,13.85,7.35,6.5,False
GIMQIC,Re,5.24,6.13,0.89,True
GIMZIP,Ru,6.1,6.37,0.27,True
GINBOW,Fe,0.2,0.89,0.69,True
GINJUI,Ta,0.07,5.81,5.74,False
GINJUI10,Ta,0.07,5.81,5.74,False
GINWEF,Ir,8.16,10.07,1.91,False
GIPFIV,Cu,0.49,4.55,4.06,False
GIPLOH,Ru,6.06,6.09,0.03,True
GIPNAW,Cu,7.08,8.56,1.48,False
GIPPAZ,V,4.73,5.61,0.88,True
GIQHIZ,W,0.01,1.12,1.11,False
GIQNON,Zn,5.15,5.53,0.38,True
GIQNUT,Zn,5.4,6.38,0.98,True
GIQPAB,Zn,5.53,6.58,1.05,False
GIQTAF,Cu,0.48,5.46,4.98,False
GIQTOQ,Zn,0.68,6.46,5.78,False
GIQVOU,Fe,0.8,4.67,3.87,False
GIQWAG,Ni,0.79,1.28,0.49,True
GIQWEK,Ni,4.91,6.28,1.37,False
GIQWOU,Co,9.08,5.62,3.46,False
GIQXOX,W,7.26,3.33,3.93,False
GIQZIP,Zn,0.18,0.74,0.56,True
GIRBOC,Mo,5.28,6.13,0.85,True
GIRBUI,Mo,5.64,5.88,0.24,True
GIRCAP,Mo,5.13,5.91,0.78,True
GIRGOH,W,0.15,1.14,0.99,True
GIRGUN,W,5.55,5.9,0.35,True
GISDER,V,0.28,1.05,0.77,True
GISHIZ,Mn,4.86,5.82,0.96,True
GISHOF,Mn,0.6,0.93,0.33,True
GISJAU,Cu,4.87,6.05,1.18,False
GITBEQ,Cu,4.64,5.75,1.11,False
GITBUG,Cu,5.23,6.09,0.86,True
GITCAN,Cu,0.3,4.06,3.76,False
GITCER,Cu,4.39,6.79,2.4,False
GITHAU,Fe,5.34,7.19,1.85,False
GITHEY,Fe,4.76,5.98,1.22,False
GITHIC,Fe,3.69,6.79,3.1,False
GITHOI,Fe,4.9,6.09,1.19,False
GITHUP,Cu,5.13,11.01,5.88,False
GITNIJ,Zn,0.16,1.3,1.14,False
GITNOP,Zn,0.22,1.17,0.95,True
GITYIS,Ni,7.61,11.6,3.99,False
GITYOY,Ni,7.35,8.9,1.55,False
GIVBOF,Cu,9.41,10.92,1.51,False
GIVSEK,Fe,0.7,4.54,3.84,False
GIWGAV,Cu,5.24,6.56,1.32,False
GIWHAW,Zn,0.33,0.91,0.58,True
GIWHAW01,Zn,0.32,0.83,0.51,True
GIWHID,Cu,0.76,2.06,1.3,False
GIWHID01,Cu,4.52,5.31,0.79,True
GIWQIO,Pt,0.18,0.98,0.8,True
GIWWOB,Cu,4.79,6.26,1.47,False
GIWWOZ,Cu,1.51,4.64,3.13,False
GIWXOZ,W,0.92,1.65,0.73,True
GIXCUN,Cu,4.62,6.24,1.62,False
GIXDIB,Zn,0.84,5.2,4.36,False
GIXDOH,Zn,0.07,1.07,1.0,False
GIXHUQ,Pt,4.91,5.1,0.19,True
GIXJOM,Zn,4.81,5.85,1.04,False
GIXNIO,Cd,4.79,5.6,0.81,True
GIXNOU,Zn,0.8,1.78,0.98,True
GIXPIN,Ru,0.51,1.75,1.24,False
GIXQAF,Rh,5.4,5.89,0.49,True
GIXREN,V,6.3,7.34,1.04,False
GIXREN01,V,6.04,7.41,1.37,False
GIXRIR,V,6.02,5.43,0.59,True
GIXROX,V,0.21,5.28,5.07,False
GIXYIX,Cu,4.97,5.87,0.9,True
GIYBUN,Mo,5.18,5.34,0.16,True
GIYYOC,Cu,0.6,1.12,0.52,True
GIZBIE,Fe,0.1,5.18,5.08,False
GIZBUQ,Mn,0.02,0.88,0.86,True
GIZDOL,Cd,2.61,10.0,7.39,False
GIZQAJ,Hf,4.29,5.58,1.29,False
GIZQEN,Zr,0.6,2.86,2.26,False
GIZQIR,Hf,0.47,5.28,4.81,False
GIZVEQ,Mo,0.06,5.41,5.35,False
GLYPCU,Cu,4.34,6.26,1.92,False
GOBHAG,Mo,5.19,5.8,0.61,True
GOBHOV,Cu,0.13,1.24,1.11,False
GOBHUB,Cu,0.15,5.38,5.23,False
GOBPIY,Ir,0.49,1.17,0.68,True
GOBYUS,Cu,4.65,10.76,6.11,False
GOCBIN,Zn,0.6,6.41,5.81,False
GOCLUF,Ni,0.43,1.32,0.89,True
GOCQIZ,Cu,0.89,4.88,3.99,False
GOCQIZ01,Cu,0.75,4.96,4.21,False
GOCVEA,Cu,4.59,5.77,1.18,False
GOCVUQ01,Cu,0.47,5.22,4.75,False
GOCXEF,Zn,0.75,0.85,0.1,True
GODCUA,Zn,0.68,4.62,3.94,False
GODQAV,Zn,0.22,0.68,0.46,True
GODRIB,Mn,0.55,5.99,5.44,False
GOFBAE,Os,5.45,5.97,0.52,True
GOFBIM,Os,0.54,1.47,0.93,True
GOFLIY,V,5.98,7.52,1.54,False
GOFMAR,V,0.61,6.12,5.51,False
GOFMEV,V,0.29,0.74,0.45,True
GOFMOF,V,0.28,0.66,0.38,True
GOFPAT,Rh,5.0,5.63,0.63,True
GOGGAL,Cu,5.47,15.05,9.58,False
GOGNUO,Fe,0.24,5.35,5.11,False
GOGPEA,Fe,0.38,5.48,5.1,False
GOGQIC,Tc,0.01,5.41,5.4,False
GOGQUO,Mo,5.84,5.92,0.08,True
GOHCUC,Ni,0.24,1.17,0.93,True
GOHDAI,Re,11.36,11.97,0.61,True
GOHDAJ,Ni,0.16,4.77,4.61,False
GOHDEM,Re,11.47,10.11,1.36,False
GOHDUD,Zn,5.05,5.75,0.7,True
GOHGEP,V,5.51,5.97,0.46,True
GOHGOZ,V,5.55,5.69,0.14,True
GOHLIB,Re,1.68,6.56,4.88,False
GOHMAR,Re,4.97,5.72,0.75,True
GOHROO,Re,7.12,7.24,0.12,True
GOHTIG,Cu,6.63,15.09,8.46,False
GOJJUO,Ru,0.19,1.24,1.05,False
GOJZEM,Cu,6.03,7.39,1.36,False
GOKMAX,Ti,0.76,6.05,5.29,False
GOKMEB,Ti,0.76,1.44,0.68,True
GOKMOL,Ti,5.64,8.48,2.84,False
GOKXOT,Zn,0.36,1.06,0.7,True
GOLBIU,Cu,5.05,6.7,1.65,False
GOLHEW,Cu,0.59,4.68,4.09,False
GOLMAW,Co,0.38,5.63,5.25,False
GOLPON,Cu,9.98,7.48,2.5,False
GOLPON01,Cu,0.82,4.07,3.25,False
GOLQED,Cu,4.5,6.33,1.83,False
GOLQIH,Cu,4.99,6.25,1.26,False
GOLSEF,V,5.05,5.6,0.55,True
GOLVIO,Cu,4.39,7.51,3.12,False
GOLWOX,V,4.7,6.05,1.35,False
GOMMUR,Zn,4.36,5.01,0.65,True
GOMPIL,Ru,0.52,2.1,1.58,False
GOMPOR,Ru,5.69,5.83,0.14,True
GONJOL,Zn,5.07,6.9,1.83,False
GONQAF,Ru,0.74,0.9,0.16,True
GONRAC,W,0.08,0.91,0.83,True
GOPBUL,Zn,0.83,6.53,5.7,False
GOPDEX,Zn,1.11,3.2,2.09,False
GOPDIB,Zn,3.29,5.24,1.95,False
GOPDOH,Zn,3.25,5.15,1.9,False
GOPDUN,Zn,4.81,5.42,0.61,True
GOPFAV,Zn,4.67,7.03,2.36,False
GOPFEZ,Zn,1.02,6.79,5.77,False
GOPMAZ,Cu,3.4,5.74,2.34,False
GOPROV,Zn,5.27,6.2,0.93,True
GOQBAT,Cu,1.09,5.5,4.41,False
GOQZIX,Mn,0.05,5.31,5.26,False
