refcode,metal,S_TBPY,S_SPY,delta,in_ridge
AFIDIF,Cu,5.36,6.61,1.25,False
AFIMEL,Mn,5.11,5.49,0.38,True
AFIMUB,Cu,7.36,7.15,0.21,True
AFIPUA,Cu,5.13,6.4,1.27,False
AFIPUE,Cu,4.15,6.77,2.62,False
AFIVUH,Co,0.46,1.08,0.62,True
AFOKOZ,Mo,1.21,6.21,5.0,False
AFOKUF,Mo,0.79,1.62,0.83,True
AFOLAM,Mo,5.77,6.03,0.26,True
AFOROF,Cr,1.0,1.55,0.55,True
AFUFAI,Y,1.57,5.33,3.76,False
AFUFOW,Sc,1.1,1.13,0.03,True
AFUPOK,Mn,5.62,5.94,0.32,True
AFURIF,Ag,6.15,8.56,2.41,False
AFUSAV,Mn,0.04,1.04,1.0,False
AFUSAY,Ag,3.34,3.83,0.49,True
AFUTEB,Fe,0.66,6.07,5.41,False
AGABUH,Cu,0.22,0.74,0.52,True
AGACUG,Ni,0.18,5.53,5.35,False
AGAGAQ,Tc,0.09,1.49,1.4,False
AGAHIA,V,0.11,3.34,3.23,False
AGAVEM,Co,4.18,12.36,8.18,False
AGAVIQ,Co,0.87,4.44,3.57,False
AGAYOZ,Cu,5.72,6.97,1.25,False
AGEGIC,V,0.35,0.46,0.11,True
AGIDEA,Ir,6.38,6.55,0.17,True
AGIFUU,Ru,3.51,4.17,0.66,True
AGIPUC,W,0.56,5.52,4.96,False
AGISER,Fe,5.47,6.67,1.2,False
AGIVIW,Zr,0.43,4.76,4.33,False
AGIVOC,Zr,6.37,7.55,1.18,False
AGIVUI,Ti,5.96,7.16,1.2,False
AGIWAP,Ti,7.65,7.72,0.07,True
AGOVOI,Cu,1.5,3.7,2.2,False
AGOVUN,Cu,5.17,5.96,0.79,True
AGOVUO,Cd,1.18,4.56,3.38,False
AGUDIR,Ru,0.15,1.41,1.26,False
AGUGOY,Fe,0.51,5.18,4.67,False
AGULUJ,Re,0.34,1.59,1.25,False
AGUMAQ,Re,3.99,5.93,1.94,False
AGUWIL,Fe,0.35,5.88,5.53,False
AHABIY,Mo,0.28,5.63,5.35,False
AHAJIE,Cu,5.14,6.51,1.37,False
AHAQUV,Fe,0.5,6.25,5.75,False
AHEHOK,Re,4.88,5.8,0.92,True
AHEHOL,Cu,0.41,1.13,0.72,True
AHEQOU,Cu,10.79,9.83,0.96,True
AHETOZ,Cu,12.05,7.27,4.78,False
AHETUF,Cu,12.17,10.94,1.23,False
AHIGOO,Ni,0.09,3.24,3.15,False
AHIGUU,Ni,0.1,5.44,5.34,False
AHIRIV,Fe,4.56,6.31,1.75,False
AHIROB,Mn,8.32,4.97,3.35,False
AHITUI,Zn,10.02,19.26,9.24,False
AHITUI01,Zn,7.0,9.03,2.03,False
AHOBOP,Fe,4.96,5.43,0.47,True
AHOBUV,Fe,5.81,5.85,0.04,True
AHOQEV,Cu,9.35,8.65,0.7,True
