refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ZOQHAS,Zn,+2,d10,,,3.1100,0.1500,0.4928,-0.8239,713273673579,27590597496,247652957261
ZOQKIZ,Pd,+2,d8,"C,N,P",2-1-1,10.5600,3.3700,1.0237,0.5276,106069022653,692653938233,874626017295
ZOQKOF,Pd,+2,d8,"C,N,O",2-2,8.0500,2.8800,0.9058,0.4594,177673333103,285789611357,736215406410
ZOQWIN,Pd,+2,d8,N,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,17195408592,943413557927,905526190651
ZOQXUY,Fe,+2,d6,C,1-1,6.0200,1.5800,0.7796,0.1987,822959952942,776944657979,871273436324
ZORBIU,Co,+2,d7,"C,N",1-1,9.1100,16.1600,0.9595,1.2084,953001929859,458967128892,181892839591
ZORBUG,Co,+2,d7,"C,N,P",3-1,8.9000,15.8800,0.9494,1.2009,554464820957,11745654832,573035020860
ZORFIY,Co,+2,d7,,,3.8900,0.4600,0.5899,-0.3372,323551931708,943805062172,729635116644
ZORNIF,Ni,+2,d8,"C,P,Se",2-1-1,7.5000,6.9100,0.8751,0.8395,833392584286,350589594605,245331750012
ZORNUR,Ni,+2,d8,"C,N",1-1,9.1500,2.6500,0.9614,0.4232,435943577797,608739945267,767006215503
ZORPAZ,Ni,+2,d8,"Br,C,N,P",2-1-1,9.5200,3.2900,0.9786,0.5172,243744797751,291623348299,687296196067
ZORVUB,Zn,+2,d10,,,7.9800,10.1200,0.9020,1.0052,160500419960,237086023710,18704732037
ZORWOV,Pt,+2,d8,"C,N,O",2-2,2.9900,0.1300,0.4757,-0.8861,755102701449,505538844328,912051561636
ZORWUB,Pt,+2,d8,"C,N,O",2-2,3.0100,0.1500,0.4786,-0.8239,300931635572,305979094735,776672677827
ZORXAI,Pt,+2,d8,"C,N,O",2-2,2.9900,0.1200,0.4757,-0.9208,714220266801,563908905694,1362638804
ZORYOW,Mo,,,,,3.7500,1.6900,0.5740,0.2279,990421965635,428318762623,485482453015
ZOSBAK,Pd,+2,d8,"C,N,O",2-2,3.3900,0.4500,0.5302,-0.3468,776327356780,83615008273,168176496303
ZOSBIU,Ni,+2,d8,"C,N",1-1,9.3000,2.7300,0.9685,0.4362,452931881345,755672530588,391649899810
ZOSCER,Ti,,,,,4.8600,0.6000,0.6866,-0.2218,296604023757,725018444827,671315504374
ZOSCIV,Ti,,,,,8.0800,6.1600,0.9074,0.7896,328693993379,560612320262,400633565200
ZOSCOB,Ti,,,,,4.0300,7.0000,0.6053,0.8451,331439803017,670132932016,39112301572
ZOSGOH,Ni,+2,d8,"Br,C,O,P",2-1-1,3.2700,0.5100,0.5145,-0.2924,208782663694,358277790518,966311860273
ZOSGUN,Ni,+2,d8,"Br,C,O,P",2-1-1,8.9100,3.3100,0.9499,0.5198,162188853656,791611528227,135638562286
ZOSHAS,Rh,+1,d8,,,4.4600,1.2200,0.6493,0.0864,198204212189,241092035790,580770827868
ZOSHIC,Ni,+2,d8,"C,N,P",2-1-1,7.8700,3.0000,0.8960,0.4771,405211149395,557170668345,937370807971
ZOSHOI,Ni,+2,d8,"C,O,P",2-1-1,8.0100,3.1600,0.9036,0.4997,693826945105,52328258219,710520052778
ZOSKAX,Ni,+2,d8,"Br,N,P",3-1,3.0800,0.3700,0.4886,-0.4318,177978505469,844448163504,780079511749
ZOSLIG,Ni,+2,d8,"Br,C,O,P",2-1-1,3.3100,0.5300,0.5198,-0.2757,417862231258,789885508314,486816673219
ZOSMIG,Zn,+2,d10,,,2.4500,0.7500,0.3892,-0.1249,351161192500,235290196326,767613136226
ZOSPIK,Pt,+2,d8,S,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,679393807820,546108019152,726500764323
ZOSRAA,Cu,+2,d9,,,2.0500,0.1100,0.3118,-0.9586,765321130545,595278281015,937776869486
ZOSRAD,Pd,+2,d8,"C,Cl,N",2-1-1,7.5000,3.3400,0.8751,0.5237,385275307877,501798238536,21974355336
ZOSREH,Pd,+2,d8,"C,Cl,N",2-1-1,7.3100,3.2300,0.8639,0.5092,875016219655,888990849522,352933127494
ZOSTAF,Pt,+2,d8,"C,N",2-1-1,7.9600,2.9700,0.9009,0.4728,510441418769,804985970697,286898785533
ZOSYEP,Pt,+2,d8,S,1-1-1-1,2.9300,0.0400,0.4669,-1.3979,16074061869,546108019152,726500764323
ZOSZIS,Ni,+2,d8,"C,Cl",1-1,3.3100,0.5700,0.5198,-0.2441,791868223476,971177516970,549512060685
ZOSZIU,Pt,+2,d8,"C,Cl,N",2-1-1,8.1400,3.2200,0.9106,0.5079,895156445241,384691588730,450445319026
ZOSZOY,Ni,+2,d8,C,1-1,3.2000,0.4300,0.5051,-0.3665,473800378027,248417727238,584103524504
ZOSZUG,Pd,+2,d8,N,2,9.5100,3.3900,0.9782,0.5302,207844532282,606605724380,221193302044
ZOTBAN,Ni,+2,d8,"Br,C",1-1,9.0200,3.4600,0.9552,0.5391,248582537773,29555380005,70327013786
ZOTBER,Ni,+2,d8,"C,O",1-1,3.2300,0.4400,0.5092,-0.3565,828522652619,808438838499,50248538280
ZOTBIV,Ni,+2,d8,C,1-1,3.2100,0.4100,0.5065,-0.3872,888076199138,439723382941,530774521286
ZOTBOB,Ni,+2,d8,"C,O",1-1,3.2200,0.4400,0.5079,-0.3565,861139835010,523213641793,733787430604
ZOTDOD,Zn,+2,d10,,,1.7800,0.2600,0.2504,-0.5850,91450913524,161367910504,665830285891
ZOTDOD01,Zn,+2,d10,,,1.9400,0.1800,0.2878,-0.7447,682927215338,161367910504,665830285891
ZOTDOE,Mn,,,,,3.1300,0.0400,0.4955,-1.3979,294304387532,390057394108,342743155196
ZOTDUH,Pd,+2,d8,"Cl,N",1-1-1-1,3.0500,0.2100,0.4843,-0.6778,747694557139,252328423867,760309975352
ZOTKUO,Cu,+2,d9,N,4,13.0800,16.6000,1.1166,1.2201,466730111042,983264387710,834440823330
ZOTMAY,Cu,+2,d9,"N,O",2-2,2.8900,0.0100,0.4609,-2.0000,717508349555,355905283585,907772584746
ZOTMEA,Pt,+2,d8,"Cl,N",2-1-1,8.7400,2.9700,0.9415,0.4728,682999240829,423280322853,573189463432
ZOTMUT,Cu,+2,d9,,,8.1500,2.3900,0.9112,0.3784,836696468617,148114257030,422675947825
ZOTNAA,Cu,+2,d9,"N,O",2,8.5100,2.6000,0.9299,0.4150,847948245851,440228302793,896388422508
ZOTNAB,Cu,+2,d9,,,3.1900,1.1600,0.5038,0.0645,12457364460,420323250122,238277087220
ZOTROS,Co,+2,d7,"N,S",4,7.3600,15.7600,0.8669,1.1976,409361119069,745951959075,752914589781
