refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
ABASON,W,,,6,"N,O",5.7000,6.0400,5.7000,645082646957,913931759450,364355925701
ABAWAF,Re,,,6,"C,P,S",4.1000,9.2700,4.1000,936289488351,988181597702,415172354568
ABAWEJ,Re,,,6,"As,C,S",5.9100,13.7000,5.9100,958077855825,603677447683,962191117134
ABAWIN,Re,,,6,"C,N,S",3.5000,5.0500,3.5000,43828104735,325706998889,41850327222
ABAXIK,Fe,+2,d6,4,"C,I,N",4.7200,8.5200,4.7200,776873789533,89678684784,572593153994
ABAXUX,Pd,+4,d6,5,"Br,C,N",4.1600,8.6000,4.1600,679666141246,955691733045,211899596418
ABAZAH,Ir,,,6,"C,N,O",5.8200,6.1500,5.8200,455827633622,114009915805,720144420413
ABAZEL,Ir,,,6,"C,N,O",0.2300,4.7000,0.2300,183222234823,554895085116,720144420413
ABAZIQ,Ru,+2,d6,5,N,4.9800,7.2600,4.9800,152329034726,110436691171,517162035177
ABECIU,Ni,+2,d8,4,"N,O,S",3.5700,8.6200,3.5700,166832445145,211740372050,440321616002
ABEFUI,Zr,,,5,"N,O",6.2300,13.1300,6.2300,648811703350,240733490411,541087028009
ABEFUI01,Zr,,,5,"N,O",6.2300,13.1300,6.2300,648811703350,240733490411,541087028009
ABEHAU,Pt,+4,d6,6,"C,N,P",5.9600,6.1200,5.9600,45004347004,709577892395,761289188242
ABEKIF,Pt,+4,d6,6,"C,N,P",3.8400,5.7200,3.8400,627566829664,556550502425,235666264532
ABESEI,Ni,+2,d8,4,O,0.0200,5.8800,0.0200,314110160152,644856364723,580871924156
ABEZAM,Ni,+2,d8,4,C,5.0600,6.9800,5.0600,603231083647,344105537918,464148748460
ABEZOY,Re,,,6,"C,N",5.6200,8.4500,5.6200,79625462402,411926812075,429258179253
ABEZUD,Ru,+2,d6,5,"Cl,N,P",6.7900,13.2000,6.7900,888988629639,475120133958,978390151562
ABHPRE01,Re,,,6,"Cl,P",6.0000,6.5000,6.0000,103491143886,486352891036,720685050181
ABIBAP,Ru,+2,d6,5,"As,Cl,N",4.5400,9.4600,4.5400,194300934909,819021151358,307737853826
ABIKOM,Mo,,,5,"O,S",5.8500,9.1500,5.8500,389844806530,155894281359,503522114201
ABIKUS,Mo,,,5,,4.1700,4.9600,4.1700,575848933680,317135506269,339405638518
ABILED,Mo,,,5,,4.0100,8.5500,4.0100,780968512639,336185698954,700590002951
ABILUT,Cr,,,4,"Cl,N",4.2500,8.4600,4.2500,300867102810,251139445240,347065598239
ABIMAA,Cr,,,4,"Cl,N",0.2200,6.2000,0.2200,353942722999,573875359100,347065598239
ABIPAE,Mo,,,5,"C,N",6.4000,6.8700,6.4000,936487149326,386475767969,621178779226
ABIPEI,Mo,,,5,"C,N",5.7600,6.2500,5.7600,180706627926,767155331540,167313838489
ABIQIN,Re,,,6,"C,N,O",4.6500,5.3100,4.6500,75565966247,591872488627,972221258358
ABIQOR,Ti,,,4,,5.7000,6.1900,5.7000,872485579148,606194925649,732079640667
ABITEM,Fe,+2,d6,4,N,5.7200,13.2400,5.7200,572211757661,778773664899,350030404927
ABITUC01,Fe,+2,d6,4,N,6.2600,6.5600,6.2600,442310176813,48342682759,350030404927
ABIYOA,Co,+3,d6,4,,5.1800,5.4300,5.1800,87943557379,751741527499,28788730294
ABIYUG,Co,+3,d6,4,,6.8100,7.9300,6.8100,778468610305,180740268358,694966562069
ABIZER,Co,+3,d6,4,,3.6700,6.6900,3.6700,463563890847,772761500766,694966562069
ABIZES,Mn,,,4,N,0.0300,5.3700,0.0300,972954101212,387263842184,424286736325
ABIZUH,Co,+3,d6,4,"N,O",5.9300,6.0300,5.9300,522499276202,734949545433,349001201491
ABOBAV,Ni,+2,d8,4,N,3.8600,7.6400,3.8600,744965264555,645795051736,271151532613
ABOBEZ,Co,+3,d6,4,N,4.0400,8.9000,4.0400,959917527938,173363743362,694966562069
ABOCEZ,Ru,+2,d6,5,"Cl,N,P",4.2500,6.3700,4.2500,780743841880,777661502285,433592468178
ABOQAJ,Co,+3,d6,4,"N,O",3.6400,5.4500,3.6400,182067563471,557778007409,401329730484
ABOTIX,Cu,+2,d9,4,"N,O",0.4600,6.2000,0.4600,246763762129,843328814266,193593375426
ABOVAR,Cu,+2,d9,4,"N,O",0.4500,5.6300,0.4500,991321347090,483137273757,48880664366
ABOWOE,Zn,+2,d10,4,"N,O",3.8700,7.0600,3.8700,733983683305,701596961269,337991138197
ABOXIA,Re,,,6,"C,N",3.8800,9.1400,3.8800,291463542253,532750930657,962917989810
ABOXOG,Re,,,6,"C,N",3.9500,6.3800,3.9500,343094688152,450338125635,375040809420
ABOXUL,Ru,+2,d6,5,"C,N,P",4.5800,6.4000,4.5800,232568310266,705397812744,495437897083
ABOYAT,Re,,,6,"C,N",0.1800,6.2200,0.1800,164243241745,945496754650,14412694352
ABOYOH,Re,,,6,C,3.7700,5.7100,3.7700,970430922906,276985656271,820683380379
ABOZIB,Ru,+2,d6,5,"C,N,O",5.8100,7.2100,5.8100,52062439267,997453713822,13686853414
ABTCMO,Mo,,,5,,6.7100,7.9600,6.7100,420638242014,826691397469,406238981482
ABUBAD,Cu,+2,d9,4,"N,O",0.7800,5.8600,0.7800,193299528672,404597128798,580166198491
ABUBII,Mn,,,4,"C,N,O",3.6900,5.5900,3.6900,489116334659,664662342678,372005424038
ABUBOO,Re,,,6,"C,N,O",4.4500,9.5000,4.4500,383972936313,528041883020,73267784355
ABUBUU,Re,,,6,"C,N,O",4.0600,6.0900,4.0600,643650899464,903293114495,613080928963
ABUDAF01,Sc,,,4,O,4.0200,7.3600,4.0200,808476060995,762490594479,429215049611
ABUFAE,Re,,,6,"O,S",4.2500,5.1600,4.2500,161478662506,979029173899,590427012427
ABUFIM,Re,,,6,"Br,C,O,P",4.2400,8.6200,4.2400,646229394051,505285548850,581931569685
ABUFOS,Re,,,6,"C,Cl,N,P",4.5000,5.7900,4.5000,777751639129,441274804708,413386988949
ABUFUY,Re,,,6,"Br,C,N,P",6.2800,13.2700,6.2800,6056076573,177131437416,195775670609
ABUHUB,Rh,+3,d6,5,"Br,C,O",5.7300,5.9300,5.7300,348886742560,964159664872,975146721209
ABUKUG,Mn,,,4,"N,O",3.8500,7.1200,3.8500,727688875892,710039804583,459341181256
ABUMAN,Mn,,,4,"N,O",0.0700,5.7600,0.0700,20397528822,186014689528,722935864328
ABUMUH,Zn,+2,d10,4,"N,O",4.3300,4.4100,4.3300,329605026652,529941329865,995436044783
ABUQOH,Co,+3,d6,4,N,0.0700,5.7700,0.0700,154713129341,959320623017,836719020084
ABUQUN02,Co,+3,d6,4,N,0.0400,5.6600,0.0400,341685285965,959320623017,836719020084
ABURAU01,Ni,+2,d8,4,N,0.0200,5.6100,0.0200,479498218034,108839469056,873811820524
ABUSAV,Ni,+2,d8,4,N,0.0600,5.7800,0.0600,127250236307,108839469056,873811820524
ABUVEC,Co,+3,d6,4,N,0.0800,5.7600,0.0800,710219752127,959320623017,836719020084
ABUVEC01,Co,+3,d6,4,N,0.1000,5.7100,0.1000,591896984151,959320623017,836719020084
ABUVEC02,Co,+3,d6,4,N,0.0800,5.6900,0.0800,424323389958,959320623017,836719020084
ABUVOM,Ni,+2,d8,4,N,0.0400,5.7500,0.0400,906437642638,108839469056,873811820524
ABUVUO,Ni,+2,d8,4,"N,O",0.2800,5.2100,0.2800,275049268330,559056389706,457017931911
ABUWAV,Ni,+2,d8,4,"Cl,N",4.7200,9.3000,4.7200,141545585023,811794969258,329617112331
ABUWOK,Cu,+2,d9,4,"N,O",7.3000,9.4200,7.3000,747303624032,792711131431,205673673376
ABUXOK,Os,,,6,"Cl,P",0.0900,6.0700,0.0900,131763296372,551444731113,410916458262
ABUXOK01,Os,,,6,"Cl,P",0.1100,5.6500,0.1100,839096761482,551444731113,410916458262
ABUYEE,Ru,+2,d6,5,"C,Cl,N,O,P",5.6600,5.8900,5.6600,333491477052,65226909167,844737935003
ABUYUU,Ru,+2,d6,5,"Cl,N,O,P",4.2000,7.4100,4.2000,656125838809,850246676156,129580190233
ABZACO10,Co,+3,d6,4,O,0.0300,5.4200,0.0300,760180650336,665557697668,907195365723
ABZTMO,Mo,,,5,,5.1200,10.9200,5.1200,700526475792,742227007624,849957005207
ACACAJ,Ru,+2,d6,5,N,0.1800,5.6500,0.1800,321843812270,673926266055,220822811847
ACACCR02,Cr,,,4,O,3.7900,8.5300,3.7900,137132715356,604016821076,495114490057
ACACCR05,Cr,,,4,O,5.7000,7.0200,5.7000,708115512788,680570747006,495114490057
ACACCR07,Cr,,,4,O,5.5800,6.9900,5.5800,320068566772,680570747006,495114490057
ACACMN02,Mn,,,4,O,5.6400,5.7100,5.6400,975148908513,233164193475,83822246423
ACACMN21,Mn,,,4,O,5.9300,7.0200,5.9300,23787825027,963894421652,83822246423
ACACMN25,Mn,,,4,O,4.0700,4.5400,4.0700,750188551374,233164193475,83822246423
ACACMN32,Mn,,,4,O,3.8900,6.9500,3.8900,244967794209,371925385818,83822246423
ACACMN38,Mn,,,4,O,5.9100,5.9900,5.9100,401539193666,233164193475,83822246423
ACACRU02,Ru,+2,d6,5,O,5.5500,5.6200,5.5500,30197154367,388121247635,813425236686
ACACRU03,Ru,+2,d6,5,O,5.5100,5.7700,5.5100,25861899071,499236467228,848162554783
ACADOY,Zn,+2,d10,4,,4.0300,4.3500,4.0300,150074122555,330270727859,529885013783
ACAGUH,Mn,,,4,"N,O",2.7700,3.9300,2.7700,807978502941,428328818461,21817833454
ACAHUJ02,Fe,+2,d6,4,N,3.9300,8.7800,3.9300,81312163539,65905364311,107711803413
ACAJIX,Ir,,,6,"C,N",2.7500,3.6300,2.7500,856225891541,359550246337,204491143195
ACAJUM,Cu,+2,d9,4,"N,O",0.2500,6.0600,0.2500,554839349508,657048299228,475908661789
ACAKOF,Fe,+2,d6,4,C,0.1400,5.3600,0.1400,536808983576,352832072297,709594302229
ACAKOF01,Fe,+2,d6,4,C,0.0500,5.7400,0.0500,388068861286,352832072297,709594302229
ACAMNI,Ni,+2,d8,4,O,0.0200,5.8200,0.0200,142860996304,320116916358,716476269520
ACAPNI,Ni,+2,d8,4,"N,O",0.0300,5.5300,0.0300,324428680458,282949618260,517890170567
ACAPON,Ir,,,6,"C,N,O",0.2500,6.8100,0.2500,622162647043,49615049589,424757044177
ACAPUQ,Ru,+2,d6,5,"Cl,N,O",4.4000,9.2900,4.4000,716607638190,668029589209,264949767564
ACAQUS,Pt,+4,d6,6,"Cl,N",0.2800,5.8500,0.2800,66341267556,22784078109,34682066064
ACARAZ,Pt,+4,d6,6,"Cl,N",0.2000,5.5300,0.2000,425423749870,264736093538,183571975972
ACARED,Pt,+4,d6,6,"Cl,N",0.1600,6.0900,0.1600,924088150393,427535165297,942271234988
ACARON,Pt,+4,d6,6,"Cl,N",0.2300,5.6900,0.2300,343101192666,940838013248,730382492142
ACARUT,Pt,+4,d6,6,"Cl,N",4.1800,8.8100,4.1800,482269202240,990060838785,935421708285
ACASEE,Pt,+4,d6,6,"Cl,N",5.8700,5.9600,5.8700,379035656664,286618897047,221294002424
ACASII,Pt,+4,d6,6,"Cl,N",5.7100,7.2000,5.7100,31322942039,953165113445,678283096245
ACATUT,Pt,+4,d6,6,"Cl,N",3.9600,5.7700,3.9600,625656800721,796217532139,163792065219
ACATUT01,Pt,+4,d6,6,"Cl,N",5.7400,7.0200,5.7400,560471976072,796217532139,163792065219
ACATUV,Co,+3,d6,4,"N,O",3.7200,5.4000,3.7200,90648848821,466182170628,64655818657
ACAWIK,Ti,,,4,"Cl,F,O",4.4000,9.2700,4.4000,544811093356,582316488485,510852469836
ACAYOT,Cr,,,4,N,3.6100,7.0900,3.6100,626255408130,254590914131,233486127537
ACAZIP,Ni,+2,d8,4,"Br,N",0.7800,7.0000,0.7800,347650515967,526611529525,525683980138
ACBZMN10,Mn,,,4,C,5.6000,7.4100,5.6000,871490498789,724307182716,909088109509
ACDIPT,Pt,+4,d6,6,"I,O",1.1000,7.0000,1.1000,726789768337,877230797902,346881279589
ACEBIV,Re,,,6,"C,N",0.9600,7.8500,0.9600,112147636500,626423485101,148376535221
ACEBOB,Re,,,6,"C,N",5.9200,7.8400,5.9200,484511758441,279125856977,186746663167
ACEJAU,Cu,+2,d9,4,"N,O",0.7700,5.8400,0.7700,599441959171,405537485714,976698936245
ACELAW,Ti,,,4,"F,O",3.8700,8.8600,3.8700,684342909023,183288396891,484966298270
ACELUS,Rh,+3,d6,5,"C,N",7.6800,8.2600,7.6800,467421124821,384351004061,637267221865
ACEPUT,Re,,,6,"Br,C,N",4.2400,8.6400,4.2400,211765880905,185209606386,250975425811
ACESEG,Mo,,,5,,5.4400,7.0900,5.4400,355314480366,697062286040,929135810232
ACESIK,Mo,,,5,,2.1100,8.4200,2.1100,307090356447,783858146450,748239144426
ACESOQ,W,,,6,,5.5900,7.3700,5.5900,876408297327,494263557013,619193458362
ACEVUZ,Mo,,,5,O,5.9600,8.9800,5.9600,171503644745,683939264737,384347079589
ACEYOW,Fe,+2,d6,4,N,3.6800,7.2000,3.6800,645944440594,237483754666,759383205424
ACEYOW01,Fe,+2,d6,4,N,3.6800,7.1900,3.6800,559045492350,237483754666,759383205424
ACHXCO,Co,+3,d6,4,N,5.8800,7.2500,5.8800,906460385772,882396778086,963568593879
ACICIZ,Zn,+2,d10,4,"N,O",0.0200,5.5700,0.0200,253727160870,483840154302,92659833010
ACIDAS,Ru,+2,d6,5,"Cl,N",4.7200,8.7600,4.7200,323088085346,107324375305,238100156575
ACIDEW,Ru,+2,d6,5,"N,O",6.3100,7.0600,6.3100,273854786459,1218964694,958315138510
ACIFEA,Zn,+2,d10,4,"N,O",3.5900,8.2500,3.5900,992973737866,168512791526,729970027134
ACIGEA,Cu,+2,d9,4,"Cl,N",4.6400,7.7400,4.6400,565575553934,63899712182,323675262041
ACIHEZ,Pt,+4,d6,6,"Cl,O",3.7000,5.8400,3.7000,954266653426,581781922452,579421702145
ACIHID,Pt,+4,d6,6,"Cl,O",5.9200,6.0000,5.9200,500293260528,502960902137,918107056731
ACIHUP,Mo,,,5,"C,P",6.3400,8.6400,6.3400,76031704927,364331893667,101307447189
ACILAZ,Mo,,,5,O,5.9900,6.1900,5.9900,831146156644,167472156609,28580028208
ACIMOQ,Co,+3,d6,4,N,4.4400,6.4600,4.4400,864899305750,919018128674,851776650563
ACINUX,Co,+3,d6,4,N,0.0700,5.9300,0.0700,72766905345,219231819815,514151726333
ACIPOV,Ir,,,6,"C,Cl,N,P",5.5600,6.2500,5.5600,962661563205,844803396911,208905711039
ACISEL,Re,,,6,"C,N",5.4400,8.1900,5.4400,735625027261,4806793234,221684305129
ACISIP,Re,,,6,"C,N",4.0000,8.1900,4.0000,745505502387,657979615627,994324360650
ACISOV,Re,,,6,"C,N,O",6.2000,7.4500,6.2000,967485415524,351119182892,219819495318
ACITAH,Ni,+2,d8,4,"Br,N",5.3000,7.9300,5.3000,499991667257,71539124298,36936772738
ACITEO,Cd,,,5,"N,S",1.6400,9.1200,1.6400,376707625026,787522306972,834830851680
ACITEP,Ir,,,6,"Cl,N,P",5.3400,8.9600,5.3400,791329400205,55185494180,957724023253
ACITIT,Ir,,,6,"Cl,N,P",4.1700,4.5100,4.1700,165002898824,660915508298,120228979260
ACITOZ,Ir,,,6,"C,Cl,N,P",5.7400,8.8800,5.7400,391803192655,840140457373,894707920967
ACIVAN,Ir,,,6,"C,Cl,N,P",6.7100,7.4000,6.7100,555941340899,683003309661,959355629303
ACIVIV,Ir,,,6,"C,Cl,N,P",6.8300,8.9400,6.8300,813912513856,176774617873,959355629303
ACIVOB,Ir,,,6,"Cl,N,P",5.2300,6.8700,5.2300,750143783107,588387568589,384013769770
ACLBNI,Ni,+2,d8,4,O,5.5900,5.8700,5.5900,983847427311,670326909435,501431479979
ACLBNI01,Ni,+2,d8,4,O,3.7500,5.7600,3.7500,586379528673,275349258343,501431479979
ACMQCO,Co,+3,d6,4,"N,O",0.1400,5.5300,0.1400,387581392107,438984878036,755099381116
ACNCOA10,Co,+3,d6,4,"N,O",0.0300,5.6100,0.0300,137806773759,89316703756,437374127613
ACNCRE01,Re,,,6,"C,N",4.3000,4.5300,4.3000,330378222269,363927552794,305302047208
ACNCRE02,Re,,,6,"C,N",4.0700,5.3400,4.0700,714720705268,60838181023,305302047208
ACNIET10,Ni,+2,d8,4,O,0.0600,5.9700,0.0600,931414849076,395646138904,745529865377
ACNIET11,Ni,+2,d8,4,O,0.0500,5.7200,0.0500,788725529394,637854157579,472043725319
ACOBUP,Co,+3,d6,4,N,5.7000,5.8700,5.7000,128116124953,760820058072,971819519037
ACOCAW,Co,+3,d6,4,N,5.8400,12.6900,5.8400,975090913528,321275909799,716341684496
ACODAX,Mo,,,5,,3.8400,6.6400,3.8400,575268177713,333588150860,339911853530
ACOFOP,V,,,4,"N,O",6.2500,6.3700,6.2500,587159094715,180302224833,11885063510
ACOJAD,Ti,,,4,N,0.2300,5.7200,0.2300,149555508173,505292034212,405508921901
ACOJEH,Ti,,,4,N,4.4600,6.4400,4.4600,46098004890,741771343304,405508921901
ACOJEK,Re,,,6,"C,Cl,N",6.1100,6.5900,6.1100,449308974222,242489173810,680753854409
ACOLIQ,Ru,+2,d6,5,"Cl,N",5.8300,8.3900,5.8300,160438524035,480499430070,803431766294
ACOLOW,Os,,,6,O,4.1100,7.5100,4.1100,739845527873,126657705356,482233452226
ACOMOV,Zr,,,5,O,4.4300,6.0300,4.4300,147999445773,516804109691,896216386899
ACOQOZ,Re,,,6,"C,S",5.8900,7.4700,5.8900,151643813505,327344898023,357928228653
ACORAM,Re,,,6,"C,S",4.2400,4.5200,4.2400,469473970324,197790782998,176012801281
ACOREQ,Fe,+2,d6,4,"N,O",0.0900,5.8000,0.0900,338010153663,977449983675,869058904086
ACOREQ01,Fe,+2,d6,4,"N,O",5.3000,5.4800,5.3000,511809446220,632894188239,869058904086
ACORIU01,Fe,+2,d6,4,"N,O",5.5500,5.8600,5.5500,334446306971,10346743402,407662816221
ACOROA,Fe,+2,d6,4,"N,O",6.1400,7.1100,6.1400,686859507710,940528708799,940980806584
ACOROA01,Fe,+2,d6,4,"N,O",3.7900,6.6400,3.7900,264564412826,535206742800,940980806584
ACORUG,Fe,+2,d6,4,N,5.3200,9.1000,5.3200,91623784507,434289038737,176595595635
ACOSAN,Fe,+2,d6,4,"N,O",3.4500,5.0900,3.4500,406860721076,266063355426,437800023051
ACOSAN01,Fe,+2,d6,4,"N,O",5.4700,6.0200,5.4700,167830104313,245457601458,437800023051
ACOSEQ,Ru,+2,d6,5,"Cl,N,P",5.3800,5.4200,5.3800,996113888917,8213474105,595018303633
ACOSIU,Ru,+2,d6,5,"Cl,N,P",5.7500,8.5200,5.7500,390679920278,674872553875,740351267320
ACOSOA,Ru,+2,d6,5,"Cl,N,P",4.7100,8.4700,4.7100,736637926715,536804877507,977073297114
ACOURN01,Co,+3,d6,4,O,0.0100,5.7600,0.0100,957562266161,347317179487,433365382614
ACOVAR,Ru,+2,d6,5,"Cl,N",5.4800,6.7900,5.4800,591454915145,365175096508,428974604304
ACOVEV,Ru,+2,d6,5,"N,O",5.3100,8.6300,5.3100,116477809012,181422572564,391816775654
ACOXNU10,Ni,+2,d8,4,"Cl,N",0.2500,5.9700,0.2500,538328238394,669981604124,676392184866
ACOYUO,Ni,+2,d8,4,"N,O",5.8800,7.9400,5.8800,163872792584,262213607613,749886303848
ACPIPR,Re,,,6,"Cl,N,P",3.9400,8.7900,3.9400,836136789037,42340159719,417828209255
ACPIRE,Re,,,6,C,3.8200,6.7100,3.8200,402444424654,114849069993,874362707635
ACPMNA,Mn,,,4,"C,P",4.4000,7.3600,4.4000,277708526472,499479257255,921231245578
ACRECO01,Re,,,6,C,3.8000,8.2800,3.8000,465897273782,416893843440,490442270411
ACRTUR,Cr,,,4,O,3.7800,7.1600,3.7800,471795308742,696680834608,334329901766
ACUGUC,Ni,+2,d8,4,"N,O",4.1900,6.1000,4.1900,709124256558,55642746315,274461050921
ACUHIR,Cd,,,5,"Cl,O",0.4500,5.1200,0.4500,754725988503,772375209192,686921948338
ACUHOX,Co,+3,d6,4,"N,O",0.2900,5.3700,0.2900,211414874215,223208681655,393798002076
ACUHUD,Cd,,,5,"N,O",0.5600,7.0700,0.5600,450430645535,818814682713,442148551938
ACUJAL,Ni,+2,d8,4,"N,O",0.1900,6.5300,0.1900,493841330755,686898902476,808727423577
ACUJUG,V,,,4,"N,O",4.0000,8.5000,4.0000,682931753295,587009353436,342719566130
ACUKOB,V,,,4,"N,O",4.0300,9.0900,4.0300,269240013241,757774413530,94160687606
ACUMUH,Fe,+2,d6,4,N,4.2800,6.3600,4.2800,399217761505,928034702371,718259027428
ACUROG,Re,,,6,"C,N,O",3.7200,5.2100,3.7200,515923030649,750501923804,777200187106
ACUROI,Ir,,,6,"C,N",5.8900,9.5600,5.8900,821754541148,34077707694,893050037838
ACURUM,Re,,,6,"C,N,O",3.4600,4.2400,3.4600,283851050042,838899596661,511629166808
ACUSAT,Re,,,6,"C,N,O",4.7300,5.3000,4.7300,836457629196,739057977964,281567470439
ACUSIB,Re,,,6,"C,N,O",0.2900,7.3500,0.2900,597268024363,484579498503,564332903619
ACUSOJ,Ir,,,6,"C,N",5.6200,9.7600,5.6200,983512822216,679302314788,846240333221
ACUTAU,Mo,,,5,,5.2200,7.7800,5.2200,922966021279,899667601051,555081464799
ACUTEA,Re,,,6,"C,N",3.5800,8.0800,3.5800,193433710514,943952879034,723188204414
ACUTIE,Re,,,6,"C,N",4.3200,6.3800,4.3200,628532547469,387166354711,425013058422
ACUYIJ,V,,,4,O,3.8700,5.4100,3.8700,537581548733,143902974762,304514899515
ACUYOP,V,,,4,O,3.4800,3.9200,3.4800,580489894065,310988831959,787909714953
ACUZII,Fe,+2,d6,4,C,5.8900,8.5500,5.8900,308567283016,477280859195,193807966039
ACUZII01,Fe,+2,d6,4,C,3.9000,8.7400,3.9000,990334640236,477280859195,193807966039
ACUZUU,Mo,,,5,O,5.5000,5.7900,5.5000,929868197760,88078114972,783429669564
ACXACU,Cu,+2,d9,4,"Cl,N",1.4200,6.2500,1.4200,513123278153,878164595523,314689607365
ADABAI,Cu,+2,d9,4,"N,O",0.6200,6.3100,0.6200,794640173675,245460695568,549659129801
ADABIT,Ru,+2,d6,5,N,4.6900,5.6200,4.6900,876181426222,666113374567,324090969766
ADACAM,Ru,+2,d6,5,N,5.5400,7.1400,5.5400,673178840707,174275251027,233728724727
ADACEQ,Ru,+2,d6,5,N,3.5100,5.9500,3.5100,731093357506,934933750267,252941266974
ADADAM,Os,,,6,"C,N,P",4.0800,5.1000,4.0800,578983325612,100050445077,9500305220
ADAGIW,Ti,,,4,,5.7400,8.1000,5.7400,679590262972,184536384287,247017332324
ADAPON,Ir,,,6,"C,N,O",3.9400,7.6100,3.9400,108370985024,803460116744,947058510809
ADAPUT,Ir,,,6,"C,N,O",4.6400,5.4300,4.6400,53980774600,24414051096,973314172475
ADAQUU01,Fe,+2,d6,4,N,4.8800,13.8000,4.8800,823217707496,741584080885,344860267343
ADAREF01,Fe,+2,d6,4,N,4.0100,8.0500,4.0100,308657223600,560422328356,335929579003
ADAVUZ,Cd,,,5,,8.1200,10.9000,8.1200,743890505257,543304727403,823985027214
ADAZEL,Mn,,,4,"Cl,N",3.8100,4.7200,3.8100,860281816080,970094419312,976616293364
ADEBIV,Cd,,,5,"I,N",5.5700,8.5700,5.5700,699191170093,904834339589,792763335430
ADEFIZ,Co,+3,d6,4,"Cl,N",0.2400,5.3800,0.2400,34255371928,849578772942,150478489366
ADEHIB,Mn,,,4,,5.7200,7.0000,5.7200,350622273693,288927039951,720095353780
ADEHOI,Rh,+3,d6,5,"C,N",0.3200,6.6100,0.3200,858500869246,517037874052,329590409101
ADEJOK,Fe,+2,d6,4,N,4.4300,4.6200,4.4300,211221684718,396445870483,925808930832
ADEKOL,Co,+3,d6,4,"N,O",6.0100,6.5700,6.0100,450776582264,12888323837,719016254564
ADENAY,Co,+3,d6,4,O,0.4500,5.0100,0.4500,743226451481,590207835936,390574527465
ADEPAE,Mn,,,4,N,5.4300,7.7100,5.4300,646298566952,896620069456,387400765356
ADEQEI,Co,+3,d6,4,"N,O",5.4100,5.7900,5.4100,471265983436,108385245538,146291539627
ADESEH,Ta,,,6,"Cl,N,O",5.8500,8.5100,5.8500,644296959998,264805058846,713070855774
ADEVIP,Mn,,,4,"Cl,N",0.6600,5.6800,0.6600,33022663580,484961538408,876576900495
ADEXOW,Re,,,6,"Br,C,P",6.1800,7.7900,6.1800,980329051329,293477893149,75153119496
ADEXUC,Re,,,6,"Br,C,P",6.1100,7.5500,6.1100,258691949762,293477893149,75153119496
ADEYAK,Cu,+2,d9,4,N,4.0800,7.9000,4.0800,149741289458,612148109513,288353673382
ADHCOS10,Co,+3,d6,4,"N,O",0.0300,5.8300,0.0300,786288573731,421583135959,280903958924
ADIGAV,Fe,+2,d6,4,"N,O",3.4100,8.6100,3.4100,137600443909,738584333723,463621606359
ADIMOS,Ni,+2,d8,4,"N,O",3.6400,8.5700,3.6400,839799246196,522691996014,537629192846
ADINAG,Mn,,,4,"C,N,O",5.7800,6.2600,5.7800,125919488450,939836243335,946089144877
ADINIK,Zn,+2,d10,4,N,4.2000,4.5100,4.2000,874225342840,110489051404,220744114045
ADINIO,Mn,,,4,"C,N,O",4.4200,4.9900,4.4200,472557307751,944845203142,548413215481
ADINUA,Ni,+2,d8,4,"N,O",5.5500,6.0700,5.5500,602146002690,594058491014,510262244722
ADIPEL,Ru,+2,d6,5,"C,N,P",6.1600,7.7400,6.1600,640428905337,675802764031,716268443270
ADITIT,Co,+3,d6,4,N,0.3100,6.9300,0.3100,398059209239,564856648275,858588391569
ADIZUI,Co,+3,d6,4,O,6.0500,6.7600,6.0500,11277951105,35767589066,419963193959
ADOBUT,W,,,6,"C,P",6.0000,13.1000,6.0000,249372996281,332024563599,410977266210
ADOCAA,W,,,6,"C,P",5.9600,5.9800,5.9600,153394560241,645712719156,212325300151
ADOCEE,W,,,6,"C,P",5.9100,6.0700,5.9100,520388544548,522020842427,418819369342
ADOCII,W,,,6,"C,P",5.9500,13.0400,5.9500,502691767665,795432862823,397826360199
ADOCOO,W,,,6,"C,P",6.0800,12.9400,6.0800,44261401166,24202022182,20811411191
ADODOQ,Ir,,,6,"C,N",3.6600,8.3100,3.6600,642888325430,81412142763,455671311072
ADOLOX,Co,+3,d6,4,"Br,N",4.9200,9.9900,4.9200,417559354475,100495657741,340149478859
ADOMIR,Mo,,,5,,3.8400,8.5700,3.8400,247793601674,839310373785,510208271637
ADOMOX,Mo,,,5,,6.0200,7.0000,6.0200,17897629409,641067533756,510208271637
ADOSIW,Fe,+2,d6,4,F,5.1800,5.6700,5.1800,751810227471,445289486367,847583630933
ADOTAR,Ir,,,6,"C,N",4.8100,9.3600,4.8100,423712212074,887217975070,204089930461
ADOTOF,Ir,,,6,"C,N",3.8900,4.4900,3.8900,738167036897,231702833452,53730280013
ADOZOJ,Ru,+2,d6,5,"C,N,P",4.1300,9.1800,4.1300,901274088138,343889740020,683512820544
ADUFEK,Ni,+2,d8,4,O,0.0400,5.7200,0.0400,629296866485,594417162408,461058986340
ADUFIR,Ni,+2,d8,4,"N,O",0.0300,5.3700,0.0300,991028294954,11235579797,208781754703
ADUFIS,Zr,,,5,,6.7500,10.4000,6.7500,318383176930,354492884107,576792630183
ADUHEP,Fe,+2,d6,4,"N,O",3.7400,4.9200,3.7400,413331386304,511552046153,293468218509
ADUHIT,Fe,+2,d6,4,"Br,N",4.4700,5.8000,4.4700,778129622933,809026811754,583460263307
