refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QALFER,Ni,+2,d8,4,N,4.7500,6.7000,4.7500,161925543025,213218479479,730434559617
QALFIT,Cr,,,4,"Cl,N",4.1100,6.2200,4.1100,728550759800,112592314930,944081395557
QALFIV01,Co,+3,d6,4,N,3.0400,3.9600,3.0400,122934867062,969254279713,727470678895
QALKAS,Ru,+2,d6,5,"N,S",5.9500,8.3700,5.9500,298694344803,687656352270,137826226912
QALLAS,Mn,,,4,"C,N",5.6700,6.4100,5.6700,11027987342,582009232183,27792113508
QALLEW,Cr,,,4,C,5.6800,6.1200,5.6800,414170832535,510741948949,294947356373
QALLOF,Co,+3,d6,4,N,2.9400,3.6600,2.9400,638777690257,227606920025,65791289004
QALMAS,Ni,+2,d8,4,N,3.7100,7.2300,3.7100,147371625376,508317557928,80373269738
QALMEW,Zn,+2,d10,4,N,3.7000,8.6300,3.7000,690885238071,268394494148,137117625126
QALMEZ,Re,,,6,"C,S",4.4800,7.9400,4.4800,106311421421,477300855709,519143589107
QALMIA,Cu,+2,d9,4,N,3.7900,5.8600,3.7900,820461283232,389747543276,917656165342
QALPUO,Re,,,6,O,4.5000,5.3100,4.5000,368664016266,242794466621,475940917302
QALQOM,Mn,,,4,"C,N,O",0.6900,4.6900,0.6900,512760710189,56435263339,265973105920
QALQUS,Mn,,,4,"C,N,O",4.4300,5.0200,4.4300,569565931561,863950078044,575748844417
QALSEB,Ru,+2,d6,5,"N,P,Se",6.3600,6.9400,6.3600,641849762172,769447620882,930726039020
QALSOL,Ru,+2,d6,5,"N,P,S",6.1000,7.2600,6.1000,573252339447,237842326387,564481832943
QALSUR,Ru,+2,d6,5,"N,O,S",6.2000,7.8200,6.2000,308185561884,887819170462,896651100269
QALVAA,Ni,+2,d8,4,O,0.0200,5.5600,0.0200,470037618614,889941354602,203799046514
QALXAD,Ru,+2,d6,5,"As,Cl,N",5.9500,7.9700,5.9500,976024513478,154262319678,787742983444
QALZAF,Ni,+2,d8,4,N,4.1600,6.8000,4.1600,740913634460,482410737657,583657174382
QALZAG,Co,+3,d6,4,"N,O",4.6800,4.8200,4.6800,538520945208,550809110619,11455342974
