refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
DEZFOG,Sc,,,"C,N",1-1,6.2800,3.3700,0.8048,0.5403,2.9100,False,445160616243
DEZPAA,Cu,+2,d9,N,1-1,3.8700,5.9000,0.5988,0.7782,2.0300,False,552129429765
DEZXIQ,Cu,+2,d9,"N,O",2-1-1,0.8000,5.0300,-0.0458,0.7101,4.2300,False,907541063197
DIBLAD,V,,,,,0.7600,0.8800,-0.0655,-0.0088,0.1200,True,280531446383
DIBMIN,Ru,+2,d6,"C,N",1-1,5.5300,6.1200,0.7505,0.7938,0.5900,True,880796116932
DIBPUB,Ru,+2,d6,"C,N,P",1-1-1-1,0.5000,0.8200,-0.2218,-0.0362,0.3200,True,47087179582
DICCAU,Cu,+2,d9,N,2-2,7.3300,15.7300,0.8710,1.1995,8.4000,False,673881160185
DICCIC,Cu,+2,d9,N,1-1,0.3500,0.9000,-0.3468,0.0000,0.5500,True,263138069680
DICKIK,Cu,+2,d9,,,0.3600,0.8400,-0.3372,-0.0269,0.4800,True,440342762181
DICTIU,Ru,+2,d6,"C,N,P",1-1-1-1,5.5700,6.1500,0.7536,0.7959,0.5800,True,840821505808
DICTUG,Ru,+2,d6,"C,N,P",1-1-1-1,0.6900,0.9200,-0.1024,0.0086,0.2300,True,286037329738
DIDHAC,Zr,,,,,0.5100,3.0500,-0.2147,0.4983,2.5400,False,238478238351
DIDHUX,Ru,+2,d6,"N,P,S",2-1-1,9.5900,7.8500,0.9863,0.9004,1.7400,False,518466293844
DIDROZ,Sc,,,,,1.0900,1.5700,0.0755,0.2227,0.4800,True,423311652701
DIDSEQ,Sc,,,,,1.1100,6.8400,0.0828,0.8414,5.7300,False,108978083545
DIDSIV,Co,+2,d7,,,0.6200,0.6400,-0.1427,-0.1308,0.0200,True,281213114687
DIDTAO,Co,+2,d7,,,4.7700,5.9500,0.6875,0.7818,1.1800,False,388098115097
DIDTES,Co,+2,d7,,,0.6000,5.9100,-0.1549,0.7789,5.3100,False,546579725665
DIDTIW,Co,+2,d7,,,0.4500,1.0200,-0.2596,0.0492,0.5700,True,829933611117
DIDTOC,Co,+2,d7,,,4.5500,5.8400,0.6675,0.7738,1.2900,False,93438381944
DIFNEN,Cu,+2,d9,N,2,0.5100,5.3400,-0.2147,0.7356,4.8300,False,824346903594
DIFNIR,Cu,+2,d9,,,5.0200,6.5800,0.7093,0.8248,1.5600,False,576687934948
DIFPIU,V,,,P,1-1,1.2300,6.0100,0.1239,0.7860,4.7800,False,892552373519
DIHNEO,Zn,+2,d10,,,0.8800,5.9400,-0.0088,0.7810,5.0600,False,996565547074
DIHNEP,Pt,+2,d8,"Br,P",1-1,0.3400,5.4800,-0.3565,0.7466,5.1400,False,453050467449
DIHNIT,Pt,+2,d8,"I,P",1-1,0.5100,5.5800,-0.2147,0.7543,5.0700,False,266517379001
DIHRIX,Cd,,,,,4.1200,5.9400,0.6253,0.7810,1.8200,False,894762730663
DIJBEF,Ti,,,N,1-1,0.2000,5.2600,-0.5229,0.7292,5.0600,False,271472630762
DIJBIJ,Ti,,,,,0.2200,5.3400,-0.4949,0.7356,5.1200,False,468014355574
DIJQOE,Zr,,,"Cl,O",1-1,0.6900,1.8000,-0.1024,0.2788,1.1100,False,376277675362
DIJTID,Cr,,,"Cl,N",1-1,0.7800,1.4800,-0.0555,0.1987,0.7000,True,641683141706
DIKFUY,Rh,+3,d6,C,1-1,17.6200,13.5000,1.2485,1.1335,4.1200,False,738583941662
DIKYAY,V,,,,,0.9800,5.9600,0.0334,0.7825,4.9800,False,880741971793
DILBIK,Zn,+2,d10,,,9.2400,9.6700,0.9703,0.9899,0.4300,True,68264444442
DILTEZ,Cu,+2,d9,"N,O",2-2,4.6200,6.2600,0.6739,0.8035,1.6400,False,448435849747
DIMDAI,Cu,+2,d9,"N,O",1-1,0.3800,5.7400,-0.3188,0.7664,5.3600,False,191282266689
DINBIN,Cd,,,N,1-1,0.8500,4.5200,-0.0223,0.6646,3.6700,False,930686553381
DINVEE,Cu,+2,d9,N,1-1,4.4600,6.3900,0.6590,0.8122,1.9300,False,453750215711
DIPHOB,Co,+2,d7,"Cl,N",1-1,0.8700,5.1900,-0.0132,0.7235,4.3200,False,441389978158
DIPKAR,Cu,+2,d9,N,1-1,7.2200,14.1200,0.8645,1.1529,6.9000,False,229317638154
DIPLIA,Cd,,,,,5.0800,6.9400,0.7143,0.8476,1.8600,False,391948712248
DIPLOG,Cd,,,,,5.3500,6.9200,0.7364,0.8463,1.5700,False,524790301998
DIPMAT,Cd,,,,,1.3900,4.7100,0.1732,0.6821,3.3200,False,122556295832
DIPPAV,Cu,+2,d9,"N,O",1-1,0.4900,0.7600,-0.2291,-0.0655,0.2700,True,60968002837
DIPTEE,Cu,+2,d9,,,8.8600,14.9600,0.9523,1.1778,6.1000,False,163062279396
DIQMOJ,Fe,+2,d6,,,4.6800,6.4500,0.6794,0.8162,1.7700,False,957803688988
DIRFIW,Mo,,,,,0.5100,5.5000,-0.2147,0.7482,4.9900,False,824654386794
DIRHIX,Fe,+2,d6,"C,P",1-1,0.2800,5.4700,-0.4202,0.7459,5.1900,False,245033365147
DISWOU,Zn,+2,d10,,,4.8900,6.0400,0.6981,0.7882,1.1500,False,655311136417
DISYAG,Cu,+2,d9,N,1-1,0.5400,0.7700,-0.1938,-0.0605,0.2300,True,423934585209
DISYEK,Cu,+2,d9,N,1-1,4.5700,6.0000,0.6693,0.7853,1.4300,False,893652166320
DITDAN,Cu,+2,d9,N,1-1,0.6900,6.4100,-0.1024,0.8136,5.7200,False,63196047156
DITLAW,Co,+2,d7,,,0.4900,5.8300,-0.2291,0.7731,5.3400,False,3370988672
DITPUS,Re,,,,,1.0700,1.1000,0.0682,0.0792,0.0300,True,576532895472
DITQED,Re,,,,,1.1100,6.5900,0.0828,0.8254,5.4800,False,41606756220
DITROO,Ru,+2,d6,Cl,1-1,5.8200,5.9000,0.7723,0.7782,0.0800,True,923662853053
DITSAB,Ru,+2,d6,"C,Cl,N",1-1-1-1,5.5700,6.0900,0.7536,0.7917,0.5200,True,779813507841
DITWEL,Zn,+2,d10,,,5.9300,8.5700,0.7803,0.9380,2.6400,False,678600117127
DIVKEA,Zn,+2,d10,,,7.9100,8.8400,0.9036,0.9513,0.9300,True,857307156160
DIVVEM,W,,,,,4.8600,5.5300,0.6955,0.7505,0.6700,True,87694064289
DIVVIQ,Mo,,,"N,P",1-1,5.1300,5.7800,0.7185,0.7694,0.6500,True,393794397144
DIVVOW,W,,,,,5.2700,5.9800,0.7300,0.7839,0.7100,True,648896521941
DIVVUC,Nb,,,,,0.7600,6.1300,-0.0655,0.7945,5.3700,False,239535466333
DIVWAJ,Ta,,,,,0.7400,5.6500,-0.0757,0.7597,4.9100,False,933452375943
DIVWEN,Nb,,,"N,P",1-1,0.3800,0.7600,-0.3188,-0.0655,0.3800,True,60997567099
DIVWIR,Ta,,,,,4.8000,5.5200,0.6902,0.7497,0.7200,True,545867239677
DIVWOV,Rh,+3,d6,"C,N",2-1-1,4.7800,5.7500,0.6884,0.7672,0.9700,True,360440576686
DIWQEI,Pt,+2,d8,"C,N",2-1-1,5.8500,6.9400,0.7745,0.8476,1.0900,False,746618928341
DIXCEV,Mn,,,"O,P",1-1,0.2200,3.8400,-0.4949,0.5955,3.6200,False,468829524617
DIXCIZ,Mn,,,"Cl,P",1-1,0.3300,5.9800,-0.3665,0.7839,5.6500,False,417183154015
DIXNUU,Hg,,,,,1.3000,6.7400,0.1461,0.8351,5.4400,False,192881949999
DIXWIS,Ru,+2,d6,"C,O",1-1,0.3500,1.9000,-0.3468,0.3010,1.5500,False,341009390941
DIYKEF,Ru,+2,d6,,,4.7400,5.7800,0.6848,0.7694,1.0400,False,17439276070
DIYNOS,Ru,+2,d6,,,0.4100,1.6200,-0.2924,0.2355,1.2100,False,920815200239
DIYQUX,Cd,,,,,2.1900,7.1700,0.3598,0.8615,4.9800,False,458601014042
DIYSEK,V,,,"N,O",1-1,0.4100,5.5700,-0.2924,0.7536,5.1600,False,613275187020
DIYSIO,V,,,"N,O",1-1,0.4300,5.6200,-0.2757,0.7574,5.1900,False,979524799522
DIYTIR,Cr,,,"C,O",1-1,5.1300,5.8600,0.7185,0.7752,0.7300,True,684084223992
DIYVEM,Hg,,,,,5.7600,7.1100,0.7679,0.8579,1.3500,False,587230139939
DIYXAK,Zn,+2,d10,,,0.7900,6.5400,-0.0506,0.8222,5.7500,False,724838974249
DIYXEO,Zn,+2,d10,,,4.9100,5.2600,0.6998,0.7292,0.3500,True,698117531910
DIYYIV,Mo,,,,,0.5100,2.0000,-0.2147,0.3222,1.4900,False,310716495466
DIZCOG,Cu,+2,d9,"N,O",1-1,4.0500,5.1800,0.6180,0.7226,1.1300,False,911031579475
DIZCUK,Mo,,,,,4.9000,5.4700,0.6990,0.7459,0.5700,True,8845621816
DIZMAA,Mo,,,,,4.7600,6.5200,0.6866,0.8209,1.7600,False,479622123689
DIZMEE,Mo,,,,,0.6600,0.8100,-0.1192,-0.0410,0.1500,True,731213814087
DIZNEH,Nb,,,O,1-1,0.3700,3.7400,-0.3279,0.5843,3.3700,False,819524432244
DIZNUX,Nb,,,O,1-1,0.3700,5.8700,-0.3279,0.7760,5.5000,False,145353557351
DIZQEJ,Co,+2,d7,"N,P",1-1,0.2300,1.0900,-0.4815,0.0755,0.8600,True,66287022758
DMAECO,Co,+2,d7,"Br,N",1-1,0.7600,1.5900,-0.0655,0.2279,0.8300,True,205140058963
DMAECO01,Co,+2,d7,"Br,N",1-1,0.6500,5.8600,-0.1249,0.7752,5.2100,False,205140058963
DMAECO02,Co,+2,d7,"Br,N",1-1,0.6500,5.8600,-0.1249,0.7752,5.2100,False,205140058963
DMAECO03,Co,+2,d7,"Br,N",1-1,0.6400,5.8500,-0.1308,0.7745,5.2100,False,205140058963
DMAECU01,Cu,+2,d9,"Br,N",1-1,0.3800,1.3800,-0.3188,0.1703,1.0000,True,737583429750
DMAECU02,Cu,+2,d9,"Br,N",1-1,0.3800,1.3700,-0.3188,0.1673,0.9900,True,737583429750
DMAECU03,Cu,+2,d9,"Br,N",1-1,0.3800,1.3700,-0.3188,0.1673,0.9900,True,737583429750
DMAENI01,Ni,+2,d8,"Br,N",1-1,0.5000,1.4100,-0.2218,0.1790,0.9100,True,989808208090
DMPMPW10,W,,,,,0.1300,1.0600,-0.6383,0.0645,0.9300,True,292324663974
DOBCAC,Fe,+2,d6,,,0.4700,0.5800,-0.2441,-0.1675,0.1100,True,66614385054
DOBCUU,Co,+2,d7,"C,P",1-1,0.2600,5.6400,-0.4437,0.7589,5.3800,False,398451505947
DOBNAJ,Co,+2,d7,,,5.8000,12.0200,0.7709,1.0835,6.2200,False,926675304124
DOBNEN,Fe,+2,d6,,,5.6800,7.7700,0.7619,0.8960,2.0900,False,688545738909
DOBNUE,Os,,,"C,O,P",1-1-1-1,5.3700,6.0600,0.7380,0.7896,0.6900,True,7944434551
DOBTIB,V,,,,,5.5400,6.0400,0.7513,0.7882,0.5000,True,573404947632
DOBTOH,V,,,,,4.7900,5.6700,0.6893,0.7612,0.8800,True,945708346647
DOBTUN,V,,,,,0.1900,0.7400,-0.5376,-0.0757,0.5500,True,263863613543
DOBVAV,V,,,,,4.4700,5.6900,0.6599,0.7627,1.2200,False,626473525709
DOBVUL,Co,+2,d7,,,0.8900,5.2500,-0.0044,0.7284,4.3600,False,406857934271
DOBVUL01,Co,+2,d7,,,0.9000,5.3700,0.0000,0.7380,4.4700,False,406857934271
DOBWEX,Zr,,,"C,N",1-1,0.6600,5.6400,-0.1192,0.7589,4.9800,False,365086822562
DOBWIB,Zr,,,N,1-1,0.5000,5.5400,-0.2218,0.7513,5.0400,False,931301962622
DOBXEY,Hf,,,N,1-1,0.4100,1.2700,-0.2924,0.1367,0.8600,True,90201184166
DOBXUO,Zr,,,N,1-1,0.3300,6.6100,-0.3665,0.8267,6.2800,False,111223087985
DOBYAV,Zr,,,N,1-1,0.4500,5.4700,-0.2596,0.7459,5.0200,False,513698088417
DOBYEZ,Hf,,,N,1-1,0.3000,5.6000,-0.3979,0.7559,5.3000,False,747516669640
DOBYID,Hf,,,N,1-1,0.3100,6.3800,-0.3872,0.8116,6.0700,False,69045609077
DOCFUX02,Zn,+2,d10,O,2,0.2000,3.7700,-0.5229,0.5877,3.5700,False,812753218740
DOCGUZ,Fe,+2,d6,,,5.5500,5.9800,0.7520,0.7839,0.4300,True,82744002919
DOCTEX,Re,,,"C,P",1-1-1-1,0.3200,1.2600,-0.3768,0.1335,0.9400,True,546372990149
DOCVOJ,Co,+2,d7,,,1.0200,6.6500,0.0492,0.8293,5.6300,False,930197425849
DOCYON,Fe,+2,d6,P,1-1,0.6600,4.5700,-0.1192,0.6693,3.9100,False,364713530107
DODCAC,Zn,+2,d10,"N,O",1-1,8.0000,5.7000,0.9085,0.7634,2.3000,False,268657577920
DODGUZ,Re,,,C,1-1-1-1,0.1300,1.3300,-0.6383,0.1553,1.2000,False,299447574572
