case_id,purpose,metal,CN,raw_xyz,clean_xyz,first_sphere_xyz,thumbnail_png,metadata_json,figure_notes,license_status
AFOSIA,boundary,Cr,6,AFOSIA/AFOSIA_raw.xyz,AFOSIA/AFOSIA_clean_for_render.xyz,AFOSIA/AFOSIA_first_sphere.xyz,(render locally with ChimeraX/PyMOL),AFOSIA/AFOSIA_render_metadata.json,AFOSIA/AFOSIA_figure_notes.md,CSD-derived coordinates for internal figure rendering only; do not redistribute raw XYZ.
AGOTIA,repair,Re,7,AGOTIA/AGOTIA_raw.xyz,AGOTIA/AGOTIA_clean_for_render.xyz,AGOTIA/AGOTIA_first_sphere.xyz,(render locally with ChimeraX/PyMOL),AGOTIA/AGOTIA_render_metadata.json,AGOTIA/AGOTIA_figure_notes.md,CSD-derived coordinates for internal figure rendering only; do not redistribute raw XYZ.
CIJWUO,stereo,Cu,5,CIJWUO/CIJWUO_raw.xyz,CIJWUO/CIJWUO_clean_for_render.xyz,CIJWUO/CIJWUO_first_sphere.xyz,(render locally with ChimeraX/PyMOL),CIJWUO/CIJWUO_render_metadata.json,CIJWUO/CIJWUO_figure_notes.md,CSD-derived coordinates for internal figure rendering only; do not redistribute raw XYZ.
