model,fold,seed,target,n_test,mae,rmse,r2,spearman,best_epoch,parameters
schnet_3d,0,11,dipole_moment,9573,0.8306933885630328,1.5930303444240042,0.8550582761992501,0.9536942722259518,39,301827
schnet_3d,0,11,hl_gap_ev,9573,0.27104870361257194,0.3894596127479872,0.8180556952247595,0.9056760844481958,39,301827
schnet_3d,0,22,dipole_moment,9573,0.8347391699419666,1.6089880312550098,0.8521399147285229,0.9538252509183288,24,301827
schnet_3d,0,22,hl_gap_ev,9573,0.28971406721862075,0.41231704330985186,0.7960723172500291,0.893275512777952,24,301827
schnet_3d,0,33,dipole_moment,9573,0.8376827160293226,1.5796890171634579,0.8574758292979079,0.9536054703357264,21,301827
schnet_3d,0,33,hl_gap_ev,9573,0.2921848196128089,0.4156840647280226,0.7927281313807476,0.8922696330640496,21,301827
schnet_3d,1,11,dipole_moment,9706,0.8005539819478448,1.1842991508312553,0.9154722270539286,0.9568860541883347,32,301827
schnet_3d,1,11,hl_gap_ev,9706,0.2740363571389837,0.3895350694896711,0.8234196309681006,0.9121364809663265,32,301827
schnet_3d,1,22,dipole_moment,9706,0.857105432454763,1.262439157227005,0.9039499701246394,0.9503384080952709,25,301827
schnet_3d,1,22,hl_gap_ev,9706,0.2916970111501848,0.4057627165445091,0.8084008521614449,0.9034791401048052,25,301827
schnet_3d,1,33,dipole_moment,9706,0.8444328773102759,1.2493171992010188,0.9059363062685459,0.9516842172953581,32,301827
schnet_3d,1,33,hl_gap_ev,9706,0.2823765932494234,0.39953123614145913,0.814240611712796,0.9054994895081143,32,301827
schnet_3d,2,11,dipole_moment,9631,0.7884028937484651,1.4620310309475273,0.8790162522591325,0.9560538452693339,39,301827
schnet_3d,2,11,hl_gap_ev,9631,0.2780580970186668,0.3980731151836966,0.8163715002463106,0.908852873403888,39,301827
schnet_3d,2,22,dipole_moment,9631,0.8551712877566464,1.5387934754223502,0.8659784843154626,0.949785326247259,33,301827
schnet_3d,2,22,hl_gap_ev,9631,0.2808360877332627,0.40267389874333054,0.8121023491919066,0.9028318546438456,33,301827
schnet_3d,2,33,dipole_moment,9631,1.3389032702494998,2.278084716738857,0.7062664232313114,0.8755006117632623,29,301827
schnet_3d,2,33,hl_gap_ev,9631,0.3101065803720329,0.4427519687184767,0.7728381520042551,0.889294462072854,29,301827
schnet_3d,3,11,dipole_moment,9576,0.8101057335547636,1.2401068162451312,0.9075719757707679,0.9561925052584022,50,301827
schnet_3d,3,11,hl_gap_ev,9576,0.26763985591723505,0.3882121961766819,0.8240963665273091,0.912950208774967,50,301827
schnet_3d,3,22,dipole_moment,9576,0.8463198110872044,1.301250636976714,0.8982329019484391,0.9500551025382424,27,301827
schnet_3d,3,22,hl_gap_ev,9576,0.29125307577544685,0.4063801728077352,0.8072468512191968,0.9026295051374614,27,301827
schnet_3d,3,33,dipole_moment,9576,0.8089753147354699,1.2363666953801828,0.9081286547272105,0.9550340618124274,40,301827
schnet_3d,3,33,hl_gap_ev,9576,0.2695723818856274,0.38681789105932285,0.8253576504031475,0.9110582187122709,40,301827
schnet_3d,4,11,dipole_moment,9571,0.8231580071085088,1.3069635408070912,0.9030056212660824,0.9560871366450883,29,301827
schnet_3d,4,11,hl_gap_ev,9571,0.2740388853449568,0.3955507778502589,0.8160310864511122,0.9063762794477379,29,301827
schnet_3d,4,22,dipole_moment,9571,0.8697297548677291,1.3888208133807627,0.8904753048201223,0.9505245903151595,29,301827
schnet_3d,4,22,hl_gap_ev,9571,0.28217425590248496,0.4039826590127688,0.8081042286829948,0.9022185715686378,29,301827
schnet_3d,4,33,dipole_moment,9571,0.8510716874426827,1.373424000273429,0.8928902797429911,0.9532015972771964,23,301827
schnet_3d,4,33,hl_gap_ev,9571,0.2860921875285375,0.40543800566539984,0.8067191300617927,0.8997024000573659,23,301827
