mol_id,cn,reference_a,reference_b,S_reference_a,S_reference_b,best_shape,best_cshm,second_shape,shape_margin,boundary_margin_lt_1
TOBKIF,4,SP,Td,0.6731602529055863,33.78111632560328,SP,0.6731602529055863,Td,33.10795607269769,False
TOBMAZ,4,SP,Td,1.539254135330609,24.223235379149248,SP,1.539254135330609,Td,22.68398124381864,False
TOBQOR,4,SP,Td,0.4405210762110269,33.617009081648725,SP,0.4405210762110269,Td,33.1764880054377,False
TOBTUB,4,SP,Td,0.0359433130410741,33.35717982192036,SP,0.0359433130410741,Td,33.32123650887929,False
TOBWEO,4,SP,Td,24.81619824011013,7.988769403088577,Td,7.988769403088577,SP,16.82742883702155,False
TOCCOH,4,SP,Td,33.35300293165727,0.0400893474516682,Td,0.0400893474516682,SP,33.3129135842056,False
TOCFUP,4,SP,Td,17.313303417440313,33.80242455250131,SP,17.313303417440313,Td,16.489121135060994,False
TOCHEY,4,SP,Td,0.3082270545329695,31.596926717157228,SP,0.3082270545329695,Td,31.288699662624257,False
TOCQUZ,4,SP,Td,0.8386559522368648,29.105496876478245,SP,0.8386559522368648,Td,28.26684092424138,False
TOCREK,4,SP,Td,0.042108065407533,33.36039261931099,SP,0.042108065407533,Td,33.31828455390346,False
TODGOI,4,SP,Td,27.17041601814524,1.631358024967051,Td,1.631358024967051,SP,25.539057993178183,False
TODMAC,4,SP,Td,0.1459678077828042,33.15936646409263,SP,0.1459678077828042,Td,33.013398656309825,False
TODMEG,4,SP,Td,0.1577985036922945,32.93518913639227,SP,0.1577985036922945,Td,32.777390632699976,False
TODMIK,4,SP,Td,0.1972502041263267,33.11031661403484,SP,0.1972502041263267,Td,32.91306640990852,False
TODXAN,4,SP,Td,32.067876644836986,4.792029249019698,Td,4.792029249019698,SP,27.275847395817287,False
TOFPUZ,4,SP,Td,0.6428378735347489,31.57657240429403,SP,0.6428378735347489,Td,30.93373453075928,False
TOFROV,4,SP,Td,19.398428958699423,4.842589422238853,Td,4.842589422238853,SP,14.55583953646057,False
TOFYAR,4,SP,Td,0.5601592105697814,33.70620659595927,SP,0.5601592105697814,Td,33.146047385389494,False
TOGFEC,4,SP,Td,0.7913154518276921,29.167715951718087,SP,0.7913154518276921,Td,28.376400499890394,False
TOGGUT,4,SP,Td,0.2357259043364932,33.39646340544078,SP,0.2357259043364932,Td,33.160737501104286,False
TOGHAA,4,SP,Td,0.3170271270042452,33.38415259528852,SP,0.3170271270042452,Td,33.067125468284274,False
TOGHOO,4,SP,Td,0.7884550258328668,29.55815667045008,SP,0.7884550258328668,Td,28.76970164461721,False
TOGHUU,4,SP,Td,0.6986904941479959,30.146311552893767,SP,0.6986904941479959,Td,29.44762105874577,False
TOGJEG,4,SP,Td,0.7323238145974039,29.5176560125101,SP,0.7323238145974039,Td,28.78533219791269,False
TOGJIK,4,SP,Td,0.6936281880749527,29.744597526556063,SP,0.6936281880749527,Td,29.05096933848111,False
TOGJOQ,4,SP,Td,0.7836310690812421,29.28362313928424,SP,0.7836310690812421,Td,28.499992070203,False
TOGRAK,4,SP,Td,0.8526409094478071,33.88969145554384,SP,0.8526409094478071,Td,33.03705054609603,False
TOGRIS,4,SP,Td,1.02759000821889,25.890978652620017,SP,1.02759000821889,Td,24.863388644401127,False
TOGXOE,4,SP,Td,0.4561216978845736,31.09627222249915,SP,0.4561216978845736,Td,30.640150524614576,False
TOGXOF,4,SP,Td,0.5477858889605257,32.9141171819513,SP,0.5477858889605257,Td,32.36633129299077,False
TOHGAB,4,SP,Td,1.0448208201590086,33.105576191804055,SP,1.0448208201590086,Td,32.060755371645044,False
TOJJIL,4,SP,Td,30.8095681102401,0.7844767355957575,Td,0.7844767355957575,SP,30.025091374644344,False
TOKDUU,4,SP,Td,4.05302308159784,18.43399663153621,SP,4.05302308159784,Td,14.380973549938371,False
TOKGOR,4,SP,Td,0.1976965121612314,30.845598003646145,SP,0.1976965121612314,Td,30.647901491484912,False
TOKHAE,4,SP,Td,0.1875584367308126,30.950865709496544,SP,0.1875584367308126,Td,30.76330727276573,False
TOKHEI,4,SP,Td,0.1876718112741339,30.940120842693663,SP,0.1876718112741339,Td,30.75244903141953,False
TOKYOJ,4,SP,Td,30.813734710702228,0.6976080391989108,Td,0.6976080391989108,SP,30.11612667150332,False
TOKZAX,4,SP,Td,23.73320102545457,1.9295366066793131,Td,1.9295366066793131,SP,21.803664418775256,False
TOLHEJ,4,SP,Td,1.2602709900483895,27.688721640746483,SP,1.2602709900483895,Td,26.428450650698093,False
TOLHIN,4,SP,Td,1.2123469862495313,27.689070242555385,SP,1.2123469862495313,Td,26.476723256305853,False
TOLQAM,4,SP,Td,0.640728056928366,29.65390727544213,SP,0.640728056928366,Td,29.013179218513763,False
TOLREU,4,SP,Td,0.032057540407489,33.35417600662816,SP,0.032057540407489,Td,33.32211846622067,False
TOMCAZ,4,SP,Td,0.3938211153903583,29.073612642069456,SP,0.3938211153903583,Td,28.679791526679097,False
TOMSIZ,4,SP,Td,0.2940302848927701,33.078833533718445,SP,0.2940302848927701,Td,32.784803248825675,False
TONPAP,4,SP,Td,21.15080853182325,6.019486229740508,Td,6.019486229740508,SP,15.131322302082744,False
TONPIW,4,SP,Td,0.3178841252776603,33.029855699495386,SP,0.3178841252776603,Td,32.71197157421773,False
TONRUJ,4,SP,Td,0.0417318305860522,33.3271198125202,SP,0.0417318305860522,Td,33.28538798193415,False
TONSOG,4,SP,Td,0.1669239278220638,32.771893283377906,SP,0.1669239278220638,Td,32.604969355555845,False
TONTIZ,4,SP,Td,0.8441505648637364,33.35502290603666,SP,0.8441505648637364,Td,32.51087234117292,False
TOPDEI,4,SP,Td,0.0401371844066438,33.13123315589367,SP,0.0401371844066438,Td,33.09109597148702,False
TOPGAH,4,SP,Td,25.026789474566165,8.287390192051904,Td,8.287390192051904,SP,16.739399282514263,False
TOPNUJ,4,SP,Td,0.7848887728410933,33.85541808177374,SP,0.7848887728410933,Td,33.07052930893265,False
TOPVIE,4,SP,Td,0.5308613333010417,33.410457496744776,SP,0.5308613333010417,Td,32.879596163443736,False
TOPVUQ,4,SP,Td,0.5492608591108751,33.436222518358086,SP,0.5492608591108751,Td,32.88696165924721,False
TOQJEO,4,SP,Td,0.5170628039146796,32.3358395269112,SP,0.5170628039146796,Td,31.81877672299652,False
TOQKIU,4,SP,Td,0.28555203746711,32.36933546015337,SP,0.28555203746711,Td,32.08378342268626,False
TOQPAS,4,SP,Td,0.6017614609054109,30.39847667971122,SP,0.6017614609054109,Td,29.796715218805808,False
TOQPEW,4,SP,Td,0.3076898989277776,32.56476439714586,SP,0.3076898989277776,Td,32.25707449821808,False
TOQQAS,4,SP,Td,0.2186023403602581,32.24727504023234,SP,0.2186023403602581,Td,32.02867269987208,False
TOQQEX,4,SP,Td,23.90637824359432,12.836468613234224,Td,12.836468613234224,SP,11.069909630360094,False
TOQQOH,4,SP,Td,23.865714752893883,12.910894074691182,Td,12.910894074691182,SP,10.9548206782027,False
TOQRAU,4,SP,Td,22.976455323314777,5.1897260336027085,Td,5.1897260336027085,SP,17.78672928971207,False
TOQSAU,4,SP,Td,0.8833197695263459,33.92124338297458,SP,0.8833197695263459,Td,33.037923613448235,False
TOQZIK,4,SP,Td,0.766069488492603,26.25677439989398,SP,0.766069488492603,Td,25.490704911401377,False
TOQZOQ,4,SP,Td,1.3964067154319817,25.43879471157364,SP,1.3964067154319817,Td,24.042387996141656,False
TOQZUW,4,SP,Td,0.0508344427950685,33.355642377072606,SP,0.0508344427950685,Td,33.304807934277534,False
TORBAF,4,SP,Td,0.0415032146907102,33.15922094173504,SP,0.0415032146907102,Td,33.11771772704433,False
TORBEJ,4,SP,Td,0.0441876182063276,33.326997345923424,SP,0.0441876182063276,Td,33.282809727717094,False
TORBIN,4,SP,Td,1.0016453793586992,33.80924809456182,SP,1.0016453793586992,Td,32.807602715203124,False
TOSQIB,4,SP,Td,0.4235442387694135,30.49978170649195,SP,0.4235442387694135,Td,30.07623746772254,False
TOSQUP,4,SP,Td,0.2707786531439747,32.63541782073049,SP,0.2707786531439747,Td,32.36463916758651,False
TOTBEL,4,SP,Td,0.5497434791136915,33.41377164992844,SP,0.5497434791136915,Td,32.86402817081475,False
TOTHAN,4,SP,Td,20.48287818121364,6.247714683488896,Td,6.247714683488896,SP,14.235163497724743,False
TOTHER,4,SP,Td,22.270398454085008,6.6364031881928325,Td,6.6364031881928325,SP,15.633995265892176,False
TOTKUI,4,SP,Td,0.9166051744992252,33.942956548114545,SP,0.9166051744992252,Td,33.02635137361532,False
TOTQEA,4,SP,Td,0.0092652283330872,33.33801685325884,SP,0.0092652283330872,Td,33.32875162492575,False
TOTQUQ,4,SP,Td,0.2885247564436281,33.11236511278212,SP,0.2885247564436281,Td,32.82384035633849,False
TOTTAA,4,SP,Td,0.5356284647422979,33.31357120016703,SP,0.5356284647422979,Td,32.77794273542474,False
TOVNOK,4,SP,Td,0.6936199384448449,33.79066744031943,SP,0.6936199384448449,Td,33.097047501874584,False
TOVNUQ,4,SP,Td,1.228215345123064,34.1516953499246,SP,1.228215345123064,Td,32.92348000480154,False
TOVPOM,4,SP,Td,20.746817456346065,26.535535829970925,SP,20.746817456346065,Td,5.78871837362486,False
TOVZOW,4,SP,Td,0.5938269186298779,31.87685503597342,SP,0.5938269186298779,Td,31.28302811734354,False
TOVZUC,4,SP,Td,0.7523772916602783,33.51496313588215,SP,0.7523772916602783,Td,32.76258584422187,False
TOWXUA,4,SP,Td,32.22195362442449,4.156785601004408,Td,4.156785601004408,SP,28.065168023420085,False
TOWYAI,4,SP,Td,1.50401242355351,34.319661168886874,SP,1.50401242355351,Td,32.81564874533336,False
TOWYEM,4,SP,Td,1.5018621514584798,34.33417052082243,SP,1.5018621514584798,Td,32.83230836936395,False
TOWYIQ,4,SP,Td,1.5106042988094517,34.340300643497066,SP,1.5106042988094517,Td,32.82969634468761,False
TOXBIR,4,SP,Td,0.1043629257133953,33.06460544904921,SP,0.1043629257133953,Td,32.960242523335815,False
TOXDUI,4,SP,Td,6.941128678533689,28.94864737958139,SP,6.941128678533689,Td,22.0075187010477,False
TOXFAP,4,SP,Td,29.276065060724378,5.149697051212892,Td,5.149697051212892,SP,24.126368009511488,False
TOXFAQ,4,SP,Td,7.108178917762209,30.205106106934345,SP,7.108178917762209,Td,23.09692718917213,False
TOXJAU,4,SP,Td,0.9866818108924428,33.43703697120769,SP,0.9866818108924428,Td,32.45035516031525,False
TOXLUP,4,SP,Td,30.854768840011324,5.2394574916049885,Td,5.2394574916049885,SP,25.615311348406337,False
TOXQUS,4,SP,Td,0.2659490893553768,33.21514168173042,SP,0.2659490893553768,Td,32.94919259237505,False
TOXRON,4,SP,Td,0.7060498481267399,33.80269755314785,SP,0.7060498481267399,Td,33.09664770502111,False
TOXYAG,4,SP,Td,0.6112696359243366,31.939917288309644,SP,0.6112696359243366,Td,31.328647652385307,False
TOXYIO,4,SP,Td,0.4393037769337332,29.944533095830185,SP,0.4393037769337332,Td,29.50522931889645,False
TOZTIL,4,SP,Td,1.339054904818487,29.727000259890843,SP,1.339054904818487,Td,28.38794535507236,False
TOZWOW,4,SP,Td,0.3059620202399498,29.512435531484787,SP,0.3059620202399498,Td,29.20647351124484,False
TOZXIR,4,SP,Td,0.2593417267621545,30.967626580253484,SP,0.2593417267621545,Td,30.708284853491328,False
TPCBPV,4,SP,Td,8.3237646994941,31.509818884846467,SP,8.3237646994941,Td,23.18605418535237,False
TPFYPT,4,SP,Td,9.523763744779949,33.89291482941009,SP,9.523763744779949,Td,24.36915108463014,False
TPSFPT,4,SP,Td,6.706133113123085,32.02726207067628,SP,6.706133113123085,Td,25.3211289575532,False
TPTMPT,4,SP,Td,1.2245378031061145,27.298410168024063,SP,1.2245378031061145,Td,26.073872364917957,False
TTRPNI,4,SP,Td,0.0156992240534664,33.34375709870482,SP,0.0156992240534664,Td,33.32805787465136,False
TUBCUO,4,SP,Td,0.294700250019518,32.755854821613006,SP,0.294700250019518,Td,32.46115457159349,False
TUBTER,4,SP,Td,0.4481614135333845,28.93375099575566,SP,0.4481614135333845,Td,28.485589582222275,False
TUCDEA,4,SP,Td,0.142618375207847,32.035436478400555,SP,0.142618375207847,Td,31.89281810319271,False
TUCGEE,4,SP,Td,1.2494443253554015,28.01472838105679,SP,1.2494443253554015,Td,26.76528405570139,False
TUCQAJ,4,SP,Td,0.0189047313536525,33.31785734998232,SP,0.0189047313536525,Td,33.29895261862867,False
TUCSOZ,4,SP,Td,0.3973292145645792,32.233098014832734,SP,0.3973292145645792,Td,31.83576880026816,False
TUCVAR,4,SP,Td,32.01056205126149,0.373436120127662,Td,0.373436120127662,SP,31.637125931133827,False
TUCVIY,4,SP,Td,1.4681275862303516,27.708308311817756,SP,1.4681275862303516,Td,26.2401807255874,False
TUCWIZ,4,SP,Td,2.359236572164204,23.103651971653715,SP,2.359236572164204,Td,20.74441539948951,False
TUCYOI,4,SP,Td,32.65207221616024,0.9799538384931968,Td,0.9799538384931968,SP,31.672118377667047,False
TUDGUU,4,SP,Td,29.81988033909433,1.044351204510395,Td,1.044351204510395,SP,28.77552913458393,False
TUDLUA,4,SP,Td,0.4258578995212475,29.964897008691796,SP,0.4258578995212475,Td,29.539039109170545,False
TUDNIR,4,SP,Td,15.05244798054177,15.251862400228749,SP,15.05244798054177,Td,0.1994144196869793,True
TUDROB,4,SP,Td,0.7490211193558324,33.832512237109135,SP,0.7490211193558324,Td,33.083491117753304,False
TUDRUG,4,SP,Td,1.6224284400420634,23.353636224919672,SP,1.6224284400420634,Td,21.731207784877608,False
TUDRUH,4,SP,Td,1.0317732361733083,31.72553913462697,SP,1.0317732361733083,Td,30.693765898453663,False
TUDSAN,4,SP,Td,1.0343445968247058,33.98513970535655,SP,1.0343445968247058,Td,32.95079510853185,False
TUDSAO,4,SP,Td,0.9375907157203556,33.068981210542816,SP,0.9375907157203556,Td,32.13139049482246,False
TUDSES,4,SP,Td,0.6872587499145925,30.30637306019573,SP,0.6872587499145925,Td,29.61911431028114,False
TUDSIV,4,SP,Td,0.3987467849697754,31.57011194225028,SP,0.3987467849697754,Td,31.17136515728051,False
TUDSUI,4,SP,Td,1.3220415190608183,28.512718751804147,SP,1.3220415190608183,Td,27.19067723274333,False
TUDTET,4,SP,Td,1.2170404037071805,28.353976312463374,SP,1.2170404037071805,Td,27.136935908756197,False
TUDTIW,4,SP,Td,33.295360699936246,47.23633393083133,SP,33.295360699936246,Td,13.940973230895082,False
TUDTOD,4,SP,Td,0.7265872882524991,30.237954837578695,SP,0.7265872882524991,Td,29.5113675493262,False
TUDZAW,4,SP,Td,26.739863803002127,2.0532105131142733,Td,2.0532105131142733,SP,24.68665328988785,False
TUDZEX,4,SP,Td,1.8837082065597777,26.184384528948883,SP,1.8837082065597777,Td,24.300676322389105,False
TUDZOJ,4,SP,Td,1.15443217990669,28.19952305636868,SP,1.15443217990669,Td,27.045090876461988,False
TUFBEE,4,SP,Td,22.000063928204828,6.31581417615163,Td,6.31581417615163,SP,15.684249752053198,False
TUFPIT,4,SP,Td,1.5417142425222015e-05,33.331650133418414,SP,1.5417142425222015e-05,Td,33.331634716275985,False
TUFPOZ,4,SP,Td,3.360677287414806e-06,33.333215742940084,SP,3.360677287414806e-06,Td,33.33321238226279,False
TUFPUF,4,SP,Td,8.96992374872547e-06,33.33319137697188,SP,8.96992374872547e-06,Td,33.333182407048135,False
TUFQAM,4,SP,Td,2.2353391827667494e-05,33.333231693074254,SP,2.2353391827667494e-05,Td,33.333209339682426,False
TUFQEQ,4,SP,Td,0.0055281160244054,33.33546599921789,SP,0.0055281160244054,Td,33.32993788319348,False
TUFQIU,4,SP,Td,3.2671152435184667e-06,33.33108008239832,SP,3.2671152435184667e-06,Td,33.33107681528307,False
TUFSUI,4,SP,Td,0.2073396298321862,32.34888552673164,SP,0.2073396298321862,Td,32.14154589689946,False
TUGNUF,4,SP,Td,0.6148716273546585,28.837728547326584,SP,0.6148716273546585,Td,28.222856919971925,False
TUGPAN,4,SP,Td,2.455189950744032,24.01443660319521,SP,2.455189950744032,Td,21.55924665245118,False
TUGQIW,4,SP,Td,32.589491124159494,4.340338932052077,Td,4.340338932052077,SP,28.249152192107417,False
TUHJIP,4,SP,Td,0.1546077961171278,31.38603062116437,SP,0.1546077961171278,Td,31.23142282504724,False
TUHJOV,4,SP,Td,0.0637067197902933,33.04891390801836,SP,0.0637067197902933,Td,32.98520718822807,False
TUHJUB,4,SP,Td,0.1407564501284548,31.21533956849818,SP,0.1407564501284548,Td,31.074583118369727,False
TUHXAY,4,SP,Td,28.57422622447497,4.127351922674436,Td,4.127351922674436,SP,24.44687430180053,False
TUHZAA,4,SP,Td,1.144294101603925,30.794805236172536,SP,1.144294101603925,Td,29.65051113456861,False
TUJLOA,4,SP,Td,1.3851687858761328,26.106897345015053,SP,1.3851687858761328,Td,24.72172855913892,False
TUJQEU,4,SP,Td,0.1958351429011048,33.46338283209799,SP,0.1958351429011048,Td,33.26754768919689,False
TUJQIY,4,SP,Td,29.09297775353983,0.7724855306426273,Td,0.7724855306426273,SP,28.320492222897204,False
TUJQOE,4,SP,Td,30.9285262143954,4.605784192132221,Td,4.605784192132221,SP,26.322742022263174,False
TUJXIG,4,SP,Td,31.8188179583143,3.0497665975738504,Td,3.0497665975738504,SP,28.76905136074045,False
TUKDEJ,4,SP,Td,30.492032713459533,0.4898902410087033,Td,0.4898902410087033,SP,30.00214247245083,False
TUKFAJ,4,SP,Td,0.929927130768074,31.79877005170593,SP,0.929927130768074,Td,30.86884292093785,False
TUKFEN,4,SP,Td,0.7596104369760768,27.670908362825333,SP,0.7596104369760768,Td,26.911297925849254,False
TUKFIR,4,SP,Td,1.0541219832884254,33.319661100660845,SP,1.0541219832884254,Td,32.26553911737242,False
TUKFUD,4,SP,Td,0.9352641893928236,31.81109292601023,SP,0.9352641893928236,Td,30.875828736617404,False
TUKGAK,4,SP,Td,1.1830778290015007,31.449262537430528,SP,1.1830778290015007,Td,30.266184708429027,False
TUKGUE,4,SP,Td,0.3468731886932863,32.573644827414775,SP,0.3468731886932863,Td,32.22677163872149,False
TUKHAL,4,SP,Td,0.9595309566933752,32.40382254565561,SP,0.9595309566933752,Td,31.444291588962237,False
TUKPEV,4,SP,Td,0.872039715903762,33.8906636917437,SP,0.872039715903762,Td,33.01862397583994,False
TUKSAV,4,SP,Td,0.5980499401432409,32.516702353045645,SP,0.5980499401432409,Td,31.918652412902404,False
