complex_id,n_decoys,rule_pass_rate,bl_rule_validator_top1,bl_rule_validator_mrr
tmqm_160,22,1.0,0,0.1111
tmqm_161,29,1.0,0,0.0455
tmqm_162,26,1.0,0,0.0588
tmqm_163,12,1.0,0,0.0769
tmqm_164,24,1.0,0,0.0526
tmqm_165,27,1.0,0,0.5
tmqm_166,27,1.0,0,0.05
tmqm_167,26,1.0,0,0.0833
tmqm_168,27,1.0,0,0.0667
tmqm_169,16,1.0,0,0.0588
tmqm_170,26,1.0,0,0.04
tmqm_171,26,1.0,0,0.0667
tmqm_172,26,1.0,0,0.0667
tmqm_173,18,1.0,0,0.125
tmqm_174,26,1.0,0,0.0385
tmqm_175,25,1.0,0,0.125
tmqm_176,18,1.0,0,0.0909
tmqm_177,24,1.0,0,0.0714
tmqm_178,27,1.0,0,0.04
tmqm_179,26,1.0,0,0.0435
tmqm_180,26,1.0,0,0.0588
tmqm_181,26,1.0,0,0.0909
tmqm_182,26,1.0,0,0.0385
tmqm_183,26,1.0,0,0.0769
tmqm_184,29,1.0,0,0.0833
tmqm_185,16,1.0,0,0.0588
tmqm_186,26,1.0,0,0.0435
tmqm_187,22,1.0,0,0.2
tmqm_188,22,1.0,0,0.0556
tmqm_189,29,1.0,0,0.0417
tmqm_190,27,1.0,0,0.0455
tmqm_191,26,1.0,0,0.1429
tmqm_192,26,1.0,0,0.05
tmqm_193,26,1.0,0,0.0526
tmqm_194,26,1.0,1,1.0
tmqm_195,21,1.0,0,0.0476
tmqm_196,14,1.0,0,0.0667
tmqm_197,26,1.0,0,0.0714
tmqm_198,25,1.0,0,0.05
tmqm_199,22,1.0,0,0.125
