family,size,metals,cns,L0_match,L1_match,L2_match,L3_match,n_boundary,n_unique_L0,n_unique_L1,n_unique_L2,n_unique_L3
BIRFUF,4,Zn,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
BIXSOU,4,Co,6,0.0,0.0,1.0,1.0,2,4,4,1,1
BOCZEB,4,Fe,6,0.0,0.5,1.0,1.0,0,4,2,1,1
BOWPUY,4,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BUCDAG,4,Cu,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
CANBID,4,Ni,6,0.1667,0.5,1.0,1.0,0,3,2,1,1
CANVOD,4,Cu,4,0.0,0.5,1.0,1.0,1,4,2,1,1
CEHCAT,4,Zn,4;6,0.3333,0.3333,0.3333,0.3333,0,2,2,2,2
CEHFUQ,4,Cu,3,0.1667,1.0,1.0,1.0,0,3,1,1,1
CEMSAP,4,W,6,0.0,0.1667,1.0,1.0,0,4,3,1,1
CIDVOA,4,Cr,6,0.0,0.0,0.5,0.5,0,4,4,2,2
CIDWER,4,Os,2,0.5,1.0,1.0,1.0,0,2,1,1,1
CIWGEX,4,Fe,6,0.0,0.1667,0.5,1.0,1,4,3,2,1
CIWJEA,4,Fe,6,0.0,0.1667,0.5,1.0,1,4,3,2,1
CLPOZN,4,Zn,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
CLTPNI,4,Ni,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
COBLOX,4,Ni,4,0.1667,0.5,0.5,1.0,0,3,2,2,1
CODAAC,4,Co,6,0.0,0.5,0.5,0.5,0,4,2,2,2
COTUCL,4,Co,4,0.0,0.5,0.5,0.5,0,4,2,2,2
COWVUJ,4,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
CUHOPT,4,Cu,4;6,0.3333,0.3333,0.3333,0.3333,0,2,2,2,2
DECMAD,4,Fe,6,0.0,0.1667,1.0,1.0,0,4,3,1,1
DELPOA,4,Co,4,0.0,1.0,1.0,1.0,0,4,1,1,1
DELWEX,4,Cu,4,0.0,0.5,1.0,1.0,0,4,2,1,1
DERNOD,4,Cu,4,0.5,1.0,1.0,1.0,0,2,1,1,1
DETCPD,4,Pd,4,0.1667,0.1667,0.1667,0.1667,1,3,3,3,3
DEVTEE,4,Zn,6,0.1667,0.5,0.5,0.5,0,3,2,2,2
ABUVEC,3,Co,6,0.0,1.0,1.0,1.0,0,3,1,1,1
ACACCR,3,Cr,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
AEAMNI,3,Ni,6,0.0,0.0,1.0,1.0,0,3,3,1,1
AEPYCC,3,Cu,4,0.0,1.0,1.0,1.0,0,3,1,1,1
AFAQAZ,3,Cd,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
AFOYUS,3,Fe,6,0.0,0.0,0.3333,0.3333,0,3,3,2,2
AFULOC,3,Co,6,0.0,0.0,1.0,1.0,1,3,3,1,1
AFULUI,3,Co,6,0.0,0.3333,0.0,0.0,0,3,2,3,3
AGLCMN,3,Mn,6,0.0,0.0,0.3333,1.0,2,3,3,2,1
AGOYUR,3,Cu,4,0.0,1.0,1.0,1.0,0,3,1,1,1
AHADEV,3,Co,6,0.0,0.0,1.0,1.0,1,3,3,1,1
AHUGOA,3,Fe,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
AHUWIJ,3,Cu,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
AIBXNI,3,Ni,6,0.0,0.0,1.0,1.0,1,3,3,1,1
AJISAN,3,Cu,4,0.0,0.3333,0.3333,1.0,0,3,2,2,1
AJOBAC,3,Fe,6,0.0,0.0,0.0,0.0,1,3,3,3,3
ALAPEI,3,Cu,5,0.0,0.0,1.0,1.0,2,3,3,1,1
ALEUCU,3,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
AMOGEO,3,Cu,5,0.0,0.3333,1.0,1.0,1,3,2,1,1
AMORCU,3,Cu,4,0.0,0.3333,1.0,1.0,0,3,2,1,1
AMPCUC,3,Cu,4,0.0,0.0,0.3333,1.0,0,3,3,2,1
ANPNCU,3,Cu,5;6,0.3333,0.3333,0.3333,0.3333,0,2,2,2,2
APIBEJ,3,Ni,4,0.0,1.0,1.0,1.0,0,3,1,1,1
APICCO,3,Co,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
APUQOR,3,Co,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
AQOYEM,3,Pt,4,0.0,0.3333,0.3333,0.3333,0,3,2,2,2
AQUROT,3,Ru,6,0.0,0.0,0.3333,1.0,1,3,3,2,1
ASALPD,3,Pd,4,0.0,1.0,1.0,1.0,0,3,1,1,1
ATADEE,3,Hg,4,0.3333,1.0,1.0,1.0,3,2,1,1,1
ATISIF,3,Cu,6,0.0,0.3333,1.0,1.0,2,3,2,1,1
ATOCIV,3,Cu,5;6,0.3333,0.3333,0.3333,0.3333,0,2,2,2,2
AYADIN,3,Cd,6,0.0,0.3333,0.3333,0.3333,0,3,2,2,2
AYANET,3,Pt,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
BAGROT,3,Mn,6,0.0,0.0,1.0,1.0,1,3,3,1,1
BAVYOM,3,Co,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
BELLEJ,3,Co,6,0.0,1.0,1.0,1.0,0,3,1,1,1
BENJIN,3,Hg,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
BESNOC,3,Cu,4;6,0.3333,0.3333,0.3333,0.3333,0,2,2,2,2
BIHGEE,3,Co,4,0.0,1.0,1.0,1.0,0,3,1,1,1
BILBOQ,3,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BISNUM,3,Zn,4,0.0,1.0,1.0,1.0,0,3,1,1,1
BITSAY,3,Ti,5,0.0,0.0,0.3333,1.0,2,3,3,2,1
BIXSIO,3,Co,6,0.0,0.0,0.3333,1.0,1,3,3,2,1
BOCYOK,3,Fe,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
BODGAE,3,Fe,6,0.0,0.0,0.3333,0.3333,1,3,3,2,2
BOWPOS,3,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BPHMNC,3,Mn,5,0.3333,1.0,1.0,1.0,0,2,1,1,1
BPYMNA,3,Mn,6,0.0,0.0,1.0,1.0,1,3,3,1,1
BUCDEK,3,Cu,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
BUHVUY,3,Zn,4,0.0,0.3333,1.0,1.0,0,3,2,1,1
BULZAJ,3,Hg,4,0.0,0.3333,1.0,1.0,0,3,2,1,1
BUPLAA,3,Ni,4,0.0,0.3333,0.3333,1.0,0,3,2,2,1
BUXFEF,3,Ta,6,0.3333,0.3333,1.0,1.0,1,2,2,1,1
BUYTUK,3,Cd,6,0.3333,1.0,0.3333,0.3333,0,2,1,2,2
BUZNUH,3,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CADENZ,3,Zn,4,0.0,0.0,0.0,0.0,0,3,3,3,3
CAMVOB,3,Cr,6,0.0,1.0,1.0,1.0,0,3,1,1,1
CAQZUQ,3,Ru,6,0.0,0.0,0.3333,1.0,2,3,3,2,1
CAYQEZ,3,Zn,6,0.0,0.0,1.0,1.0,1,3,3,1,1
CCENPT,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CDHIST,3,Cd,6,0.0,0.3333,1.0,1.0,1,3,2,1,1
CEDZAO,3,Co,6,0.0,0.3333,1.0,1.0,2,3,2,1,1
CEFFOI,3,Zn,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CEXBEM,3,Ni,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
CEZKEX,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CHSALC,3,Cu,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
CIJNUF,3,Hg,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CIKXIE,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CIRVOO,3,Zn,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CITDAK,3,Zn,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
CIWKUO,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CLPLCU,3,Cu,5,0.0,0.3333,1.0,1.0,0,3,2,1,1
COAQAC,3,Co,6,0.3333,1.0,1.0,1.0,0,2,1,1,1
COIMAC,3,Co,4,0.0,0.0,1.0,1.0,2,3,3,1,1
COSXOX,3,Cu,4,0.0,0.3333,0.3333,0.3333,0,3,2,2,2
COYBOI,3,Pd,4,0.0,0.3333,0.3333,1.0,0,3,2,2,1
CPICPT,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CTPOCU,3,Cu,4,0.0,0.3333,1.0,1.0,0,3,2,1,1
CUBBUA,3,Pt,4,0.0,0.3333,1.0,1.0,0,3,2,1,1
CUBEAC,3,Cu,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CUDCEN,3,Fe,6,0.0,0.3333,0.3333,1.0,1,3,2,2,1
CULZUE,3,Ni,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
CUMMIH,3,Mo,6,0.0,0.3333,0.3333,1.0,1,3,2,2,1
CURBIC,3,Fe,4,0.0,1.0,1.0,1.0,0,3,1,1,1
CUZCEF,3,Tc,5,0.0,1.0,1.0,1.0,3,3,1,1,1
DADFAR,3,Fe,6,0.0,0.0,1.0,1.0,1,3,3,1,1
DANTUH,3,Re,6,0.0,1.0,1.0,1.0,0,3,1,1,1
DASFUY,3,Zn,4,0.0,0.3333,0.3333,0.3333,3,3,2,2,2
DECVEM,3,W,3,0.3333,1.0,1.0,1.0,0,2,1,1,1
DECXAL,3,Ni,6,0.0,1.0,1.0,1.0,0,3,1,1,1
DEDFEY,3,Zr,6,0.0,0.3333,1.0,1.0,1,3,2,1,1
DEDHAY,3,Pt,4,0.0,1.0,1.0,1.0,0,3,1,1,1
DEENCU,3,Cu,4,0.0,0.0,0.3333,0.3333,0,3,3,2,2
DEFJIH,3,Cu,6,0.0,0.3333,1.0,1.0,0,3,2,1,1
DEKHEG,3,Fe,6,0.3333,1.0,1.0,1.0,0,2,1,1,1
DEYDUI,3,Co,4,0.0,1.0,1.0,1.0,0,3,1,1,1
DEYQUU,3,Cd,6,0.0,0.0,1.0,1.0,1,3,3,1,1
DEYVUZ,3,Pd,4,0.0,1.0,1.0,1.0,0,3,1,1,1
ABACAL,2,Cu,3,1.0,1.0,1.0,1.0,0,1,1,1,1
ABAXEH,2,Ni,4,0.0,0.0,0.0,1.0,0,2,2,2,1
ABEFUI,2,Zr,6,1.0,1.0,1.0,1.0,0,1,1,1,1
ABEYIS,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ABHYZV,2,V,6,1.0,1.0,1.0,1.0,0,1,1,1,1
ABITEM,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
ABUXOK,2,Os,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ACABRH,2,Rh,4,0.0,0.0,0.0,0.0,0,2,2,2,2
ACACPD,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ACACRU,2,Ru,6,0.0,0.0,0.0,0.0,2,2,2,2,2
ACAHUJ,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
ACAKOF,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ACATUT,2,Pt,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ACEHOI,2,Zn,4,0.0,0.0,1.0,1.0,0,2,2,1,1
ACEYOW,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ACIYET,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
ACLBNI,2,Ni,6,0.0,0.0,1.0,1.0,1,2,2,1,1
ACNCRE,2,Re,6,0.0,0.0,0.0,1.0,1,2,2,2,1
ACNIET,2,Ni,6,0.0,0.0,0.0,0.0,0,2,2,2,2
ACOCIF,2,Zn,5,0.0,1.0,1.0,1.0,0,2,1,1,1
ACOREQ,2,Fe,6,0.0,0.0,0.0,1.0,1,2,2,2,1
ACOROA,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
ACOSAN,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
ACOTIV,2,Fe,5,0.0,0.0,1.0,1.0,1,2,2,1,1
ACPHCU,2,Cu,4,0.0,0.0,1.0,1.0,0,2,2,1,1
ACRHCO,2,Ir,4,0.0,0.0,0.0,1.0,0,2,2,2,1
ACUBOS,2,Cu,5,0.0,0.0,1.0,1.0,0,2,2,1,1
ACUGEN,2,Hg,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ACUZII,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ADAQUU,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
ADAREF,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
ADASUX,2,Ru,5,0.0,1.0,1.0,1.0,2,2,1,1,1
ADUREX,2,Zn,4,0.0,0.0,1.0,1.0,0,2,2,1,1
ADUSEZ,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AFANEB,2,Fe,6,0.0,0.0,0.0,1.0,2,2,2,2,1
AFEDEW,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AFELED,2,Cu,5,0.0,0.0,1.0,1.0,1,2,2,1,1
AFOMAN,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
AFULAO,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AFULIW,2,Co,6,0.0,0.0,1.0,1.0,1,2,2,1,1
AFUMOH,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AFUMUN,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AGACAO,2,Mo,6,0.0,0.0,0.0,1.0,1,2,2,2,1
AGAMAX,2,Zn,6,0.0,0.0,0.0,1.0,1,2,2,2,1
AGAWIO,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AGEMUY,2,Cu,4,0.0,0.0,1.0,1.0,0,2,2,1,1
AGEWUF,2,Hg,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AGEZOB,2,Cd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AGIMHN,2,Ag,2,1.0,1.0,1.0,1.0,0,1,1,1,1
AGIQUF,2,Ru,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AGLCUD,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AGOSAT,2,Pt,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AGOTOH,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AGOZOL,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AGOZUR,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AGUBAF,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AGUZOR,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AHABAM,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AHADUL,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AHAFIB,2,Co,6,0.0,0.0,0.0,0.0,0,2,2,2,2
AHDNIC,2,Ni,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AHEHIF,2,Ru,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AHITUI,2,Zn,5,0.0,0.0,1.0,1.0,0,2,2,1,1
AHMALM,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AHOWIF,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AJEGAY,2,Ni,4,0.0,0.0,0.0,0.0,0,2,2,2,2
AJINIQ,2,Cu,4,0.0,0.0,0.0,1.0,0,2,2,2,1
AJUJIY,2,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AJUJUK,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AJUZOU,2,Re,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AKEMUY,2,Fe,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AKENAF,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
AKEQIQ,2,Co,6,0.0,0.0,0.0,0.0,0,2,2,2,2
AKETAM,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AKETIU,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AKOBAD,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AKUNAY,2,Ni,4,0.0,0.0,1.0,1.0,0,2,2,1,1
AKUVUA,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AKUWEL,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALAFOK,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ALESOB,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALIQOD,2,Mn,6,0.0,0.0,1.0,1.0,1,2,2,1,1
ALIRAP,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALOPAS,2,Zn,5,0.0,0.0,1.0,1.0,0,2,2,1,1
ALOTED,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALOTIH,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALSACU,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ALUNUR,2,Ag,5,0.0,0.0,1.0,1.0,0,2,2,1,1
ALUSEI,2,Ti,6,0.0,0.0,1.0,1.0,1,2,2,1,1
AMANOS,2,Ag,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AMIQOC,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ANREPS,2,Re,6,0.0,0.0,0.0,1.0,2,2,2,2,1
APAICU,2,Cu,5,0.0,1.0,1.0,1.0,2,2,1,1,1
APUTOW,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AQACNI,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AQAHUV,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
ARADOO,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ARAPAK,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AREZUU,2,Fe,4,0.0,0.0,0.0,1.0,0,2,2,2,1
ARIBAG,2,Fe,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AROCAL,2,Zn,6,0.0,0.0,0.0,1.0,1,2,2,2,1
AROSUV,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
ASALNI,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ASAMIR,2,Cu,5,0.0,0.0,1.0,1.0,1,2,2,1,1
ASAWOH,2,Co,6,0.0,0.0,0.0,0.0,1,2,2,2,2
ASERAU,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ASOCOC,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
ASOVOT,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ATAFEG,2,Zn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ATAVEY,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
ATEVAW,2,Cu,4,0.0,0.0,0.0,1.0,0,2,2,2,1
ATIJIW,2,Ru,5,0.0,1.0,1.0,1.0,2,2,1,1,1
ATILUM,2,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
ATODIW,2,Ag,3,0.0,1.0,1.0,1.0,0,2,1,1,1
ATORIM,2,V,6,0.0,0.0,1.0,1.0,0,2,2,1,1
ATORIN,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
ATOZUG,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
