family,size,metals,cns,L0_match,L1_match,L2_match,L3_match,n_boundary,n_unique_L0,n_unique_L1,n_unique_L2,n_unique_L3
AXEDAK,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AXILUO,2,Zn,6,0.0,0.0,0.0,1.0,1,2,2,2,1
AXIPOM,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
AXOMAD,2,Ir,6,0.0,0.0,1.0,1.0,1,2,2,1,1
AXUSUI,2,Cu,4,0.0,0.0,0.0,1.0,1,2,2,2,1
AYADEJ,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AYAMEU,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AYAMUI,2,Pt,4,0.0,0.0,0.0,1.0,0,2,2,2,1
AYASAX,2,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
AYEPIG,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AYIJAW,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AYIQOP,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AYISEH,2,Zn,5,0.0,1.0,1.0,1.0,0,2,1,1,1
AYODAV,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AYOLOQ,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
AZCDCO,2,Co,6,0.0,1.0,0.0,0.0,0,2,1,2,2
AZELOH,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AZOTUG,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AZOXOC,2,Re,6,0.0,0.0,0.0,1.0,1,2,2,2,1
BABMIE,2,Nb,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BACGEV,2,Nb,5,1.0,1.0,1.0,1.0,0,1,1,1,1
BACHIX,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BACJAR,2,Cu,4,0.0,0.0,1.0,1.0,1,2,2,1,1
BADXAH,2,Ru,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BAGDUI,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BAGSUX,2,Co,6,0.0,1.0,0.0,0.0,0,2,1,2,2
BAHQIM,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BAHQOS,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BAJXAM,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BAJZAO,2,Cu,4,0.0,0.0,0.0,1.0,0,2,2,2,1
BAKGUR,2,Fe,6,0.0,0.0,0.0,1.0,0,2,2,2,1
BAMNIP,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BAMPEL,2,Co,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BAMVUJ,2,Au,3,1.0,1.0,1.0,1.0,0,1,1,1,1
BAPPUD,2,Cu,4;5,0.0,0.0,0.0,1.0,1,2,2,2,1
BAQDEC,2,Ni,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BAQNOW,2,Re,6,0.0,0.0,1.0,1.0,2,2,2,1,1
BARHUX,2,Ni,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BASGUX,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BASHEI,2,Cu,5,0.0,0.0,1.0,1.0,1,2,2,1,1
BASHIM,2,Cu,5,0.0,0.0,0.0,1.0,1,2,2,2,1
BASRUL,2,Zn,5,0.0,1.0,1.0,1.0,0,2,1,1,1
BAWNAO,2,Cu,3,0.0,0.0,0.0,0.0,0,2,2,2,2
BAXQIC,2,Cu,6,0.0,0.0,0.0,1.0,0,2,2,2,1
BAYZIK,2,Cu,4;6,1.0,1.0,1.0,1.0,0,1,1,1,1
BAZKUI,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BCDPDQ,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BEBWOW,2,V,5,0.0,0.0,0.0,1.0,2,2,2,2,1
BEGBIY,2,Co,3,0.0,0.0,0.0,0.0,0,2,2,2,2
BEGMUV,2,Mo,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BEGNAF,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BEHHUT,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BEHKOQ,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BEHNIM,2,Zn,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BEHNUZ,2,V,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BEHXIV,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BEJLEH,2,Hg,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BEJQUG,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BEKKEH,2,Cr,6,1.0,1.0,1.0,1.0,2,1,1,1,1
BEKNEK,2,Mo,6,0.0,0.0,0.0,1.0,1,2,2,2,1
BELGAB,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BELJEH,2,Ir,2,0.0,1.0,1.0,1.0,0,2,1,1,1
BELPIV,2,Fe,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BELVIB,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BELVOH,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BENCUT,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BENDOO,2,Cd,5;6,0.0,0.0,0.0,0.0,0,2,2,2,2
BENGAE,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BENJEJ,2,Hg,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BENYIC,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BEPROE,2,Rh,4,0.0,0.0,0.0,1.0,0,2,2,2,1
BEPSAQ,2,Zn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BEQBAA,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BEQLAK,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BESTUP,2,Ni,4,0.0,0.0,0.0,0.0,0,2,2,2,2
BETNIX,2,Mn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BEVCIQ,2,Hg,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BEVJAR,2,Ni,4,0.0,1.0,1.0,1.0,2,2,1,1,1
BEVLUK,2,Cu,3,0.0,1.0,1.0,1.0,0,2,1,1,1
BEVPAU,2,Co,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BEWGOC,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BEWGUI,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BEXXOT,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BEYDAO,2,Ni,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BEYMUP,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BEZDIV,2,Ni,6,0.0,0.0,0.0,1.0,0,2,2,2,1
BEZRED,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BHTPCU,2,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BIBYOB,2,Hg,2,0.0,1.0,1.0,1.0,0,2,1,1,1
BICLIJ,2,Mn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BIDHOP,2,Ir,3,0.0,0.0,0.0,1.0,0,2,2,2,1
BIGNOU,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BIMDOQ,2,Mo,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BINRUL,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BINXAB,2,Re,6,0.0,1.0,1.0,1.0,2,2,1,1,1
BINZUW,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BIPKAN,2,Cd,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BIPNAP,2,Cu,4,0.0,0.0,0.0,1.0,1,2,2,2,1
BIRBEJ,2,Mo,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BISWUV,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
BITCUG,2,Ni,4,0.0,0.0,0.0,1.0,0,2,2,2,1
BITFET,2,Fe,3,1.0,1.0,1.0,1.0,0,1,1,1,1
BIVWUY,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BIZBIW,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BNZSCU,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOCPEP,2,Pd,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BODRER,2,Ti,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BOFNOC,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BOFVIB,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOJLUI,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BOJMAP,2,Fe,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BOJMET,2,Fe,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BOJWUT,2,Cd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOKPOI,2,V,5,0.0,0.0,0.0,1.0,0,2,2,2,1
BOKPUO,2,V,5,0.0,0.0,1.0,1.0,1,2,2,1,1
BOLCIO,2,Mo,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BOLMOG,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOLNEV,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOMHIW,2,Cd,6,1.0,1.0,1.0,1.0,2,1,1,1,1
BOMXEG,2,Cu,4,0.0,0.0,0.0,1.0,1,2,2,2,1
BONGOB,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BONGUH,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BONWEG,2,Fe,5,0.0,1.0,1.0,1.0,0,2,1,1,1
BONWOR,2,Co,6,0.0,1.0,0.0,0.0,0,2,1,2,2
BONZAG,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOPLOH,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BORFET,2,Cr,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BOSJAX,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOSJIF,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BOVLED,2,Pt,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BOVNOQ,2,Zn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BOWVIU,2,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
BOWVOA,2,Zn,5,1.0,1.0,1.0,1.0,0,1,1,1,1
BOWWAN,2,Mo,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BOYPEM,2,Ir,6,0.0,0.0,0.0,1.0,0,2,2,2,1
BOYQAH,2,Cd,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BOZJEH,2,Ni,6,0.0,0.0,0.0,1.0,1,2,2,2,1
BPACUA,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BPNCUB,2,Zn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BPYCUA,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
BRURMN,2,Mn,5,1.0,1.0,1.0,1.0,2,1,1,1,1
BTSAPD,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUBBEH,2,Ni,4,0.0,0.0,0.0,1.0,0,2,2,2,1
BUBYEF,2,Fe,5,1.0,1.0,1.0,1.0,0,1,1,1,1
BUBYOP,2,Fe,5,0.0,0.0,1.0,1.0,0,2,2,1,1
BUDCAF,2,Zn,4,0.0,0.0,1.0,1.0,0,2,2,1,1
BUDHEN,2,Ni,5,1.0,1.0,1.0,1.0,2,1,1,1,1
BUFVUX,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BUFWEI,2,Mn,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BUGREC,2,La,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BUJDUF,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUJSOP,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUJWOS,2,Fe,4,0.0,0.0,0.0,1.0,0,2,2,2,1
BUJXOU,2,Cr,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUKKUQ,2,Os,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BULTAE,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUNKAW,2,Ta,5,1.0,1.0,1.0,1.0,0,1,1,1,1
BUNSAF,2,Fe,6,0.0,0.0,1.0,1.0,0,2,2,1,1
BUPMIL,2,Fe,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BURBUL,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BURCAS,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BURCEW,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BURCIA,2,Ni,4,0.0,0.0,0.0,0.0,0,2,2,2,2
BUTMAF,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
BUWWEV,2,Co,6,0.0,0.0,0.0,0.0,0,2,2,2,2
BUWXOK,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
BUXJEJ,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
BUXZUQ,2,Zn,6,0.0,1.0,1.0,1.0,2,2,1,1,1
BUYCAZ,2,Mo,6,0.0,0.0,1.0,1.0,1,2,2,1,1
BUYKIP,2,Rh,5,1.0,1.0,1.0,1.0,2,1,1,1,1
BUYVUO,2,Pt,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BUZNOB,2,Ag,2,1.0,1.0,1.0,1.0,0,1,1,1,1
BZQXPD,2,Pd,4,0.0,0.0,0.0,0.0,0,2,2,2,2
CABDEO,2,Zn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CABMUP,2,Cu,4,0.0,1.0,1.0,1.0,2,2,1,1,1
CABNIF,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CABNUQ,2,Cd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CABSII,2,Ni,6,0.0,0.0,0.0,1.0,0,2,2,2,1
CACJEV,2,Ta,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CAFNIG,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CAGHUO,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CAGSAE,2,V,6,0.0,0.0,0.0,1.0,1,2,2,2,1
CAJCEV,2,Os,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CAJZOC,2,Ru,5,1.0,1.0,1.0,1.0,0,1,1,1,1
CAJZUI,2,Os,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CAKDAV,2,Fe,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CAKMAC,2,V,5,0.0,0.0,0.0,0.0,2,2,2,2,2
CALMUA,2,Co,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CAMQAL,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CAMVER,2,Cr,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CAMVIV,2,Cr,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CANDIH,2,Ru,5,0.0,0.0,0.0,1.0,0,2,2,2,1
CANYAS,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CAPDOM,2,Ni,6,0.0,0.0,0.0,0.0,0,2,2,2,2
CAPRAP,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CAPWEY,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CAQLEP,2,Co,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CAQLIT,2,Co,3,0.0,1.0,1.0,1.0,0,2,1,1,1
CAQSAR,2,Pt,4,0.0,0.0,0.0,1.0,0,2,2,2,1
CARQUH,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CARWAT,2,Ni,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CASHEK,2,Ag,4;5,0.0,0.0,0.0,0.0,1,2,2,2,2
CASYAX,2,Re,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CATJIR,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CATKOX,2,Zn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CATMUF,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CAWKUI,2,V,5,0.0,0.0,1.0,1.0,0,2,2,1,1
CAWZUV,2,Rh,4,0.0,0.0,0.0,1.0,0,2,2,2,1
CAXSUQ,2,Re,6,0.0,0.0,1.0,1.0,1,2,2,1,1
CAXXUY,2,Ni,4,0.0,0.0,1.0,1.0,2,2,2,1,1
CAYBAG,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CCAPGC,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CCULUT,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CCXZPR,2,Rh,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CDMPRH,2,Rh,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CEBDIW,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CEBGIC,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CEBHIB,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CEBZIT,2,Mo,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CEFBEU,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CEFCEV,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CEFJUU,2,V,6,0.0,0.0,0.0,1.0,0,2,2,2,1
CEGMUW,2,Hg,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CEHGOM,2,Ir,6,0.0,0.0,0.0,1.0,1,2,2,2,1
CEHQAH,2,Pt,4,0.0,0.0,0.0,1.0,0,2,2,2,1
CEHZOI,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
CEKFED,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CEKZOL,2,Ni,6,1.0,1.0,1.0,1.0,2,1,1,1,1
CEMXIF,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CENFAC,2,Cu,3,0.0,1.0,1.0,1.0,0,2,1,1,1
CEPLOZ,2,Zn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CEPQAP,2,Ru,5,0.0,0.0,1.0,1.0,1,2,2,1,1
CEPQUJ,2,Cu,5,0.0,0.0,0.0,1.0,0,2,2,2,1
CEQSAU,2,Fe,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CERDEJ,2,Fe,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CERFIP,2,Zn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CESBIM,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CESGAI,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CETTAZ,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CEVLOF,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CEVWUY,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CEVXOT,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
CEWTUT,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CEYFIX,2,Zn,6,0.0,0.0,0.0,0.0,1,2,2,2,2
CEYYOV,2,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CEZHIY,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CEZMID,2,Co,6,0.0,0.0,0.0,0.0,0,2,2,2,2
CEZXAG,2,Ru,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CHXNRH,2,Rh,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CIBBEV,2,Ti,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CIBJED,2,Ti,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CICSIQ,2,Pd,4,0.0,0.0,0.0,1.0,0,2,2,2,1
CICXAP,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CIDTOA,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CIFXEU,2,V,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CIGWAR,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CIJCII,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CIJDAA,2,V,5;6,0.0,0.0,1.0,1.0,0,2,2,1,1
CIJDUU,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CIJPER,2,Hg,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CILDAE,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CIQPIB,2,Rh,6,0.0,0.0,0.0,1.0,0,2,2,2,1
CIRZUZ,2,Cu,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CIVHOG,2,Ru,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CIVRAC,2,Ni,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CIWDOF,2,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CIXQOP,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CIXZAM,2,Ni,4,0.0,1.0,1.0,1.0,2,2,1,1,1
CIYKOM,2,Ir,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CIZHIE,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CLAECU,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CLOXPD,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CLPYPT,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CLSTUZ,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CMPYZN,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CNETPC,2,Mo,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COBTUL,2,Cd,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COCKIP,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
COCXAT,2,Pd,4,0.0,0.0,0.0,0.0,1,2,2,2,2
CODRIX,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COETDS,2,Co,6,0.0,0.0,0.0,1.0,1,2,2,2,1
COEXAN,2,Co,6,0.0,0.0,0.0,0.0,0,2,2,2,2
COFWOJ,2,Ni,4;5,1.0,1.0,1.0,1.0,0,1,1,1,1
COFWUP,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COFZIK,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COFZOQ,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COGBAF,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COGHUD,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
COHDPH,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
COHJES,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
COJKIX,2,Ru,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COKDOV,2,Ni,4,0.0,0.0,0.0,0.0,0,2,2,2,2
COKTEB,2,Ru,2,0.0,1.0,1.0,1.0,0,2,1,1,1
COLCAI,2,Zn,6,0.0,0.0,0.0,0.0,0,2,2,2,2
COLNUM,2,V,6,0.0,1.0,1.0,1.0,0,2,1,1,1
COLTON,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COLWOQ,2,Ti,6,0.0,0.0,1.0,1.0,1,2,2,1,1
COLYIM,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COMGOC,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COMKUL,2,Fe,6,0.0,0.0,0.0,1.0,2,2,2,2,1
COMQUR,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
CONAEN,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
COPDEN,2,Cu,6,0.0,0.0,0.0,0.0,0,2,2,2,2
COPLIC,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COQVIP,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CORQAC,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
COSALP,2,Co,4,0.0,0.0,1.0,1.0,1,2,2,1,1
COSPEF,2,Fe,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COSXIR,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COTMOQ,2,Ni,6,0.0,0.0,0.0,0.0,0,2,2,2,2
COVDOG,2,Ru,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COVTEN,2,Zn,4;5,0.0,0.0,1.0,1.0,2,2,2,1,1
COWKOO,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
COXVER,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COXVOA,2,W,4,1.0,1.0,1.0,1.0,0,1,1,1,1
COYNOT,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
COZVES,2,Cu,4,0.0,0.0,0.0,0.0,0,2,2,2,2
CPMXNI,2,Ni,4,0.0,0.0,1.0,1.0,1,2,2,1,1
CTPYCO,2,Co,5,0.0,0.0,1.0,1.0,0,2,2,1,1
CTURCD,2,Cd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUAEPP,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUAPRO,2,Cu,4;6,0.0,0.0,0.0,0.0,0,2,2,2,2
CUCKOB,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUCNEW,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CUCPUO,2,Ag,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CUCWUS,2,V,6,0.0,0.0,0.0,1.0,2,2,2,2,1
CUDDEM,2,Co,5,0.0,0.0,1.0,1.0,1,2,2,1,1
CUFBUD,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUGLYM,2,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
CUGNEY,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUHQCB,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUJNOK,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUKFUL,2,Co,5,0.0,0.0,1.0,1.0,1,2,2,1,1
CUMQEK,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CUMSAI,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CUMTEJ,2,W,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CUNBAQ,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CUNKIF,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
CUNYUF,2,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUPROP,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUPYBR,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUPZAO,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUQBAR,2,Rh,4,0.0,1.0,1.0,1.0,0,2,1,1,1
