refcode,metal_count,metals,candidate_type,bridge_count,bridge_types,has_mu2,has_mu3,has_mu4_or_higher,has_metal_metal_contact,has_direct_MM_bond,local_CNs,local_shapes,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
GIFQIW,2,Fe+Fe,multi,0,,False,False,False,False,False,"4,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NEYREP,4,Ni+Ni+Ni+Ni,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
DAXYEG,3,Mo+Pt+Rh,multi,0,,False,False,False,False,False,"5,5,7",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUHJOM,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PIWGIM,9,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,1,1,3,3,3,4,4",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEHGOX,2,Zn+Zn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUVFUA,4,Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"2,2,2,2",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAKMOF,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"4,5,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PIQSUD,10,V+V+V+V+V+V+V+V+V+V,multi,0,,False,False,False,False,False,"6,6,6,6,6,6,6,6,6,6",",,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LEFJUE,96,Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_96,medium
