refcode,metal_count,metals,candidate_type,bridge_count,bridge_types,has_mu2,has_mu3,has_mu4_or_higher,has_metal_metal_contact,has_direct_MM_bond,local_CNs,local_shapes,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
SAYYOG,2,Re+Re,multi,0,,False,False,False,False,False,"5,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUNWAQ,3,Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WIZFER,2,Zn+Zn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LOXYOO,2,Cd+Cd,multi,0,,False,False,False,False,False,"1,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOCSUN,4,Ni+Ni+Ni+Ni,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PUKFEG,2,Co+Co,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KERKAV,6,Fe+Fe+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"6,6,1,1,6,6",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UTOVUV,4,Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"4,4,4,4",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
JITHOJ,3,W+W+W,multi,0,,False,False,False,False,False,"9,9,9",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YUBQUI01,5,Cu+Cu+Cu+Cu+Fe,multi,0,,False,False,False,False,False,"1,1,3,4,6",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TEHMAV,3,Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIXSOF,6,Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,4,4,4,4",",,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
QALTON,2,Ru+Ru,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ULOFUX,3,Cd+Cd+Cd,multi,0,,False,False,False,False,False,"1,2,7",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YACSIG,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"5,5,5,5,5,5,5,5",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IJIGEQ,13,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_13,medium
MACGAZ,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEHPAD,2,Ag+Ag,multi,0,,False,False,False,False,False,"2,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOTKUE,16,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_16,medium
UDAKUJ,3,Pd+Pd+Pd,multi,0,,False,False,False,False,False,"4,4,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CUDQAU,17,Ag+Ag+Ag+Ag+Ag+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_17,medium
HUJDEX,14,Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_14,medium
SARKOO,2,Pt+Pt,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZIYROQ,2,Cr+Ti,multi,0,,False,False,False,False,False,"6,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOCVIG,2,Cu+Ta,multi,0,,False,False,False,False,False,"2,1",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
URIPIV,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ICOYUY,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
PUSBEM08,3,Ni+Ni+Ni,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CENDEE01,2,Cu+Cu,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIDDIP02,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,2,2,6,6,6,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YIQPUK,2,Zn+Zn,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAPPUT,7,Ag+Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,1,1,1,4,4",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SADYAA,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ESOJEB,19,Cu+Cu+Cu+Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_19,medium
FENMIU,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOKXOD,3,Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PATDAQ,6,Cu+Cu+V+V+V+V,multi,0,,False,False,False,False,False,"1,5,1,1,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOWWOM,2,Ru+Ru,multi,0,,False,False,False,False,False,"3,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NELCUF,6,Rh+Rh+Rh+Rh+Rh+Rh,multi,0,,False,False,False,False,False,"4,4,4,4,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOJGIX,2,Ni+Ni,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MODMUN,21,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_21,medium
QITXEW02,3,Co+Co+Co,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAFFIP,2,Cd+Cd,multi,0,,False,False,False,False,False,"7,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MEHGIP,2,Co+Co,multi,0,,False,False,False,False,False,"0,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WAYRAT,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"4,4,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IDUYOW,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,2,2",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
POSSAR,3,Au+Au+Au,multi,0,,False,False,False,False,False,"2,2,2",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IVIGIE,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOYROC,4,Co+Co+Co+Fe,multi,0,,False,False,False,False,False,"4,4,4,5",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BOGDEK,6,Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"2,2,2,2,2,2",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IQEZAF,4,Co+Co+Co+Co,multi,0,,False,False,False,False,False,"7,7,7,7",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
AVONAD03,5,Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,1,2,4",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KAPBAF,3,Zn+Zn+Zn,multi,0,,False,False,False,False,False,"4,4,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TITMAO,27,Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_27,medium
MEYPUB,2,Fe+Rh,multi,0,,False,False,False,False,False,"6,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WEKXUG,3,Fe+Ru+Ru,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QEMKOJ,3,Hg+Hg+Hg,multi,0,,False,False,False,False,False,"2,2,2",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XUSVUF,2,Nb+Nb,multi,0,,False,False,False,False,False,"7,7",",",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
EFOYOR,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"3,3,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOXQUP,3,Ni+Ni+Ni,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZNCROC,2,Zn+Zn,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XOMDOU,6,Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,1,4,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IWUZAC,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,2,5,5,5,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JANMOB,2,Fe+Fe,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,site_detection,no_sites_found,medium
RUWYUF,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"3,3,3,3",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
OBUMUX,2,Mn+Mn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FAZQEF,2,Mn+Mn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOSMUZ,2,Co+Co,multi,0,,False,False,False,False,False,"2,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
OFABOP,4,Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"2,2,2,2",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TAKGUK,5,Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,4,4,4,4",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XEHXUD,2,Ni+Rh,multi,0,,False,False,False,False,False,"6,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YINHEL,2,Ni+Ni,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FEXWOV,2,Fe+W,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEBYEV,3,Co+Co+Co,multi,0,,False,False,False,False,False,"6,6,6",",,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
PAGSIB,2,Ti+Zr,multi,0,,False,False,False,False,False,"0,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YEQLIS,18,Pd+Pd+Pd+Pd+Pd+Pd+Rh+Rh+Rh+Rh+Rh+Rh+Rh+Rh+Rh+Rh+Rh+Rh,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_18,medium
MUZXUA,2,Rh+Rh,multi,0,,False,False,False,False,False,"2,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MURVUR,2,Co+Co,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
RUZSAK,4,Hg+Hg+Hg+Hg,multi,0,,False,False,False,False,False,"1,2,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GIGPOD,6,Mo+Mo+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,"6,6,6,6,6,6",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FAJLUY,2,Co+Co,multi,0,,False,False,False,False,False,"0,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MPECFE,2,Fe+Fe,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HULKIL,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"3,3,4,4",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
WONBAD,6,Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,"2,2,2,2,6,8",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CIRPOM,2,Re+Re,multi,0,,False,False,False,False,False,"4,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOHXEG,2,Zn+Zn,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GIXVAN,2,Ir+Ir,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
AFAPOP,5,Hg+Hg+Hg+Hg+Hg,multi,0,,False,False,False,False,False,"1,1,2,4,5",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FONBOB,2,Ti+Ti,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QURCEN,24,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd+Pd,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_24,medium
JALSIB,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIGTEE,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ITOQIT,12,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5,6,6,6,6,6,6,6,6",",,,,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DAHGEA,4,Ni+Ni+Ni+Ni,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIGKEQ01,2,Fe+Fe,multi,0,,False,False,False,False,False,"0,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LAGRET,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,1,1,2,2,5,5",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JEGJOU01,3,Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
RUGWAV,10,Co+Co+Co+Co+Co+Co+Co+Co+Co+Co,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,2,6,6,6",",,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XINKAH,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEJXUU,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"3,4,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SOFNUZ,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,1,2,5,5",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UHORAK,4,Mo+Mo+Ni+Ni,multi,0,,False,False,False,False,False,"11,12,7,7",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QUHHUA,9,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,4,4,4",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAGYEE,3,Fe+Fe+Fe,multi,0,,False,False,False,False,False,"1,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOHMUO,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
COPZAJ,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LOLDOH,2,Fe+Fe,multi,0,,False,False,False,False,False,"5,5",",",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
LOQWAT,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,2,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KUDPUX,14,Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Ni+Ni,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_14,medium
FAYPOM,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"2,2,2,5,5,5,5,6",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WAJLUQ,3,Fe+Pd+Pd,multi,0,,False,False,False,False,False,"0,4,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JORRIR10,2,Mo+Mo,multi,0,,False,False,False,False,False,"7,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ULODOQ,12,Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"2,2,2,3,3,3,3,3,3,3,3,3",",,,,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOTVEQ,4,Ni+Ni+Ni+Ni,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TASSAK,25,Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au+Au,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_25,medium
IJUYAN,2,Cd+Cd,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIFGUA,4,Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,5",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PAMBEL,3,Ag+Ag+Ag,multi,0,,False,False,False,False,False,"3,4,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GOKFAN,4,Hg+Hg+Hg+Hg,multi,0,,False,False,False,False,False,"1,1,5,5",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TURXOX,3,Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,2,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
INISIK,3,Co+Co+Co,multi,0,,False,False,False,False,False,"1,1,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MICWED,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIZNIV,12,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,1,1,1,2,5,5,5,6,6,6",",,,,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BUFKUL,2,Re+Re,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WOCHUS,7,Mn+Mn+Mn+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"1,1,1,2,3,7,7",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEJNUU,2,Rh+Rh,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,site_detection,no_sites_found,medium
OMITUB,38,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_38,medium
YOPCIS,9,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"1,1,2,3,4,6,6,7,7",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CPCNCB,2,Co+Ni,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
EMANEN03,2,Ag+Ag,multi,0,,False,False,False,False,False,"3,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IVURUM,3,Co+Ru+Ru,multi,0,,False,False,False,False,False,"6,3,3",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CBUPRH,2,Rh+Rh,multi,0,,False,False,False,False,False,"6,6",",",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
UBOREI,2,Au+Au,multi,0,,False,False,False,False,False,"2,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ETOREN,2,Cu+Cu,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IBAGID,2,Ag+Pd,multi,0,,False,False,False,False,False,"5,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YOWLON,19,Co+Co+Co+Co+Co+Co+Co+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_19,medium
XUYPIQ02,2,Fe+Fe,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,site_detection,no_sites_found,medium
DEJYOG,2,Cu+Cu,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TIMMUY,2,Ag+Ag,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GIXWUG,2,Zn+Zn,multi,0,,False,False,False,False,False,"1,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JANZOQ,3,Hg+Hg+Hg,multi,0,,False,False,False,False,False,"1,3,3",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SUKQIY,3,Zr+Zr+Zr,multi,0,,False,False,False,False,False,"2,2,2",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WUDMER,8,Cu+Cu+Cu+Cu+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,"2,2,6,6,6,6,6,6",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GEKJIQ,4,Fe+Fe+Pd+Pd,multi,0,,False,False,False,False,False,"0,0,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GATJIU10,3,Zr+Zr+Zr,multi,0,,False,False,False,False,False,"5,5,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DEFGIG,2,Zn+Zn,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ETIXUC,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,2,3,4,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YANXAO,4,Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"1,1,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DULHOK,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,1,2,5,5",",,,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
XEBZIO,2,Ag+Ag,multi,0,,False,False,False,False,False,"2,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUTKEB,3,Fe+Fe+W,multi,0,,False,False,False,False,False,"0,0,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XIZPII01,3,Cd+Cd+Cd,multi,0,,False,False,False,False,False,"2,2,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YOFKAF,2,Cu+Fe,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BEGWOZ,2,Fe+Fe,multi,0,,False,False,False,False,False,"6,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XEHQUY,2,Ru+Ru,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
EBIROY,6,Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,1,5,5",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUKYIL,6,Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,"2,2,2,2,6,6",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUFLAW,2,Pt+Pt,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEJYUF,5,Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,4,4",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MAZFAW,2,Rh+Rh,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,site_detection,no_sites_found,medium
ABEZOW,2,Y+Y,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
