refcode,metal,haptic_class,eta_values_detected,site_types,n_sites,contains_eta2,contains_eta3,contains_eta4,contains_eta5,contains_eta6,contains_mixed_eta_eta1,CNsite,eta_sum,parse_valid,roundtrip_valid,atom_order_invariant,site_atom_order_invariant,ligand_order_invariant,site_detection_valid,eta_assignment_valid,centroid_serialization_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
BAHKUR,Rh,eta1,"1,1,1,1,1,1,1,1,1,1,1",atom,11,False,False,False,False,False,False,11,11,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LAZTEM,Mn,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OGOBIV,Ir,eta1,"1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
UHIGUN,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZALHIG,Os,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VARVAN,Ru,eta1,"1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NAJSOG,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XIQXIF,Pt,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XOJFOS,Pt,eta1,"1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PAGJUE,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KIHJUI,Ru,eta1,"1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LOMXES,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GOSJUX,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VISYIF,Co,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HUJKUT,Co,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SOWYAF,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FAMROA,Fe,eta1,"1,1",atom,4,False,False,False,False,False,False,4,4,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BOYRAL,Ru,eta1,"1,1,1,1,1,1",atom,11,False,False,False,False,False,False,11,11,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ABISUC,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JONGUQ,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HEXCAQ,Ru,eta1,"1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOBJIS,Cu,eta1,1,atom,3,False,False,False,False,False,False,3,3,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VABPOG,Rh,eta1,"1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AKOKIV,Ru,eta1,"1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GACYUH,Pt,eta1,"1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIGXUX,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BEKGOP,Cr,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZIRTID,Mo,eta1,"1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SIFSUV,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOTJAD,Mo,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOFTUV,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AYIYIQ,Y,eta1,"1,1,1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TIVGUE,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WULVOP,Co,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MASHOF,Ta,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GOQLIH,Mn,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NEWPOU,Mn,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LAWZAK,Rh,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SUTXEN,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ICARUZ,Mo,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIWGOM,Ir,eta1,"1,1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JONDAT,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIYQUJ,Co,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AFORES,Fe,eta1,"1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUTVOG,Mo,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MABLUX,Nb,eta1,"1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOSGOI,Cr,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LETSEL,Rh,eta1,"1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GOCZUT,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IHUZIU,V,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
UJAKUL,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OKEMIA,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KOKHIF,Y,eta1,"1,1,1,1,1,1,1,1,1,1,1,1",atom,13,False,False,False,False,False,False,13,13,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KIKRUV,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FAXYAE,Ta,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GATHOZ,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BOWSAI,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GAZCAN,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QIWNAO,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WULNAV,Rh,eta1,"1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SINWER05,Os,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOYFOO,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IZEXUJ,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PUSVII,Mo,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QUMQIY,Mo,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEYQOY,Ti,eta1,"1,1,1,1,1,1,1,1,1,1,1,1,1",atom,14,False,False,False,False,False,False,14,14,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SOTLEU,Ir,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CERMIX,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CEFCEW,Pd,eta1,"1,1,1",atom,4,False,False,False,False,False,False,4,4,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BPHPRH10,Rh,eta1,"1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WUCYEB,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEFTAT,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DERLIV,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,13,False,False,False,False,False,False,13,13,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
UPEJUV,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HENPEV,Co,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CEMYAX,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QOMGOO,Mo,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XAQHUW,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JAPTON,Co,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DAHQEK,Co,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XIJWUJ,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOCBAA,Zr,eta1,"1,1,1,1,1,1,1,1,1",atom,11,False,False,False,False,False,False,11,11,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QODVUD,W,eta1,"1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TOKFEH,Ru,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IWEBEU,Pd,eta1,"1,1",atom,4,False,False,False,False,False,False,4,4,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CEGSEM,W,eta1,"1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUYPOE,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
YAKGOI,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QIWLUE,Ir,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TAFGUE,Ir,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
RUMXON,Ti,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LUWLAR,Ru,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GOSJOR,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TEPJAC,Ru,eta1,"1,1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PEJCIU,Ru,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TIVREW,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AKUVAH,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,13,False,False,False,False,False,False,13,13,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MIZNIV,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ECEQUZ,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZIDGAU01,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUFFAP,Pt,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SAGQOK,Ir,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
PAXYIZ,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NEKFOB,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KIZBAW,Re,eta1,"1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OBICAG,Co,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
YOGCON,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
LAZGAW,Co,eta1,"1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOXDUQ,W,eta1,"1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TOQHUC,Pd,eta1,"1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BOXQIP,Zr,eta1,"1,1,1,1,1,1,1,1,1,1,1,1,1",atom,14,False,False,False,False,False,False,14,14,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AQICAF,Fe,eta1,"1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
RUQZUB,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAYMAF,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OVABUK,Ti,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DEWTOO10,W,eta1,"1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ARIWON,W,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IWALUP02,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUBSOC,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MIVGUU,Pt,eta1,"1,1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WEGCIV,Ti,eta1,"1,1,1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WEKSUB,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CAPJAF,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XALYEQ,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IYEWAM,Fe,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BEBTUX10,Mo,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOXDON,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XIFXES,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NARHOD,Nb,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOGJIC,Sc,eta1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1",atom,14,False,False,False,False,False,False,14,14,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOBVEX,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HARYOQ,W,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MATPAA,Co,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ODABUU,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
RIZNIX,Ti,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BISZUY,La,eta1,"1,1,1,1,1,1,1,1,1,1",atom,16,False,False,False,False,False,False,16,16,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AROHEW,Zr,eta1,"1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IZIKAE,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUZSUS,Ru,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NORNIR,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NOGQAD,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BIZQIK,Co,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VOGWUN,Fe,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NOHREH,Ni,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ACUTIB,Ru,eta1,"1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ABEYEL,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TAXFAZ01,Mo,eta1,"1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOCDOQ01,Ti,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIZPUB,Pd,eta1,"1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZAPQEM,Mo,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BECYEN,Co,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FASNUK,Rh,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
UCUXAR,Mo,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TERGAZ02,Cr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XACSOJ,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QEKHOH,Rh,eta1,"1,1,1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AGATAG,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GIRNII,Os,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
XOQGAL,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZELFED,Pt,eta1,"1,1,1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
CUPNIK,Re,eta1,1,atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SEPJOM,Ti,eta1,"1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KUKYEU,Ti,eta1,"1,1,1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NURGOW,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZODBID,W,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HELTAW,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
RAPCIU01,Cr,eta1,"1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OKIZUG,Fe,eta1,"1,1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
GICGUU,Mo,eta1,"1,1,1,1,1,1,1,1,1",atom,11,False,False,False,False,False,False,11,11,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
MUCKUU,Y,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TEDYUX,Hf,eta1,"1,1,1,1,1,1,1,1,1,1,1,1",atom,14,False,False,False,False,False,False,14,14,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
YOCQAK,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
