refcode,metal,haptic_class,eta_values_detected,site_types,n_sites,contains_eta2,contains_eta3,contains_eta4,contains_eta5,contains_eta6,contains_mixed_eta_eta1,CNsite,eta_sum,parse_valid,roundtrip_valid,atom_order_invariant,site_atom_order_invariant,ligand_order_invariant,site_detection_valid,eta_assignment_valid,centroid_serialization_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
HOHGUK,Fe,eta1,"1,1,1,1,1,1,1,1,1,1",atom,10,False,False,False,False,False,False,10,10,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
RIZJER,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ILORAD,Y,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NESBOC,Mo,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
UGIFEV,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
OKAPEX,Mo,eta1,"1,1,1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZADDUG,Pt,eta1,"1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOJMIB,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
BAFGEU,Nb,eta1,"1,1,1,1,1,1,1,1,1,1",atom,13,False,False,False,False,False,False,13,13,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
SIDJOE10,W,eta1,"1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IYIMUZ,Zr,eta1,"1,1,1,1,1,1,1,1,1,1,1,1,1",atom,14,False,False,False,False,False,False,14,14,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JEVDOD,Ru,eta1,"1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
TOFJIL,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ACAXOU,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IBUNIF,Pd,eta1,"1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NEVVOZ,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZUKXOW,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IWEMEE,Pd,eta1,"1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEGYIT,Ru,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
IBOMUJ,Ru,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEFTEX,Cr,eta1,"1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QIDLAS,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
