complex_id,metal,CN,metal_row,n_decoys,ranker_finetuned_mrr,ranker_finetuned_margin,mlm_pll_top1,bl_rule_validator_top1
tmqm_1205,Ti,7,3d,17,0.125,-1.7542,0,0
tmqm_7239,Ru,11,4d,15,0.2,-1.7501,0,0
tmqm_5587,Fe,9,3d,15,0.1429,-1.7488,0,0
tmqm_6444,Fe,8,3d,14,0.1111,-1.7462,0,0
tmqm_3776,Re,8,5d,17,0.2,-1.7432,0,0
tmqm_7851,Ru,5,4d,17,0.125,-1.7397,0,0
tmqm_5977,Ru,6,4d,17,0.25,-1.7253,0,0
tmqm_7528,Os,8,5d,17,0.1667,-1.723,0,0
tmqm_5915,Ru,8,4d,15,0.1667,-1.716,0,0
tmqm_2768,W,10,5d,17,0.25,-1.7124,0,0
tmqm_7533,Fe,6,3d,17,0.125,-1.7115,0,0
tmqm_6395,Ru,10,4d,17,0.1429,-1.7111,0,0
tmqm_490,Ti,10,3d,14,0.0833,-1.7095,0,0
tmqm_6338,Ru,7,4d,17,0.2,-1.7039,0,0
tmqm_7538,Fe,10,3d,17,0.2,-1.7036,0,1
tmqm_6581,Os,8,5d,14,0.125,-1.6894,0,0
tmqm_7322,Fe,10,3d,17,0.2,-1.675,0,0
tmqm_1897,Mo,6,4d,17,0.25,-1.6633,0,0
tmqm_4707,Re,4,5d,13,0.25,-1.6621,0,0
tmqm_5872,Os,4,5d,14,0.1667,-1.6601,0,0
tmqm_1358,V,5,3d,14,0.2,-1.6496,0,0
tmqm_98,Y,4,4d,14,0.1429,-1.648,0,0
tmqm_3279,W,6,5d,17,0.1429,-1.6479,0,1
tmqm_2237,W,8,5d,15,0.1667,-1.6442,0,0
tmqm_4646,Mn,7,3d,15,0.1667,-1.639,0,0
tmqm_1216,Zr,7,4d,15,0.1667,-1.634,0,0
tmqm_2682,Mo,5,4d,15,0.2,-1.634,0,0
tmqm_1458,V,10,3d,15,0.1667,-1.6335,0,0
tmqm_8160,Ir,6,5d,17,0.125,-1.6323,0,0
tmqm_4528,Re,8,5d,17,0.1667,-1.6321,0,0
tmqm_9411,Ir,6,5d,17,0.0833,-1.6302,0,0
tmqm_5840,Ru,12,4d,13,0.125,-1.6277,0,0
tmqm_2110,Mo,8,4d,14,0.2,-1.6238,0,0
tmqm_5608,Fe,6,3d,14,0.125,-1.6212,0,0
tmqm_6933,Fe,5,3d,14,0.1,-1.6122,0,0
tmqm_9241,Ir,4,5d,14,0.1111,-1.6055,0,0
tmqm_6674,Os,8,5d,14,0.1429,-1.603,0,0
tmqm_5338,Ru,6,4d,17,0.25,-1.6023,0,0
tmqm_9877,Rh,4,4d,17,0.0833,-1.6011,0,0
tmqm_8281,Ir,5,5d,14,0.1,-1.601,0,0
tmqm_293,Y,4,4d,14,0.125,-1.5884,0,0
tmqm_6964,Fe,9,3d,17,0.125,-1.5853,0,0
tmqm_5454,Fe,7,3d,17,0.125,-1.5852,0,0
tmqm_5740,Os,5,5d,14,0.3333,-1.5838,0,0
tmqm_8823,Co,4,3d,14,0.1,-1.5674,0,1
tmqm_2616,Cr,6,3d,17,0.1111,-1.5649,0,1
tmqm_7816,Fe,9,3d,17,0.2,-1.5629,0,0
tmqm_1654,V,11,3d,16,0.1429,-1.5593,0,1
tmqm_1839,Cr,8,3d,17,0.1111,-1.5587,0,0
tmqm_3183,Mo,7,4d,15,0.25,-1.5582,0,0
tmqm_1002,Hf,8,5d,14,0.1667,-1.5543,0,0
tmqm_4779,Re,8,5d,17,0.1667,-1.5527,0,0
tmqm_5456,Fe,9,3d,15,0.1667,-1.5513,0,0
tmqm_6915,Fe,6,3d,17,0.1111,-1.5419,0,0
tmqm_9513,Ir,6,5d,14,0.1429,-1.5383,0,0
tmqm_3315,W,6,5d,17,0.3333,-1.5357,0,0
tmqm_1586,V,7,3d,14,0.2,-1.5344,0,0
tmqm_1593,Nb,9,4d,14,0.1667,-1.5343,0,0
tmqm_3593,Re,6,5d,17,0.25,-1.5242,0,0
tmqm_1266,Hf,13,5d,14,0.1667,-1.5239,0,0
tmqm_2299,Cr,6,3d,17,0.1667,-1.5213,0,0
