subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
G0,schnet_3d,2,11,dipole_moment,59,87,139,4.1516091954022984,0.6671828851195587,0.9770114942528736,0.0
G0,schnet_3d,2,11,hl_gap_ev,55,83,127,0.2536855248588434,0.36239906175743997,0.5060240963855421,0.0
G0,schnet_3d,2,22,dipole_moment,59,87,139,4.1516091954022984,0.7239194179929538,1.0,0.0
G0,schnet_3d,2,22,hl_gap_ev,55,83,127,0.2536855248588434,0.3098134578829714,0.5060240963855421,0.0
G0,schnet_3d,2,33,dipole_moment,59,87,139,4.1516091954022984,1.299088406819311,0.9195402298850575,0.0
G0,schnet_3d,2,33,hl_gap_ev,55,83,127,0.2536855248588434,0.26542199224134727,0.6024096385542169,0.0
G0,schnet_3d,3,11,dipole_moment,55,69,124,4.51579420289855,1.2932467537423835,0.9855072463768116,0.0
G0,schnet_3d,3,11,hl_gap_ev,47,62,107,0.4508048914305968,0.4349394415710057,0.7580645161290323,0.0
G0,schnet_3d,3,22,dipole_moment,55,69,124,4.51579420289855,1.1582173582270525,0.9855072463768116,0.0
G0,schnet_3d,3,22,hl_gap_ev,47,62,107,0.4508048914305968,0.4274014730925305,0.6129032258064516,0.0
G0,schnet_3d,3,33,dipole_moment,55,69,124,4.51579420289855,0.9756099038497261,1.0,0.0
G0,schnet_3d,3,33,hl_gap_ev,47,62,107,0.4508048914305968,0.4563936976006189,0.6774193548387096,0.0
G0,schnet_3d,4,11,dipole_moment,51,63,108,5.784490476190477,1.0856097812894794,0.9841269841269841,0.0
G0,schnet_3d,4,11,hl_gap_ev,56,70,124,0.2446342496923143,0.2018709487184462,0.7428571428571429,0.0
G0,schnet_3d,4,22,dipole_moment,51,63,108,5.784490476190477,1.160298803492955,0.9841269841269841,0.0
G0,schnet_3d,4,22,hl_gap_ev,56,70,124,0.2446342496923143,0.24283800344193632,0.5714285714285714,0.0
G0,schnet_3d,4,33,dipole_moment,51,63,108,5.784490476190477,1.1117129162258572,0.9682539682539683,0.0
G0,schnet_3d,4,33,hl_gap_ev,56,70,124,0.2446342496923143,0.24927594496653696,0.5142857142857142,0.0
S1,schnet_3d,0,11,dipole_moment,49,62,111,4.392035483870967,0.7306157734163347,0.967741935483871,0.0
S1,schnet_3d,0,11,hl_gap_ev,46,71,106,0.2170663778611127,0.20849237680615312,0.6901408450704225,0.0
S1,schnet_3d,0,22,dipole_moment,49,62,111,4.392035483870967,0.6716612233377272,0.9354838709677419,0.0
S1,schnet_3d,0,22,hl_gap_ev,46,71,106,0.2170663778611127,0.2414189579279475,0.5633802816901409,0.0
S1,schnet_3d,0,33,dipole_moment,49,62,111,4.392035483870967,0.6049157222809329,0.9838709677419355,0.0
