complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_8965,Co,6,3d,0,0.1111,0.5294,0,0.0667,0.1765,0,0.1111,0.5294,0,0.125,0.5882
tmqm_288,Sc,10,3d,0,0.2,0.7143,0,0.0714,0.0714,0,0.1667,0.6429,0,0.2,0.7143
tmqm_2854,W,6,5d,0,0.1429,0.5714,0,0.0833,0.2143,0,0.1667,0.6429,0,0.25,0.7857
tmqm_9270,Ir,6,5d,0,0.0769,0.2941,0,0.0588,0.0588,0,0.0833,0.3529,0,0.0909,0.4118
tmqm_802,Ti,11,3d,0,0.1,0.4,0,0.0833,0.2667,0,0.1429,0.6,0,0.1111,0.4667
tmqm_5740,Os,5,5d,0,0.1667,0.6429,0,0.0909,0.2857,0,0.25,0.7857,0,0.125,0.5
tmqm_5122,Ru,6,4d,0,0.3333,0.8824,0,0.0667,0.1765,0,0.2,0.7647,0,0.125,0.5882
tmqm_7714,Os,6,5d,0,0.1667,0.6667,0,0.0667,0.0667,0,0.1667,0.6667,0,0.2,0.7333
tmqm_4250,Re,5,5d,0,0.2,0.7333,0,0.0625,0.0,0,0.25,0.8,0,0.25,0.8
tmqm_3111,W,6,5d,0,0.25,0.8235,0,0.0625,0.1176,0,0.1667,0.7059,0,0.25,0.8235
tmqm_958,Ti,5,3d,0,0.125,0.5333,0,0.0714,0.1333,0,0.0667,0.0667,0,0.1,0.4
tmqm_2159,W,8,5d,0,0.125,0.5,0,0.0769,0.1429,0,0.125,0.5,0,0.1429,0.5714
tmqm_7045,Fe,3,3d,0,0.125,0.5,0,0.0667,0.0,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_2694,W,9,5d,0,0.3333,0.8571,0,0.0667,0.0,0,0.3333,0.8571,0,0.25,0.7857
tmqm_1807,W,8,5d,0,0.1667,0.6667,0,0.0667,0.0667,0,0.1667,0.6667,0,0.1429,0.6
tmqm_6338,Ru,7,4d,0,0.1667,0.7059,0,0.0714,0.2353,0,0.125,0.5882,0,0.125,0.5882
tmqm_6449,Fe,8,3d,0,0.2,0.7143,0,0.0833,0.2143,0,0.25,0.7857,0,0.3333,0.8571
tmqm_8147,Rh,8,4d,0,0.0833,0.2143,0,0.0667,0.0,0,0.0909,0.2857,0,0.0833,0.2143
