S_TBP,S_SPY
0.2631438371228678,8.764143317637252
1.4619543472751453,12.884126511323366
0.5643212010594189,6.263497327930526
0.8867692519376058,18.85300592982138
9.113776184457235,7.143362875777701
2.3060160376435577,13.450887368844223
5.951101281159521,9.156202083187836
0.30760011101690216,12.251586531534265
0.9629850688540578,5.909386909169078
1.6181569782139775,5.136459637223455
0.15972791472624923,24.22494069244389
0.00839247104463667,7.5136322874649215
2.219959308891726,18.704044857270183
2.05343655321216,63.71200453500266
1.0579412054399708,6.90028556523832
1.345293813085144,7.464936861480609
1.0738019691807457,13.698050997821259
0.04859572296171013,31.922465680243295
0.8170544017175703,24.797846226563692
0.3897980582094168,10.591318572810735
0.20722229139925516,17.68226726514426
6.280149339327966,6.167107215419273
1.829382648428364,35.33197094544332
2.608737875791016,31.672774820270085
0.7577351876481495,6.430420043039527
0.9989378105342606,7.84680940723738
0.5407952756893024,5.844261999530098
0.20398941927636227,7.536531139224632
0.3945414110476706,18.54063420253753
3.1941695086596855,8.802581776284505
2.263588368822698,5.740405237279803
1.583412318337563,8.351145193853194
1.2890564349149425,36.86958472724544
5.113259498215055,12.947179926611653
0.15103165911722172,9.305039418383304
0.6586777563207812,6.457342278513565
0.8613746215431589,39.25125393969619
3.0504307866758915,18.7562104403029
9.789607031668986,7.64446387020324
0.550638982756573,5.581156495439682
4.147831022890391,5.466335993686275
3.551253729785318,6.026105433689444
0.5089005595057107,11.95465764092443
1.019427751304753,26.133990762985626
1.0541568738232674,10.493241243549196
7.653587712928802,19.80929830726133
0.399078430580872,9.723087647052274
3.2104732116383348,14.864015365429516
0.8135100218697903,15.530348402486068
2.6251240590719855,6.528932534737107
1.0894922970904337,8.585512017945149
1.7272056955616404,13.113481428007452
3.5748789078052865,5.586560116517699
3.2609713920670957,8.589572371102019
4.026157124852698,11.122293688394894
0.12293677172784434,49.633764899893386
2.3556392854516455,10.147751669462245
0.30161642322359905,18.545024252282907
1.0750873464017279,9.526018615217666
1.5907515009003133,17.73241942914448
1.0308037736291078,12.239143506076148
1.4663209868152987,22.41434952083896
11.325075007210891,9.2338525270109
0.29055406667915096,12.41688080224263
2.250668597004573,12.95442210221944
1.0083653620495725,9.321801243593944
0.2854552087000837,6.246796050546012
0.34570132734730624,5.785838282489957
5.962598120437668,5.134496680321654
4.233896354690996,21.542270968826134
4.751214149805556,7.158474367799005
9.543105097269025,6.9010514581025255
0.46718437237191945,15.65552221880002
0.8783726749397677,8.085489414475882
2.2125976889339727,10.642481890849753
1.3225318240263813,6.418777821325351
1.0839087133403467,30.700311853483218
