domain,templates,variants_per_template,total_variants,exact_matches,status,interpretation
multimetal,55,100,5500,5500,PASS,typed programmatic regression templates; not a CSD prevalence sample
haptic/pi,33,100,3300,3300,PASS,typed programmatic regression templates; not a CSD prevalence sample
