refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
WOMROI,Pd,4,3.1400,0.3200,0.5105,-0.3768
AGUZOR01,Ni,4,9.0200,2.9100,0.9600,0.4786
KUYYAG,Pd,4,3.1000,0.2700,0.5051,-0.4318
PAQLAV01,Cu,4,6.6400,1.5800,0.8287,0.2253
DIRFAP,Cu,4,5.4100,0.8500,0.7412,-0.0223
SIVMAN,Cu,4,4.0800,1.5300,0.6212,0.2122
JUJGUQ,Pd,4,8.7300,2.8800,0.9460,0.4742
WEYGIS,Pd,4,3.2300,0.4400,0.5224,-0.2676
VOXZOZ,Pd,4,3.0600,0.2900,0.4997,-0.4089
EYECOB,Zn,4,3.3200,0.0300,0.5340,-0.8861
PAJTUP,Pt,4,2.9300,0.0600,0.4814,-0.7959
DOKGET,Cu,4,3.0600,0.2300,0.4997,-0.4815
SEHVAC,Zn,4,3.2500,0.6100,0.5250,-0.1487
WEFFAO,Ni,4,2.9400,0.0600,0.4829,-0.7959
EDULUN,Pd,4,9.9900,3.0500,1.0039,0.4983
KENNOH,Pd,4,2.9800,0.1500,0.4886,-0.6021
EBARUW,Pd,4,9.4200,3.1600,0.9786,0.5132
DOQMEC,Pd,4,2.7500,0.3600,0.4548,-0.3372
ROVYUY,Cu,4,6.2200,1.3700,0.8007,0.1673
HAPKEO,Pd,4,3.0800,0.2800,0.5024,-0.4202
YUVPIQ,Zn,4,11.6700,11.4500,1.0708,1.0626
HAVREC,Ni,4,2.9000,0.0200,0.4771,-0.9208
JIVNAD,Zn,4,2.8800,0.0000,0.4742,-1.0000
SOHSUF,Pd,4,8.8900,7.2700,0.9538,0.8675
HECVOC,Cu,4,8.0900,13.1500,0.9133,1.1222
MURBEH,Pd,4,14.6200,13.8100,1.1679,1.1433
ORIGIG,Cu,4,13.2600,20.8300,1.1258,1.3208
KOYPUL,Cu,4,1.7400,0.1600,0.2648,-0.5850
FOSWOA,Pt,4,9.2900,3.0100,0.9727,0.4928
BEXMUP,Pd,4,13.8400,13.5000,1.1443,1.1335
TIGXOY,Zn,4,2.2500,0.0600,0.3711,-0.7959
ROLXAS,Ni,4,12.0400,16.9200,1.0842,1.2310
HIGZOM,Pd,4,8.0100,3.0300,0.9090,0.4955
RASWIT,Pd,4,2.9300,0.0400,0.4814,-0.8539
LUZPII,Pd,4,8.5400,2.9300,0.9365,0.4814
IJOSUY,Au,4,8.0500,3.2100,0.9112,0.5198
ACAPIH,Cu,4,2.5200,1.3800,0.4183,0.1703
AKILAJ,Ni,4,8.4700,2.8200,0.9330,0.4654
DALKAE,Ni,4,5.4200,0.4700,0.7419,-0.2441
DUKPEF,Pt,4,9.0000,8.8500,0.9590,0.9518
ULURUP,Pd,4,9.2400,3.1300,0.9703,0.5092
ROBXEM,Co,4,3.0200,0.0200,0.4942,-0.9208
FEQSEC,Pd,4,8.6400,3.0500,0.9415,0.4983
DAQWOH,Pd,4,3.4600,0.6700,0.5514,-0.1135
SEJLID,Ni,4,8.8800,10.4200,0.9533,1.0220
COBBUT,Co,4,10.9900,7.0300,1.0449,0.8531
DIRTII,Pt,4,3.1200,0.3000,0.5079,-0.3979
JAXJAT,Ni,4,8.1000,3.0400,0.9138,0.4969
XAVVEW,Ni,4,2.4500,0.0500,0.4065,-0.8239
IGOVOP,Pd,4,3.0900,0.2500,0.5038,-0.4559
XOVNIG,Pd,4,2.9200,0.0400,0.4800,-0.8539
KUCBIV,Re,4,2.8900,0.0000,0.4757,-1.0000
JIZNEM,Ni,4,8.0800,3.1400,0.9128,0.5105
