run_stage,selection_order,mol_id,fold,metal,cn,graph_sha256,arm,k,representation,reference_sha256,matched_variants,mismatched_variants,match_fraction,unique_variant_hashes,unique_hashes_with_reference,all_variants_match_reference
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,permutation,100,raw_cartesian,80ac40cd2a9eb21257cb4b68ae5c73341083467df69a9214d6a867ebf2d46949,3,97,0.03,24,24,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,permutation,100,ordered_distance_matrix,fa61c5a22eb018ce5fd609e951f5ee22a008c9744a86638e97d0e6894a7304c6,3,97,0.03,24,24,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,permutation,100,connectivity_only,ff1b46f3ea63bc0113a4dbf770547a81f3e45b09157002f93253f21a799c6a3e,100,0,1.0,1,1,True
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,permutation,100,uncanonicalized_coordrep,e376c90fe9007ca030b5a4ef48b826a6ebc84f8bb15cf1f5a6efc46eb115d823,1,99,0.01,6,6,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,permutation,100,patched_coordrep,4909c86d28c419c360b045e27aa40bc5d1febf1f61631bccecc3f80ff4872ca9,100,0,1.0,1,1,True
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,combined,100,raw_cartesian,80ac40cd2a9eb21257cb4b68ae5c73341083467df69a9214d6a867ebf2d46949,0,100,0.0,100,101,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,combined,100,ordered_distance_matrix,fa61c5a22eb018ce5fd609e951f5ee22a008c9744a86638e97d0e6894a7304c6,3,97,0.03,24,24,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,combined,100,connectivity_only,ff1b46f3ea63bc0113a4dbf770547a81f3e45b09157002f93253f21a799c6a3e,100,0,1.0,1,1,True
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,combined,100,uncanonicalized_coordrep,e376c90fe9007ca030b5a4ef48b826a6ebc84f8bb15cf1f5a6efc46eb115d823,3,97,0.03,5,5,False
full,2,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,combined,100,patched_coordrep,4909c86d28c419c360b045e27aa40bc5d1febf1f61631bccecc3f80ff4872ca9,100,0,1.0,1,1,True
