model,n,top1,mrr,win_rate,auroc,auroc_metal_hard,auroc_boundary_hard,auroc_stereo_hard
EGNN_only,1450,0.0566,0.2403,0.3368,0.4864,0.5,0.5,0.5
EGNN_meta,1450,0.229,0.4826,0.719,0.55,0.5263,0.5301,0.6968
